id,reference_id,amount,date,status
ATM_TRANSACTIONS00000001,REF00609565,9996.75,2025-06-26,CANCELLED
ATM_TRANSACTIONS00000002,REF00356616,1953.29,2025-09-29,ACTIVE
ATM_TRANSACTIONS00000003,REF00681301,5911.29,2025-03-23,ACTIVE
ATM_TRANSACTIONS00000004,REF00467220,8194.04,2026-01-15,COMPLETED
ATM_TRANSACTIONS00000005,REF00754774,181.27,2025-12-05,ACTIVE
ATM_TRANSACTIONS00000006,REF00914773,3317.46,2025-02-24,COMPLETED
ATM_TRANSACTIONS00000007,REF00622438,1829.82,2025-05-12,PENDING
ATM_TRANSACTIONS00000008,REF00677878,3189.36,2025-10-11,ACTIVE
ATM_TRANSACTIONS00000009,REF00334298,4048.76,2025-07-17,PENDING
ATM_TRANSACTIONS00000010,REF00308499,3889.14,2025-05-19,PENDING
ATM_TRANSACTIONS00000011,REF00823306,5340.22,2025-11-30,CANCELLED
ATM_TRANSACTIONS00000012,REF00483821,6236.08,2025-05-25,CANCELLED
ATM_TRANSACTIONS00000013,REF00187612,3983.36,2025-07-31,ACTIVE
ATM_TRANSACTIONS00000014,REF00746667,8758.65,2025-07-28,ACTIVE
ATM_TRANSACTIONS00000015,REF00758111,1775.94,2026-01-13,PENDING
ATM_TRANSACTIONS00000016,REF00045500,5109.56,2025-11-09,COMPLETED
ATM_TRANSACTIONS00000017,REF00577482,7136.32,2025-03-09,CANCELLED
ATM_TRANSACTIONS00000018,REF00711283,92.86,2025-02-16,ACTIVE
ATM_TRANSACTIONS00000019,REF00500843,7584.65,2025-12-13,CANCELLED
ATM_TRANSACTIONS00000020,REF00255399,7372.07,2025-03-21,ACTIVE
ATM_TRANSACTIONS00000021,REF00855782,5308.32,2025-05-26,ACTIVE
ATM_TRANSACTIONS00000022,REF00344219,2569.13,2025-04-05,ACTIVE
ATM_TRANSACTIONS00000023,REF00744576,9395.8,2025-09-24,ACTIVE
ATM_TRANSACTIONS00000024,REF00327302,3262.08,2025-12-19,CANCELLED
