id,reference_id,amount,date,status
LOANS00000001,REF00506661,6785.93,2026-01-09,ACTIVE
LOANS00000002,REF00625721,6772.12,2025-06-04,ACTIVE
LOANS00000003,REF00440845,3877.38,2025-11-03,COMPLETED
LOANS00000004,REF00198317,1981.16,2025-06-09,ACTIVE
LOANS00000005,REF00871852,4826.35,2025-08-11,COMPLETED
LOANS00000006,REF00667109,9176.33,2025-12-22,CANCELLED
LOANS00000007,REF00166195,1612.39,2025-11-27,PENDING
LOANS00000008,REF00066727,3877.13,2025-07-04,CANCELLED
LOANS00000009,REF00066946,9390.63,2025-07-23,ACTIVE
LOANS00000010,REF00611206,5391.65,2025-06-02,COMPLETED
LOANS00000011,REF00853270,4114.89,2025-09-14,COMPLETED
LOANS00000012,REF00087848,1609.83,2025-06-12,ACTIVE
LOANS00000013,REF00398383,4636.89,2025-05-14,PENDING
LOANS00000014,REF00283684,8526.41,2026-01-05,CANCELLED
LOANS00000015,REF00646744,1829.18,2025-12-28,CANCELLED
LOANS00000016,REF00613583,1651.69,2025-09-12,PENDING
LOANS00000017,REF00526852,5102.79,2025-07-03,ACTIVE
LOANS00000018,REF00313033,8834.0,2026-01-16,COMPLETED
LOANS00000019,REF00595625,1719.72,2025-10-17,ACTIVE
LOANS00000020,REF00911659,9112.54,2025-06-18,CANCELLED
LOANS00000021,REF00366055,377.36,2025-07-16,ACTIVE
LOANS00000022,REF00291904,9411.01,2025-12-05,CANCELLED
LOANS00000023,REF00012462,5624.81,2025-09-18,PENDING
LOANS00000024,REF00131411,5488.25,2025-08-16,PENDING
LOANS00000025,REF00526288,9681.13,2025-06-16,PENDING
LOANS00000026,REF00258282,183.49,2025-07-31,ACTIVE
LOANS00000027,REF00047965,7831.04,2025-10-04,COMPLETED
LOANS00000028,REF00389356,4360.14,2025-12-22,CANCELLED
LOANS00000029,REF00272501,3727.89,2025-09-29,ACTIVE
LOANS00000030,REF00621504,6380.4,2025-11-05,ACTIVE
LOANS00000031,REF00858108,977.84,2025-11-14,CANCELLED
LOANS00000032,REF00879205,1001.52,2025-10-14,PENDING
LOANS00000033,REF00336068,5124.97,2025-12-04,COMPLETED
LOANS00000034,REF00353467,7780.54,2025-11-12,PENDING
LOANS00000035,REF00239808,6463.85,2026-01-17,CANCELLED
LOANS00000036,REF00067383,3704.33,2025-11-29,CANCELLED
LOANS00000037,REF00636858,3072.29,2026-01-06,PENDING
LOANS00000038,REF00199306,9743.54,2025-04-02,ACTIVE
LOANS00000039,REF00325640,1093.76,2025-07-05,COMPLETED
LOANS00000040,REF00203320,7410.97,2025-05-24,CANCELLED
LOANS00000041,REF00900797,7052.15,2025-04-14,CANCELLED
LOANS00000042,REF00815087,1465.61,2025-12-25,COMPLETED
LOANS00000043,REF00229211,3202.47,2025-12-27,PENDING
LOANS00000044,REF00450002,4716.91,2025-04-07,ACTIVE
LOANS00000045,REF00279251,9513.55,2025-07-09,ACTIVE
LOANS00000046,REF00723783,6688.99,2025-12-20,CANCELLED
LOANS00000047,REF00171257,3998.06,2025-12-30,ACTIVE
LOANS00000048,REF00246426,8955.18,2025-02-13,CANCELLED
LOANS00000049,REF00220962,7632.97,2025-06-14,COMPLETED
LOANS00000050,REF00733473,8359.01,2025-02-10,CANCELLED
LOANS00000051,REF00953701,6995.89,2025-05-20,COMPLETED
LOANS00000052,REF00931703,9581.92,2025-08-27,CANCELLED
LOANS00000053,REF00348125,3608.64,2025-11-08,COMPLETED
LOANS00000054,REF00000814,9438.71,2025-02-06,PENDING
LOANS00000055,REF00162315,1169.97,2025-12-20,PENDING
LOANS00000056,REF00307892,7750.4,2025-05-24,ACTIVE
LOANS00000057,REF00104294,7291.35,2025-03-05,CANCELLED
LOANS00000058,REF00996539,2873.21,2025-05-06,PENDING
LOANS00000059,REF00750108,2467.27,2025-04-02,PENDING
LOANS00000060,REF00453641,7832.12,2025-05-23,PENDING
LOANS00000061,REF00002376,9129.98,2025-07-28,COMPLETED
LOANS00000062,REF00672229,776.02,2025-02-28,COMPLETED
LOANS00000063,REF00773460,5448.55,2025-03-23,COMPLETED
LOANS00000064,REF00623269,8906.1,2025-10-12,CANCELLED
LOANS00000065,REF00459396,4867.34,2025-11-02,COMPLETED
LOANS00000066,REF00140403,2595.45,2025-06-15,PENDING
LOANS00000067,REF00308192,3134.02,2025-08-10,ACTIVE
LOANS00000068,REF00671371,7114.55,2025-06-08,COMPLETED
LOANS00000069,REF00006586,136.07,2025-08-29,COMPLETED
LOANS00000070,REF00810552,4824.55,2025-05-16,ACTIVE
