id,reference_id,amount,date,status
CREDIT_CARDS00000001,REF00266979,249.45,2025-03-08,COMPLETED
CREDIT_CARDS00000002,REF00722722,5065.26,2025-03-08,ACTIVE
CREDIT_CARDS00000003,REF00632658,4358.76,2025-06-16,PENDING
CREDIT_CARDS00000004,REF00633933,4032.52,2025-12-04,COMPLETED
CREDIT_CARDS00000005,REF00713586,5335.52,2025-09-13,ACTIVE
CREDIT_CARDS00000006,REF00217311,199.28,2025-11-25,CANCELLED
CREDIT_CARDS00000007,REF00910623,8833.21,2025-02-26,CANCELLED
CREDIT_CARDS00000008,REF00280606,4572.46,2026-01-15,ACTIVE
CREDIT_CARDS00000009,REF00755307,2616.91,2025-06-09,PENDING
CREDIT_CARDS00000010,REF00969829,7753.57,2025-06-06,ACTIVE
CREDIT_CARDS00000011,REF00019743,4695.97,2025-04-20,PENDING
CREDIT_CARDS00000012,REF00047086,5234.82,2025-03-22,CANCELLED
CREDIT_CARDS00000013,REF00420675,4979.68,2025-10-30,ACTIVE
CREDIT_CARDS00000014,REF00271265,8486.26,2025-01-29,PENDING
CREDIT_CARDS00000015,REF00210921,5293.66,2025-02-23,PENDING
CREDIT_CARDS00000016,REF00871068,7755.19,2025-01-24,ACTIVE
CREDIT_CARDS00000017,REF00267397,6199.48,2025-12-06,PENDING
CREDIT_CARDS00000018,REF00650379,9380.61,2025-08-22,PENDING
CREDIT_CARDS00000019,REF00278163,7285.3,2025-08-03,COMPLETED
CREDIT_CARDS00000020,REF00207525,4829.37,2025-04-07,PENDING
CREDIT_CARDS00000021,REF00195572,3097.6,2025-07-25,PENDING
CREDIT_CARDS00000022,REF00944341,4865.93,2025-05-14,ACTIVE
CREDIT_CARDS00000023,REF00483640,7689.52,2025-06-18,CANCELLED
CREDIT_CARDS00000024,REF00461759,3913.46,2025-12-24,COMPLETED
CREDIT_CARDS00000025,REF00742274,9364.52,2025-10-01,CANCELLED
CREDIT_CARDS00000026,REF00763585,7594.62,2025-08-24,ACTIVE
CREDIT_CARDS00000027,REF00539983,620.17,2026-01-06,COMPLETED
CREDIT_CARDS00000028,REF00166245,6658.67,2025-05-28,CANCELLED
CREDIT_CARDS00000029,REF00550603,8793.04,2025-06-02,COMPLETED
CREDIT_CARDS00000030,REF00194472,589.21,2025-03-16,CANCELLED
CREDIT_CARDS00000031,REF00066621,6642.87,2026-01-09,COMPLETED
CREDIT_CARDS00000032,REF00058927,4154.78,2025-06-11,ACTIVE
CREDIT_CARDS00000033,REF00294242,8661.54,2025-05-17,ACTIVE
CREDIT_CARDS00000034,REF00479035,3910.96,2025-10-24,ACTIVE
CREDIT_CARDS00000035,REF00982467,4677.67,2025-03-25,PENDING
CREDIT_CARDS00000036,REF00963314,7211.61,2025-10-26,CANCELLED
CREDIT_CARDS00000037,REF00394640,133.8,2025-12-12,CANCELLED
CREDIT_CARDS00000038,REF00544965,4742.19,2025-02-12,CANCELLED
CREDIT_CARDS00000039,REF00709930,3110.12,2025-11-11,CANCELLED
CREDIT_CARDS00000040,REF00877866,3347.0,2025-05-22,ACTIVE
CREDIT_CARDS00000041,REF00279123,9045.0,2025-12-28,CANCELLED
CREDIT_CARDS00000042,REF00287793,6783.45,2025-10-20,CANCELLED
CREDIT_CARDS00000043,REF00544089,4172.66,2025-07-04,PENDING
CREDIT_CARDS00000044,REF00825565,3110.65,2025-08-03,PENDING
CREDIT_CARDS00000045,REF00405424,9565.58,2025-11-06,COMPLETED
CREDIT_CARDS00000046,REF00916189,4466.71,2025-10-12,COMPLETED
CREDIT_CARDS00000047,REF00474156,5847.31,2025-11-21,PENDING
CREDIT_CARDS00000048,REF00908799,8540.19,2025-02-02,ACTIVE
CREDIT_CARDS00000049,REF00122335,3629.28,2025-09-08,COMPLETED
CREDIT_CARDS00000050,REF00977974,1391.67,2025-05-03,PENDING
CREDIT_CARDS00000051,REF00381598,5867.0,2025-10-08,ACTIVE
CREDIT_CARDS00000052,REF00404641,58.32,2025-12-24,ACTIVE
CREDIT_CARDS00000053,REF00401591,4348.57,2025-11-21,ACTIVE
CREDIT_CARDS00000054,REF00225653,8415.39,2025-09-17,PENDING
CREDIT_CARDS00000055,REF00762173,966.98,2025-08-14,ACTIVE
CREDIT_CARDS00000056,REF00243529,9021.47,2025-10-17,COMPLETED
CREDIT_CARDS00000057,REF00295951,6715.71,2025-11-01,PENDING
CREDIT_CARDS00000058,REF00979172,7962.57,2025-06-24,PENDING
CREDIT_CARDS00000059,REF00844542,6102.48,2025-01-25,ACTIVE
CREDIT_CARDS00000060,REF00005391,291.24,2025-09-18,ACTIVE
CREDIT_CARDS00000061,REF00182082,7811.38,2025-11-19,CANCELLED
CREDIT_CARDS00000062,REF00357703,1838.14,2025-11-14,CANCELLED
CREDIT_CARDS00000063,REF00168433,925.36,2025-05-28,PENDING
CREDIT_CARDS00000064,REF00461041,7378.33,2026-01-09,ACTIVE
CREDIT_CARDS00000065,REF00193220,7917.41,2025-10-10,ACTIVE
CREDIT_CARDS00000066,REF00544602,2904.88,2025-10-25,COMPLETED
CREDIT_CARDS00000067,REF00111353,5133.88,2025-09-28,COMPLETED
CREDIT_CARDS00000068,REF00333623,3191.06,2025-04-24,COMPLETED
CREDIT_CARDS00000069,REF00121164,5441.58,2025-02-05,CANCELLED
CREDIT_CARDS00000070,REF00520732,1279.26,2025-06-13,ACTIVE
CREDIT_CARDS00000071,REF00435245,8081.84,2025-07-30,COMPLETED
CREDIT_CARDS00000072,REF00099272,3337.07,2026-01-21,CANCELLED
CREDIT_CARDS00000073,REF00202758,3554.35,2025-05-10,CANCELLED
CREDIT_CARDS00000074,REF00393110,7905.06,2025-09-28,CANCELLED
CREDIT_CARDS00000075,REF00621765,944.39,2025-02-27,ACTIVE
