id,reference_id,amount,date,status
CARD_TRANSACTIONS00000001,REF00453755,7384.35,2025-07-11,ACTIVE
CARD_TRANSACTIONS00000002,REF00485150,294.29,2025-11-29,ACTIVE
CARD_TRANSACTIONS00000003,REF00873246,5371.41,2025-05-30,COMPLETED
CARD_TRANSACTIONS00000004,REF00114610,8187.78,2025-08-21,PENDING
CARD_TRANSACTIONS00000005,REF00385424,1543.1,2025-03-08,ACTIVE
CARD_TRANSACTIONS00000006,REF00240938,5236.27,2025-04-18,ACTIVE
CARD_TRANSACTIONS00000007,REF00856264,992.63,2025-12-27,CANCELLED
CARD_TRANSACTIONS00000008,REF00658363,8791.09,2025-12-09,COMPLETED
CARD_TRANSACTIONS00000009,REF00596570,8436.79,2025-11-01,PENDING
CARD_TRANSACTIONS00000010,REF00652834,8094.07,2025-05-12,CANCELLED
CARD_TRANSACTIONS00000011,REF00647798,8505.21,2025-11-07,COMPLETED
CARD_TRANSACTIONS00000012,REF00416075,4094.25,2025-11-09,PENDING
CARD_TRANSACTIONS00000013,REF00588312,4396.95,2025-11-02,PENDING
CARD_TRANSACTIONS00000014,REF00879568,4389.26,2025-05-05,PENDING
CARD_TRANSACTIONS00000015,REF00158988,332.69,2025-12-13,CANCELLED
CARD_TRANSACTIONS00000016,REF00899089,4758.96,2025-07-24,PENDING
CARD_TRANSACTIONS00000017,REF00268121,3209.41,2025-08-18,PENDING
CARD_TRANSACTIONS00000018,REF00057909,1220.77,2025-08-01,CANCELLED
CARD_TRANSACTIONS00000019,REF00036219,3213.99,2025-10-25,ACTIVE
CARD_TRANSACTIONS00000020,REF00412976,1201.85,2025-10-08,COMPLETED
CARD_TRANSACTIONS00000021,REF00421473,4556.58,2025-06-14,PENDING
CARD_TRANSACTIONS00000022,REF00602449,9601.54,2025-04-24,COMPLETED
CARD_TRANSACTIONS00000023,REF00625866,5839.58,2025-11-04,CANCELLED
CARD_TRANSACTIONS00000024,REF00243751,6907.5,2025-05-23,ACTIVE
CARD_TRANSACTIONS00000025,REF00218004,8007.86,2025-05-23,ACTIVE
CARD_TRANSACTIONS00000026,REF00889987,6451.01,2025-08-25,ACTIVE
CARD_TRANSACTIONS00000027,REF00427576,782.78,2026-01-04,CANCELLED
CARD_TRANSACTIONS00000028,REF00995944,6269.08,2025-08-19,CANCELLED
CARD_TRANSACTIONS00000029,REF00545432,5267.09,2026-01-01,CANCELLED
CARD_TRANSACTIONS00000030,REF00902568,6784.87,2025-09-10,COMPLETED
CARD_TRANSACTIONS00000031,REF00374012,4566.54,2025-09-21,CANCELLED
CARD_TRANSACTIONS00000032,REF00767741,9213.95,2025-08-27,ACTIVE
CARD_TRANSACTIONS00000033,REF00525909,5274.68,2025-12-26,ACTIVE
CARD_TRANSACTIONS00000034,REF00359414,5879.46,2025-07-03,ACTIVE
CARD_TRANSACTIONS00000035,REF00918147,6345.22,2025-04-20,PENDING
CARD_TRANSACTIONS00000036,REF00933419,2851.99,2025-09-02,PENDING
CARD_TRANSACTIONS00000037,REF00667841,3227.64,2025-12-07,PENDING
CARD_TRANSACTIONS00000038,REF00579054,3743.47,2025-10-24,PENDING
CARD_TRANSACTIONS00000039,REF00972409,2009.93,2025-10-13,ACTIVE
CARD_TRANSACTIONS00000040,REF00338584,5290.36,2025-12-10,CANCELLED
CARD_TRANSACTIONS00000041,REF00855267,997.36,2025-03-25,CANCELLED
CARD_TRANSACTIONS00000042,REF00622531,3925.68,2025-10-02,COMPLETED
CARD_TRANSACTIONS00000043,REF00293370,3929.79,2025-12-24,PENDING
CARD_TRANSACTIONS00000044,REF00298010,6152.38,2025-09-24,ACTIVE
CARD_TRANSACTIONS00000045,REF00295979,1013.15,2025-04-22,ACTIVE
CARD_TRANSACTIONS00000046,REF00741052,320.91,2025-02-09,COMPLETED
CARD_TRANSACTIONS00000047,REF00948434,215.14,2026-01-16,PENDING
CARD_TRANSACTIONS00000048,REF00101840,8222.62,2025-12-29,PENDING
CARD_TRANSACTIONS00000049,REF00098675,1869.55,2025-04-26,CANCELLED
CARD_TRANSACTIONS00000050,REF00973919,7025.04,2025-08-16,COMPLETED
CARD_TRANSACTIONS00000051,REF00152704,2624.56,2025-06-15,PENDING
CARD_TRANSACTIONS00000052,REF00707288,3779.15,2025-08-27,CANCELLED
CARD_TRANSACTIONS00000053,REF00640085,5105.55,2025-12-03,PENDING
CARD_TRANSACTIONS00000054,REF00869180,6462.68,2026-01-05,ACTIVE
CARD_TRANSACTIONS00000055,REF00627491,2070.89,2025-12-13,CANCELLED
CARD_TRANSACTIONS00000056,REF00247491,2310.16,2025-10-14,ACTIVE
CARD_TRANSACTIONS00000057,REF00893964,3522.07,2025-06-17,CANCELLED
CARD_TRANSACTIONS00000058,REF00344120,9012.21,2025-02-04,COMPLETED
CARD_TRANSACTIONS00000059,REF00158224,3520.09,2025-03-22,ACTIVE
CARD_TRANSACTIONS00000060,REF00068076,5103.73,2025-12-21,CANCELLED
CARD_TRANSACTIONS00000061,REF00565223,6147.89,2025-08-27,PENDING
CARD_TRANSACTIONS00000062,REF00365111,5930.82,2025-01-30,CANCELLED
CARD_TRANSACTIONS00000063,REF00365968,8061.46,2025-06-11,PENDING
CARD_TRANSACTIONS00000064,REF00036423,4763.8,2025-07-22,ACTIVE
CARD_TRANSACTIONS00000065,REF00281907,1433.5,2025-01-24,CANCELLED
CARD_TRANSACTIONS00000066,REF00368011,9920.91,2025-02-18,COMPLETED
CARD_TRANSACTIONS00000067,REF00358195,394.7,2025-03-29,COMPLETED
CARD_TRANSACTIONS00000068,REF00932961,9455.2,2025-07-11,COMPLETED
CARD_TRANSACTIONS00000069,REF00760867,3109.55,2025-09-08,CANCELLED
CARD_TRANSACTIONS00000070,REF00054705,2046.23,2025-02-26,ACTIVE
CARD_TRANSACTIONS00000071,REF00753741,8396.9,2025-08-01,COMPLETED
CARD_TRANSACTIONS00000072,REF00782161,2713.33,2025-05-18,PENDING
CARD_TRANSACTIONS00000073,REF00395903,2408.78,2025-08-19,COMPLETED
CARD_TRANSACTIONS00000074,REF00180226,903.63,2026-01-16,CANCELLED
CARD_TRANSACTIONS00000075,REF00415099,5599.14,2025-12-07,CANCELLED
CARD_TRANSACTIONS00000076,REF00783549,3891.79,2025-04-14,CANCELLED
CARD_TRANSACTIONS00000077,REF00021870,3635.89,2025-02-07,COMPLETED
CARD_TRANSACTIONS00000078,REF00478806,9687.7,2025-06-05,COMPLETED
CARD_TRANSACTIONS00000079,REF00203097,3679.2,2025-04-15,COMPLETED
CARD_TRANSACTIONS00000080,REF00454156,4242.74,2025-02-01,PENDING
CARD_TRANSACTIONS00000081,REF00415783,6087.48,2025-05-26,PENDING
CARD_TRANSACTIONS00000082,REF00061932,9238.85,2025-09-26,COMPLETED
CARD_TRANSACTIONS00000083,REF00810242,7700.17,2025-01-31,ACTIVE
CARD_TRANSACTIONS00000084,REF00802305,7700.96,2025-06-16,ACTIVE
CARD_TRANSACTIONS00000085,REF00391485,7677.11,2025-07-03,COMPLETED
CARD_TRANSACTIONS00000086,REF00414236,7325.22,2025-08-09,PENDING
CARD_TRANSACTIONS00000087,REF00780612,4093.69,2026-01-07,CANCELLED
CARD_TRANSACTIONS00000088,REF00313432,558.68,2025-12-09,PENDING
CARD_TRANSACTIONS00000089,REF00712531,1777.39,2025-07-21,CANCELLED
CARD_TRANSACTIONS00000090,REF00972604,3480.47,2025-07-07,PENDING
CARD_TRANSACTIONS00000091,REF00437626,1764.65,2025-09-22,CANCELLED
CARD_TRANSACTIONS00000092,REF00734562,6642.52,2025-04-04,COMPLETED
CARD_TRANSACTIONS00000093,REF00892114,3404.91,2025-06-10,ACTIVE
CARD_TRANSACTIONS00000094,REF00856039,9423.9,2025-03-23,CANCELLED
CARD_TRANSACTIONS00000095,REF00264728,6920.77,2025-12-10,PENDING
CARD_TRANSACTIONS00000096,REF00935478,7845.73,2025-05-25,ACTIVE
CARD_TRANSACTIONS00000097,REF00549808,8941.78,2025-04-16,COMPLETED
CARD_TRANSACTIONS00000098,REF00970142,9554.05,2025-05-11,CANCELLED
CARD_TRANSACTIONS00000099,REF00488909,5600.23,2025-10-06,PENDING
CARD_TRANSACTIONS00000100,REF00603659,9701.13,2025-05-17,CANCELLED
CARD_TRANSACTIONS00000101,REF00408849,2863.12,2025-12-09,CANCELLED
CARD_TRANSACTIONS00000102,REF00220259,2285.67,2025-07-24,COMPLETED
CARD_TRANSACTIONS00000103,REF00465811,205.73,2025-08-01,CANCELLED
CARD_TRANSACTIONS00000104,REF00911923,8113.8,2025-06-11,PENDING
CARD_TRANSACTIONS00000105,REF00991120,3252.79,2026-01-05,COMPLETED
CARD_TRANSACTIONS00000106,REF00752175,2080.19,2025-05-31,PENDING
CARD_TRANSACTIONS00000107,REF00500401,6727.17,2025-12-21,PENDING
CARD_TRANSACTIONS00000108,REF00587218,3524.67,2025-06-21,COMPLETED
CARD_TRANSACTIONS00000109,REF00936983,4374.11,2025-03-02,CANCELLED
CARD_TRANSACTIONS00000110,REF00661854,2290.36,2025-08-03,ACTIVE
CARD_TRANSACTIONS00000111,REF00300097,6939.61,2025-02-07,ACTIVE
CARD_TRANSACTIONS00000112,REF00493101,2520.36,2025-05-27,CANCELLED
CARD_TRANSACTIONS00000113,REF00651117,593.74,2025-04-27,CANCELLED
CARD_TRANSACTIONS00000114,REF00454209,9389.89,2025-03-09,ACTIVE
CARD_TRANSACTIONS00000115,REF00242479,9854.54,2025-12-05,ACTIVE
CARD_TRANSACTIONS00000116,REF00313263,8871.04,2025-12-29,CANCELLED
CARD_TRANSACTIONS00000117,REF00541528,6663.6,2025-06-19,PENDING
CARD_TRANSACTIONS00000118,REF00050342,6948.37,2025-02-28,COMPLETED
CARD_TRANSACTIONS00000119,REF00217937,8556.95,2025-01-30,CANCELLED
CARD_TRANSACTIONS00000120,REF00386675,2704.21,2025-03-10,COMPLETED
CARD_TRANSACTIONS00000121,REF00753216,9340.39,2025-09-22,PENDING
CARD_TRANSACTIONS00000122,REF00441892,8289.33,2025-06-01,ACTIVE
CARD_TRANSACTIONS00000123,REF00044395,6956.79,2025-07-28,PENDING
CARD_TRANSACTIONS00000124,REF00634185,3330.16,2025-04-03,COMPLETED
CARD_TRANSACTIONS00000125,REF00683323,9099.67,2025-09-01,PENDING
CARD_TRANSACTIONS00000126,REF00517666,4313.62,2025-12-20,ACTIVE
CARD_TRANSACTIONS00000127,REF00983942,7487.18,2025-08-14,PENDING
CARD_TRANSACTIONS00000128,REF00753549,6314.67,2025-02-02,CANCELLED
CARD_TRANSACTIONS00000129,REF00994926,498.72,2025-08-28,PENDING
CARD_TRANSACTIONS00000130,REF00637858,1838.73,2025-05-21,ACTIVE
CARD_TRANSACTIONS00000131,REF00246712,3208.15,2025-03-12,PENDING
CARD_TRANSACTIONS00000132,REF00456411,4434.21,2025-08-17,COMPLETED
CARD_TRANSACTIONS00000133,REF00738442,7664.63,2025-09-08,ACTIVE
CARD_TRANSACTIONS00000134,REF00584550,3821.23,2025-02-22,COMPLETED
CARD_TRANSACTIONS00000135,REF00809345,9677.41,2025-08-24,ACTIVE
CARD_TRANSACTIONS00000136,REF00846313,9859.67,2025-06-07,COMPLETED
CARD_TRANSACTIONS00000137,REF00122874,4625.27,2026-01-19,ACTIVE
CARD_TRANSACTIONS00000138,REF00566165,4172.34,2025-02-09,COMPLETED
CARD_TRANSACTIONS00000139,REF00231106,2307.04,2025-09-24,PENDING
CARD_TRANSACTIONS00000140,REF00333275,8489.47,2025-04-26,PENDING
CARD_TRANSACTIONS00000141,REF00942384,9339.68,2025-09-03,CANCELLED
CARD_TRANSACTIONS00000142,REF00609902,1153.43,2025-06-21,PENDING
CARD_TRANSACTIONS00000143,REF00156080,6091.39,2025-04-20,PENDING
CARD_TRANSACTIONS00000144,REF00633005,2534.08,2025-02-23,ACTIVE
CARD_TRANSACTIONS00000145,REF00258919,3907.34,2025-06-22,COMPLETED
CARD_TRANSACTIONS00000146,REF00658765,9818.09,2025-06-29,CANCELLED
CARD_TRANSACTIONS00000147,REF00532138,8290.26,2025-06-14,ACTIVE
CARD_TRANSACTIONS00000148,REF00498333,3268.78,2026-01-05,ACTIVE
CARD_TRANSACTIONS00000149,REF00676501,9031.82,2025-06-14,PENDING
CARD_TRANSACTIONS00000150,REF00753879,308.26,2025-11-04,COMPLETED
CARD_TRANSACTIONS00000151,REF00004041,2071.36,2026-01-16,CANCELLED
CARD_TRANSACTIONS00000152,REF00248385,7980.84,2025-03-17,ACTIVE
CARD_TRANSACTIONS00000153,REF00590207,8169.96,2025-09-28,PENDING
CARD_TRANSACTIONS00000154,REF00597507,9423.07,2025-09-01,COMPLETED
CARD_TRANSACTIONS00000155,REF00611888,113.99,2025-01-25,CANCELLED
CARD_TRANSACTIONS00000156,REF00424421,3759.81,2025-09-30,ACTIVE
