id,reference_id,amount,date,status
CARD_STATEMENTS00000001,REF00635193,44.25,2025-04-04,COMPLETED
CARD_STATEMENTS00000002,REF00119225,4831.74,2026-01-03,COMPLETED
CARD_STATEMENTS00000003,REF00584699,4321.38,2025-06-16,PENDING
CARD_STATEMENTS00000004,REF00319669,4862.75,2025-07-12,COMPLETED
CARD_STATEMENTS00000005,REF00780215,581.01,2025-04-24,ACTIVE
CARD_STATEMENTS00000006,REF00553718,9016.58,2025-07-06,PENDING
CARD_STATEMENTS00000007,REF00269672,6156.46,2025-09-24,PENDING
CARD_STATEMENTS00000008,REF00596477,3680.82,2026-01-18,COMPLETED
CARD_STATEMENTS00000009,REF00538887,7198.75,2025-09-23,CANCELLED
CARD_STATEMENTS00000010,REF00606145,4392.5,2025-08-27,COMPLETED
CARD_STATEMENTS00000011,REF00718134,5900.6,2025-11-06,COMPLETED
CARD_STATEMENTS00000012,REF00003825,398.23,2025-02-12,ACTIVE
CARD_STATEMENTS00000013,REF00223430,8305.92,2025-12-14,ACTIVE
CARD_STATEMENTS00000014,REF00381827,8505.66,2025-06-23,PENDING
CARD_STATEMENTS00000015,REF00170614,6148.49,2025-10-06,PENDING
CARD_STATEMENTS00000016,REF00174593,9929.25,2025-07-30,ACTIVE
CARD_STATEMENTS00000017,REF00299839,538.76,2025-10-05,COMPLETED
CARD_STATEMENTS00000018,REF00924021,3130.44,2025-04-13,ACTIVE
CARD_STATEMENTS00000019,REF00838712,1342.81,2025-08-02,PENDING
CARD_STATEMENTS00000020,REF00187923,1105.09,2025-06-05,CANCELLED
CARD_STATEMENTS00000021,REF00887186,7601.4,2025-02-06,COMPLETED
CARD_STATEMENTS00000022,REF00922506,9992.02,2025-03-19,ACTIVE
CARD_STATEMENTS00000023,REF00214714,856.01,2025-04-13,ACTIVE
CARD_STATEMENTS00000024,REF00170835,9277.22,2025-02-21,CANCELLED
CARD_STATEMENTS00000025,REF00557904,2296.74,2025-04-04,CANCELLED
CARD_STATEMENTS00000026,REF00189655,9591.87,2025-03-08,COMPLETED
CARD_STATEMENTS00000027,REF00333563,597.98,2025-10-15,COMPLETED
CARD_STATEMENTS00000028,REF00573476,6541.38,2025-09-22,COMPLETED
CARD_STATEMENTS00000029,REF00202258,2922.75,2025-10-21,ACTIVE
CARD_STATEMENTS00000030,REF00863915,5936.65,2025-08-08,ACTIVE
CARD_STATEMENTS00000031,REF00504518,493.74,2025-08-31,CANCELLED
CARD_STATEMENTS00000032,REF00922911,678.64,2025-11-18,ACTIVE
CARD_STATEMENTS00000033,REF00698810,9091.39,2025-03-23,ACTIVE
CARD_STATEMENTS00000034,REF00921292,9564.4,2025-03-30,PENDING
CARD_STATEMENTS00000035,REF00572917,4141.22,2026-01-18,COMPLETED
CARD_STATEMENTS00000036,REF00768245,8519.2,2025-07-09,COMPLETED
CARD_STATEMENTS00000037,REF00572976,7425.52,2025-01-23,ACTIVE
CARD_STATEMENTS00000038,REF00975398,2586.17,2025-12-25,PENDING
CARD_STATEMENTS00000039,REF00388511,9155.55,2025-06-30,ACTIVE
CARD_STATEMENTS00000040,REF00908030,2771.66,2025-07-28,ACTIVE
CARD_STATEMENTS00000041,REF00835438,2149.48,2025-11-30,CANCELLED
CARD_STATEMENTS00000042,REF00937402,791.0,2025-06-02,PENDING
CARD_STATEMENTS00000043,REF00786626,6539.42,2025-10-19,PENDING
CARD_STATEMENTS00000044,REF00292149,1444.85,2025-08-27,CANCELLED
CARD_STATEMENTS00000045,REF00718864,1931.04,2025-04-03,PENDING
CARD_STATEMENTS00000046,REF00047032,8911.08,2025-06-16,PENDING
