id,reference_id,amount,date,status
FIXED_DEPOSITS00000001,REF00047997,9938.34,2025-05-02,PENDING
FIXED_DEPOSITS00000002,REF00315655,9538.92,2025-09-01,COMPLETED
FIXED_DEPOSITS00000003,REF00913276,5901.95,2025-12-15,COMPLETED
FIXED_DEPOSITS00000004,REF00495330,5573.15,2025-04-07,COMPLETED
FIXED_DEPOSITS00000005,REF00475022,9927.78,2025-07-09,ACTIVE
FIXED_DEPOSITS00000006,REF00787518,8450.94,2025-08-13,PENDING
FIXED_DEPOSITS00000007,REF00938211,6374.64,2025-11-24,CANCELLED
FIXED_DEPOSITS00000008,REF00457079,5092.82,2025-08-21,COMPLETED
FIXED_DEPOSITS00000009,REF00326133,9814.69,2025-12-01,PENDING
FIXED_DEPOSITS00000010,REF00079295,4920.58,2025-02-22,COMPLETED
FIXED_DEPOSITS00000011,REF00275447,2493.57,2025-06-13,CANCELLED
FIXED_DEPOSITS00000012,REF00643676,886.01,2025-06-26,PENDING
FIXED_DEPOSITS00000013,REF00252087,588.32,2025-07-08,CANCELLED
FIXED_DEPOSITS00000014,REF00921405,8755.55,2025-04-02,CANCELLED
FIXED_DEPOSITS00000015,REF00062339,9660.06,2025-08-07,CANCELLED
FIXED_DEPOSITS00000016,REF00661858,8445.2,2025-02-26,COMPLETED
FIXED_DEPOSITS00000017,REF00164919,4030.58,2025-04-08,COMPLETED
FIXED_DEPOSITS00000018,REF00181048,2844.12,2025-06-10,PENDING
FIXED_DEPOSITS00000019,REF00558428,9585.41,2025-03-03,COMPLETED
FIXED_DEPOSITS00000020,REF00860898,3431.9,2025-05-12,COMPLETED
FIXED_DEPOSITS00000021,REF00956585,8677.55,2025-12-18,CANCELLED
FIXED_DEPOSITS00000022,REF00775100,7488.84,2025-10-09,COMPLETED
FIXED_DEPOSITS00000023,REF00955478,6817.64,2025-07-16,CANCELLED
FIXED_DEPOSITS00000024,REF00294912,3374.51,2025-10-12,CANCELLED
