id,reference_id,amount,date,status
FUND_TRANSFERS00000001,REF00621460,7284.16,2025-02-03,ACTIVE
FUND_TRANSFERS00000002,REF00915282,6989.18,2025-08-06,ACTIVE
FUND_TRANSFERS00000003,REF00695827,5197.01,2025-07-02,ACTIVE
FUND_TRANSFERS00000004,REF00432487,9958.5,2025-07-12,COMPLETED
FUND_TRANSFERS00000005,REF00608526,8637.38,2026-01-13,COMPLETED
FUND_TRANSFERS00000006,REF00511314,1770.96,2025-12-25,CANCELLED
FUND_TRANSFERS00000007,REF00061134,1203.45,2025-10-27,ACTIVE
FUND_TRANSFERS00000008,REF00110974,6111.53,2025-05-02,CANCELLED
FUND_TRANSFERS00000009,REF00294431,3570.01,2025-03-30,CANCELLED
FUND_TRANSFERS00000010,REF00213902,4502.66,2025-04-02,CANCELLED
FUND_TRANSFERS00000011,REF00370877,2388.6,2025-08-09,ACTIVE
FUND_TRANSFERS00000012,REF00243823,6296.83,2025-09-02,ACTIVE
FUND_TRANSFERS00000013,REF00231007,1948.75,2025-06-19,ACTIVE
FUND_TRANSFERS00000014,REF00304438,4766.05,2025-10-18,CANCELLED
FUND_TRANSFERS00000015,REF00470998,9047.39,2025-07-24,PENDING
FUND_TRANSFERS00000016,REF00848098,9536.77,2025-07-21,PENDING
FUND_TRANSFERS00000017,REF00251419,1731.94,2025-02-28,PENDING
FUND_TRANSFERS00000018,REF00034428,1210.39,2025-10-25,CANCELLED
FUND_TRANSFERS00000019,REF00553987,6255.57,2025-09-18,PENDING
FUND_TRANSFERS00000020,REF00952418,4791.04,2025-01-29,CANCELLED
FUND_TRANSFERS00000021,REF00829567,4652.62,2025-07-07,PENDING
FUND_TRANSFERS00000022,REF00338087,4777.69,2025-02-12,CANCELLED
FUND_TRANSFERS00000023,REF00340093,2110.69,2025-09-28,COMPLETED
FUND_TRANSFERS00000024,REF00663967,6546.75,2025-10-24,CANCELLED
FUND_TRANSFERS00000025,REF00560407,7846.73,2026-01-09,COMPLETED
FUND_TRANSFERS00000026,REF00891339,20.32,2025-09-18,CANCELLED
FUND_TRANSFERS00000027,REF00724391,9584.46,2026-01-15,PENDING
FUND_TRANSFERS00000028,REF00489215,2086.46,2025-05-11,COMPLETED
FUND_TRANSFERS00000029,REF00618288,2047.36,2025-12-02,COMPLETED
FUND_TRANSFERS00000030,REF00925957,6584.86,2025-07-13,COMPLETED
FUND_TRANSFERS00000031,REF00198739,8769.5,2025-10-31,PENDING
FUND_TRANSFERS00000032,REF00824675,4388.67,2025-05-24,ACTIVE
FUND_TRANSFERS00000033,REF00428511,8260.62,2025-09-04,COMPLETED
FUND_TRANSFERS00000034,REF00745825,9647.75,2025-02-03,CANCELLED
FUND_TRANSFERS00000035,REF00961252,7644.35,2025-10-14,ACTIVE
FUND_TRANSFERS00000036,REF00070433,4080.21,2025-11-23,PENDING
FUND_TRANSFERS00000037,REF00935544,5910.74,2026-01-01,COMPLETED
FUND_TRANSFERS00000038,REF00545088,2871.66,2025-03-31,CANCELLED
FUND_TRANSFERS00000039,REF00256326,7684.66,2025-11-05,ACTIVE
FUND_TRANSFERS00000040,REF00341524,6050.61,2025-02-21,PENDING
FUND_TRANSFERS00000041,REF00784962,4732.46,2025-02-01,CANCELLED
FUND_TRANSFERS00000042,REF00863022,499.06,2025-05-18,ACTIVE
FUND_TRANSFERS00000043,REF00527349,5941.37,2025-08-20,COMPLETED
FUND_TRANSFERS00000044,REF00109988,6972.14,2025-02-01,ACTIVE
FUND_TRANSFERS00000045,REF00504563,6990.51,2025-08-06,CANCELLED
FUND_TRANSFERS00000046,REF00068797,5950.27,2025-08-01,COMPLETED
FUND_TRANSFERS00000047,REF00061178,727.2,2025-11-09,ACTIVE
FUND_TRANSFERS00000048,REF00975680,4756.95,2025-05-21,CANCELLED
FUND_TRANSFERS00000049,REF00294492,5035.74,2025-12-18,PENDING
FUND_TRANSFERS00000050,REF00100400,6713.48,2025-06-03,CANCELLED
FUND_TRANSFERS00000051,REF00798442,3118.12,2025-07-18,COMPLETED
FUND_TRANSFERS00000052,REF00607954,7449.4,2025-02-17,ACTIVE
FUND_TRANSFERS00000053,REF00314638,9027.52,2025-12-08,PENDING
FUND_TRANSFERS00000054,REF00253662,3253.96,2025-06-07,COMPLETED
FUND_TRANSFERS00000055,REF00640360,9241.34,2025-09-11,PENDING
FUND_TRANSFERS00000056,REF00791430,6868.12,2025-06-07,PENDING
FUND_TRANSFERS00000057,REF00777966,5477.0,2025-06-18,COMPLETED
FUND_TRANSFERS00000058,REF00546028,9175.02,2025-10-27,PENDING
FUND_TRANSFERS00000059,REF00134518,6396.16,2026-01-08,ACTIVE
FUND_TRANSFERS00000060,REF00204536,6793.55,2026-01-16,ACTIVE
FUND_TRANSFERS00000061,REF00498992,5218.18,2025-03-20,CANCELLED
FUND_TRANSFERS00000062,REF00344034,1610.96,2025-06-23,ACTIVE
FUND_TRANSFERS00000063,REF00718556,1399.46,2025-04-24,COMPLETED
FUND_TRANSFERS00000064,REF00377727,4599.42,2026-01-04,PENDING
FUND_TRANSFERS00000065,REF00120344,3084.88,2025-07-15,COMPLETED
FUND_TRANSFERS00000066,REF00276359,9093.06,2025-04-01,PENDING
FUND_TRANSFERS00000067,REF00626354,9056.51,2025-04-08,COMPLETED
FUND_TRANSFERS00000068,REF00553973,2385.67,2026-01-07,CANCELLED
FUND_TRANSFERS00000069,REF00661095,7082.74,2025-02-26,CANCELLED
FUND_TRANSFERS00000070,REF00856732,6477.54,2025-05-09,CANCELLED
FUND_TRANSFERS00000071,REF00739187,6919.75,2025-11-08,PENDING
FUND_TRANSFERS00000072,REF00180295,2505.36,2025-07-10,ACTIVE
FUND_TRANSFERS00000073,REF00760338,1026.23,2025-03-26,PENDING
FUND_TRANSFERS00000074,REF00408877,9608.83,2025-12-12,PENDING
FUND_TRANSFERS00000075,REF00962620,2079.5,2025-12-13,CANCELLED
FUND_TRANSFERS00000076,REF00699158,9460.39,2025-10-13,COMPLETED
FUND_TRANSFERS00000077,REF00053042,5075.2,2025-06-10,CANCELLED
FUND_TRANSFERS00000078,REF00352867,9067.85,2025-04-24,ACTIVE
FUND_TRANSFERS00000079,REF00438370,7905.35,2025-09-04,COMPLETED
FUND_TRANSFERS00000080,REF00891749,4664.58,2025-07-27,ACTIVE
FUND_TRANSFERS00000081,REF00395437,6930.64,2025-10-22,ACTIVE
FUND_TRANSFERS00000082,REF00034744,9708.79,2025-03-12,COMPLETED
FUND_TRANSFERS00000083,REF00816573,1655.36,2025-03-13,CANCELLED
FUND_TRANSFERS00000084,REF00198768,3061.73,2025-09-06,PENDING
FUND_TRANSFERS00000085,REF00009659,1668.67,2025-06-07,CANCELLED
FUND_TRANSFERS00000086,REF00482069,2904.26,2025-12-09,ACTIVE
FUND_TRANSFERS00000087,REF00391200,5108.71,2025-04-24,PENDING
FUND_TRANSFERS00000088,REF00218699,6599.42,2025-09-18,COMPLETED
FUND_TRANSFERS00000089,REF00996674,695.88,2025-06-02,CANCELLED
FUND_TRANSFERS00000090,REF00031095,4093.16,2025-05-02,PENDING
FUND_TRANSFERS00000091,REF00889927,5466.55,2025-08-11,PENDING
FUND_TRANSFERS00000092,REF00817518,9484.36,2025-12-08,CANCELLED
FUND_TRANSFERS00000093,REF00037535,6694.71,2025-07-09,CANCELLED
FUND_TRANSFERS00000094,REF00289760,1678.7,2025-04-07,PENDING
FUND_TRANSFERS00000095,REF00701778,2843.86,2025-11-12,PENDING
FUND_TRANSFERS00000096,REF00629394,9222.16,2025-10-14,ACTIVE
FUND_TRANSFERS00000097,REF00071183,3643.32,2025-11-15,PENDING
FUND_TRANSFERS00000098,REF00938844,9399.08,2025-08-08,COMPLETED
FUND_TRANSFERS00000099,REF00950122,5944.34,2025-01-25,COMPLETED
FUND_TRANSFERS00000100,REF00918815,6313.65,2025-12-31,ACTIVE
FUND_TRANSFERS00000101,REF00937153,894.3,2025-12-02,ACTIVE
FUND_TRANSFERS00000102,REF00832314,8163.18,2025-05-17,PENDING
FUND_TRANSFERS00000103,REF00612645,5515.94,2025-10-10,ACTIVE
FUND_TRANSFERS00000104,REF00474075,9214.58,2025-10-06,CANCELLED
FUND_TRANSFERS00000105,REF00510523,14.23,2025-08-19,PENDING
FUND_TRANSFERS00000106,REF00919316,5034.37,2025-05-27,ACTIVE
FUND_TRANSFERS00000107,REF00313855,3486.33,2025-02-10,CANCELLED
FUND_TRANSFERS00000108,REF00817714,2810.21,2025-09-06,ACTIVE
FUND_TRANSFERS00000109,REF00780113,4034.88,2025-07-13,ACTIVE
FUND_TRANSFERS00000110,REF00665854,6282.77,2025-09-12,COMPLETED
FUND_TRANSFERS00000111,REF00887334,8555.39,2025-10-24,ACTIVE
FUND_TRANSFERS00000112,REF00739185,7793.01,2025-07-26,ACTIVE
FUND_TRANSFERS00000113,REF00967643,2047.23,2025-12-18,PENDING
FUND_TRANSFERS00000114,REF00164132,2403.14,2025-04-07,CANCELLED
FUND_TRANSFERS00000115,REF00677035,5821.14,2025-10-28,COMPLETED
FUND_TRANSFERS00000116,REF00374047,1807.11,2025-07-16,COMPLETED
FUND_TRANSFERS00000117,REF00971727,9035.22,2025-10-29,PENDING
FUND_TRANSFERS00000118,REF00151909,2501.54,2025-09-25,PENDING
FUND_TRANSFERS00000119,REF00953434,4094.39,2025-05-02,ACTIVE
FUND_TRANSFERS00000120,REF00811824,2639.9,2025-11-06,PENDING
FUND_TRANSFERS00000121,REF00416658,8667.02,2025-06-02,ACTIVE
FUND_TRANSFERS00000122,REF00982319,4317.33,2025-12-19,ACTIVE
FUND_TRANSFERS00000123,REF00464041,2613.28,2025-10-20,COMPLETED
FUND_TRANSFERS00000124,REF00194765,3165.27,2025-12-07,PENDING
FUND_TRANSFERS00000125,REF00696169,1902.23,2025-05-07,ACTIVE
FUND_TRANSFERS00000126,REF00954835,4821.23,2025-08-23,CANCELLED
FUND_TRANSFERS00000127,REF00022121,8830.31,2025-04-10,ACTIVE
FUND_TRANSFERS00000128,REF00670669,8602.3,2026-01-05,CANCELLED
FUND_TRANSFERS00000129,REF00363172,3984.84,2025-11-12,CANCELLED
FUND_TRANSFERS00000130,REF00720785,2576.86,2025-09-12,ACTIVE
FUND_TRANSFERS00000131,REF00461631,2661.29,2025-10-09,COMPLETED
FUND_TRANSFERS00000132,REF00413952,1706.3,2025-04-24,COMPLETED
FUND_TRANSFERS00000133,REF00827465,7462.05,2025-05-29,CANCELLED
FUND_TRANSFERS00000134,REF00263581,7487.68,2025-01-24,COMPLETED
FUND_TRANSFERS00000135,REF00996588,1838.5,2025-10-28,COMPLETED
FUND_TRANSFERS00000136,REF00056075,8018.35,2025-04-01,ACTIVE
FUND_TRANSFERS00000137,REF00700178,4586.3,2025-04-07,COMPLETED
FUND_TRANSFERS00000138,REF00696380,689.21,2025-08-15,ACTIVE
FUND_TRANSFERS00000139,REF00307225,5793.36,2025-08-18,PENDING
FUND_TRANSFERS00000140,REF00391709,9082.18,2025-07-20,CANCELLED
FUND_TRANSFERS00000141,REF00938943,6978.27,2025-08-09,COMPLETED
FUND_TRANSFERS00000142,REF00805215,6801.56,2025-02-27,CANCELLED
FUND_TRANSFERS00000143,REF00997926,4755.6,2025-08-23,CANCELLED
FUND_TRANSFERS00000144,REF00187315,1171.94,2025-09-22,CANCELLED
FUND_TRANSFERS00000145,REF00912866,1577.5,2025-08-23,ACTIVE
FUND_TRANSFERS00000146,REF00271733,1117.24,2025-07-16,ACTIVE
FUND_TRANSFERS00000147,REF00691059,2597.75,2025-09-04,COMPLETED
FUND_TRANSFERS00000148,REF00993933,6013.55,2025-07-13,CANCELLED
FUND_TRANSFERS00000149,REF00876431,6223.48,2025-11-19,ACTIVE
FUND_TRANSFERS00000150,REF00696645,1349.66,2025-10-10,COMPLETED
FUND_TRANSFERS00000151,REF00266283,910.15,2025-08-31,ACTIVE
FUND_TRANSFERS00000152,REF00196119,4148.6,2025-06-25,COMPLETED
FUND_TRANSFERS00000153,REF00356949,9843.77,2025-05-13,CANCELLED
FUND_TRANSFERS00000154,REF00326811,8247.78,2026-01-12,ACTIVE
FUND_TRANSFERS00000155,REF00379153,2078.18,2025-12-28,PENDING
FUND_TRANSFERS00000156,REF00922107,244.65,2025-04-04,COMPLETED
FUND_TRANSFERS00000157,REF00857730,1142.4,2025-01-23,COMPLETED
FUND_TRANSFERS00000158,REF00999898,8882.85,2025-10-04,CANCELLED
FUND_TRANSFERS00000159,REF00337362,3746.21,2025-03-05,ACTIVE
FUND_TRANSFERS00000160,REF00838393,7259.01,2025-11-25,PENDING
FUND_TRANSFERS00000161,REF00964490,8586.48,2025-01-29,ACTIVE
FUND_TRANSFERS00000162,REF00971743,9957.81,2025-03-22,ACTIVE
FUND_TRANSFERS00000163,REF00178417,8518.97,2025-11-23,PENDING
FUND_TRANSFERS00000164,REF00162511,7519.31,2025-03-08,CANCELLED
FUND_TRANSFERS00000165,REF00665987,9870.43,2025-09-13,PENDING
FUND_TRANSFERS00000166,REF00421196,4292.11,2025-08-12,CANCELLED
FUND_TRANSFERS00000167,REF00599047,9557.3,2025-04-18,CANCELLED
FUND_TRANSFERS00000168,REF00936491,7760.12,2025-02-07,CANCELLED
FUND_TRANSFERS00000169,REF00318384,364.28,2025-06-16,COMPLETED
FUND_TRANSFERS00000170,REF00064392,5210.3,2025-10-04,ACTIVE
FUND_TRANSFERS00000171,REF00874920,1171.76,2025-08-10,ACTIVE
FUND_TRANSFERS00000172,REF00785002,2402.16,2025-04-03,ACTIVE
FUND_TRANSFERS00000173,REF00732379,7261.37,2025-08-25,PENDING
FUND_TRANSFERS00000174,REF00625008,114.19,2026-01-03,ACTIVE
FUND_TRANSFERS00000175,REF00293811,7647.37,2025-06-18,ACTIVE
FUND_TRANSFERS00000176,REF00832273,9585.09,2025-08-19,ACTIVE
FUND_TRANSFERS00000177,REF00581301,6260.22,2025-05-01,PENDING
FUND_TRANSFERS00000178,REF00154280,8212.39,2025-07-04,COMPLETED
FUND_TRANSFERS00000179,REF00012113,6462.04,2025-04-03,PENDING
FUND_TRANSFERS00000180,REF00154691,3865.76,2026-01-17,PENDING
FUND_TRANSFERS00000181,REF00234513,1975.81,2025-05-11,PENDING
FUND_TRANSFERS00000182,REF00838393,2510.66,2025-06-20,CANCELLED
FUND_TRANSFERS00000183,REF00426553,8234.11,2025-01-26,CANCELLED
FUND_TRANSFERS00000184,REF00735723,4346.51,2025-03-30,PENDING
FUND_TRANSFERS00000185,REF00828550,2381.4,2025-05-02,COMPLETED
FUND_TRANSFERS00000186,REF00284503,1086.75,2025-02-22,COMPLETED
FUND_TRANSFERS00000187,REF00660281,4723.61,2025-03-19,ACTIVE
FUND_TRANSFERS00000188,REF00026399,907.22,2025-06-14,ACTIVE
FUND_TRANSFERS00000189,REF00388660,4343.53,2026-01-11,ACTIVE
FUND_TRANSFERS00000190,REF00867220,9653.42,2025-04-10,CANCELLED
FUND_TRANSFERS00000191,REF00145249,2271.19,2025-03-17,PENDING
FUND_TRANSFERS00000192,REF00730108,7921.26,2025-12-13,CANCELLED
FUND_TRANSFERS00000193,REF00916954,6369.22,2025-08-23,PENDING
FUND_TRANSFERS00000194,REF00880085,5623.73,2025-10-06,CANCELLED
FUND_TRANSFERS00000195,REF00083071,3273.38,2025-02-13,PENDING
FUND_TRANSFERS00000196,REF00679675,6367.11,2025-03-14,CANCELLED
FUND_TRANSFERS00000197,REF00215563,3209.25,2025-07-26,COMPLETED
FUND_TRANSFERS00000198,REF00139587,3964.79,2025-11-25,CANCELLED
FUND_TRANSFERS00000199,REF00377538,9490.27,2025-10-10,PENDING
FUND_TRANSFERS00000200,REF00333529,1919.78,2025-07-10,CANCELLED
FUND_TRANSFERS00000201,REF00832875,3530.98,2025-10-30,CANCELLED
FUND_TRANSFERS00000202,REF00926652,9123.99,2025-07-21,CANCELLED
FUND_TRANSFERS00000203,REF00957700,3411.61,2025-03-03,ACTIVE
FUND_TRANSFERS00000204,REF00903558,2713.71,2025-11-18,COMPLETED
FUND_TRANSFERS00000205,REF00629104,3288.87,2025-06-10,ACTIVE
FUND_TRANSFERS00000206,REF00282180,1005.96,2025-10-31,PENDING
FUND_TRANSFERS00000207,REF00183600,391.47,2025-06-23,PENDING
FUND_TRANSFERS00000208,REF00653045,5730.56,2025-06-05,COMPLETED
