id,reference_id,amount,date,status
CHEQUE_BOOK_REQUESTS00000001,REF00646033,5505.18,2025-01-23,CANCELLED
CHEQUE_BOOK_REQUESTS00000002,REF00272811,358.15,2025-06-23,ACTIVE
CHEQUE_BOOK_REQUESTS00000003,REF00434699,7425.23,2025-10-23,COMPLETED
CHEQUE_BOOK_REQUESTS00000004,REF00155521,4655.4,2025-03-11,CANCELLED
CHEQUE_BOOK_REQUESTS00000005,REF00923363,7233.69,2026-01-04,ACTIVE
CHEQUE_BOOK_REQUESTS00000006,REF00771717,3317.4,2025-07-21,COMPLETED
CHEQUE_BOOK_REQUESTS00000007,REF00671233,7160.1,2025-06-25,CANCELLED
CHEQUE_BOOK_REQUESTS00000008,REF00881912,3821.27,2025-09-17,PENDING
CHEQUE_BOOK_REQUESTS00000009,REF00572455,4999.04,2025-09-10,ACTIVE
CHEQUE_BOOK_REQUESTS00000010,REF00029181,3956.44,2025-07-03,COMPLETED
CHEQUE_BOOK_REQUESTS00000011,REF00920083,1769.55,2025-10-13,CANCELLED
CHEQUE_BOOK_REQUESTS00000012,REF00294646,3705.4,2025-02-10,PENDING
CHEQUE_BOOK_REQUESTS00000013,REF00333553,2876.56,2025-07-27,COMPLETED
CHEQUE_BOOK_REQUESTS00000014,REF00771963,8200.75,2025-12-17,COMPLETED
CHEQUE_BOOK_REQUESTS00000015,REF00653960,3814.22,2025-05-20,ACTIVE
CHEQUE_BOOK_REQUESTS00000016,REF00050928,1421.52,2026-01-20,ACTIVE
CHEQUE_BOOK_REQUESTS00000017,REF00453186,278.74,2025-02-21,PENDING
CHEQUE_BOOK_REQUESTS00000018,REF00097415,3277.86,2025-04-27,ACTIVE
CHEQUE_BOOK_REQUESTS00000019,REF00425088,3237.41,2025-12-31,ACTIVE
CHEQUE_BOOK_REQUESTS00000020,REF00353399,9932.0,2025-04-18,ACTIVE
CHEQUE_BOOK_REQUESTS00000021,REF00425855,2897.09,2025-11-11,CANCELLED
CHEQUE_BOOK_REQUESTS00000022,REF00600767,9327.2,2025-07-05,ACTIVE
CHEQUE_BOOK_REQUESTS00000023,REF00772284,3746.68,2025-09-28,PENDING
CHEQUE_BOOK_REQUESTS00000024,REF00591140,9080.42,2025-09-21,CANCELLED
CHEQUE_BOOK_REQUESTS00000025,REF00257919,4490.0,2025-08-08,CANCELLED
CHEQUE_BOOK_REQUESTS00000026,REF00921183,7187.26,2025-09-25,CANCELLED
