id,reference_id,amount,date,status
INTEREST_ACCRUAL00000001,REF00033058,9757.81,2025-01-31,COMPLETED
INTEREST_ACCRUAL00000002,REF00895076,6729.08,2025-06-24,PENDING
INTEREST_ACCRUAL00000003,REF00015273,4174.58,2025-04-10,ACTIVE
INTEREST_ACCRUAL00000004,REF00475691,2437.14,2025-06-08,PENDING
INTEREST_ACCRUAL00000005,REF00213509,6565.21,2025-09-25,CANCELLED
INTEREST_ACCRUAL00000006,REF00881689,2756.17,2025-07-07,COMPLETED
INTEREST_ACCRUAL00000007,REF00719891,6807.77,2025-05-09,PENDING
INTEREST_ACCRUAL00000008,REF00310739,3064.16,2025-09-18,PENDING
INTEREST_ACCRUAL00000009,REF00746550,2573.27,2026-01-14,COMPLETED
INTEREST_ACCRUAL00000010,REF00471084,6652.92,2025-03-19,PENDING
INTEREST_ACCRUAL00000011,REF00824988,9900.53,2025-05-10,ACTIVE
INTEREST_ACCRUAL00000012,REF00181238,6182.84,2025-06-08,ACTIVE
INTEREST_ACCRUAL00000013,REF00063606,5111.47,2025-08-19,COMPLETED
INTEREST_ACCRUAL00000014,REF00130365,9723.22,2025-10-24,ACTIVE
INTEREST_ACCRUAL00000015,REF00816882,9541.09,2025-02-25,ACTIVE
INTEREST_ACCRUAL00000016,REF00877081,5185.1,2025-11-06,COMPLETED
INTEREST_ACCRUAL00000017,REF00512744,9918.45,2025-12-28,PENDING
INTEREST_ACCRUAL00000018,REF00225794,6468.55,2025-09-10,PENDING
INTEREST_ACCRUAL00000019,REF00584536,5795.67,2025-02-17,CANCELLED
INTEREST_ACCRUAL00000020,REF00948195,9863.45,2025-12-14,COMPLETED
INTEREST_ACCRUAL00000021,REF00489247,315.65,2025-11-10,PENDING
INTEREST_ACCRUAL00000022,REF00686834,7886.58,2025-03-03,COMPLETED
INTEREST_ACCRUAL00000023,REF00585875,6702.91,2025-02-19,PENDING
INTEREST_ACCRUAL00000024,REF00327006,4541.98,2026-01-10,PENDING
INTEREST_ACCRUAL00000025,REF00601685,7494.87,2025-08-03,COMPLETED
INTEREST_ACCRUAL00000026,REF00709515,5389.26,2025-09-21,CANCELLED
INTEREST_ACCRUAL00000027,REF00660016,5615.3,2025-09-13,PENDING
INTEREST_ACCRUAL00000028,REF00460590,4325.2,2026-01-03,COMPLETED
INTEREST_ACCRUAL00000029,REF00870077,9868.36,2025-02-12,PENDING
INTEREST_ACCRUAL00000030,REF00095037,5745.79,2025-01-26,COMPLETED
INTEREST_ACCRUAL00000031,REF00515791,8116.24,2025-03-10,CANCELLED
INTEREST_ACCRUAL00000032,REF00352158,2697.91,2025-10-01,ACTIVE
INTEREST_ACCRUAL00000033,REF00097176,1185.1,2025-10-07,PENDING
INTEREST_ACCRUAL00000034,REF00829668,8797.06,2025-05-08,COMPLETED
INTEREST_ACCRUAL00000035,REF00128196,813.49,2025-02-26,CANCELLED
INTEREST_ACCRUAL00000036,REF00426339,7007.34,2025-07-22,COMPLETED
INTEREST_ACCRUAL00000037,REF00324388,1022.82,2025-11-26,ACTIVE
INTEREST_ACCRUAL00000038,REF00639179,3889.49,2025-11-17,PENDING
INTEREST_ACCRUAL00000039,REF00683356,4711.13,2025-05-05,ACTIVE
INTEREST_ACCRUAL00000040,REF00965593,695.0,2025-05-25,PENDING
INTEREST_ACCRUAL00000041,REF00852365,1206.46,2025-10-22,PENDING
INTEREST_ACCRUAL00000042,REF00940587,8260.84,2025-07-23,COMPLETED
INTEREST_ACCRUAL00000043,REF00814781,6955.49,2025-05-07,COMPLETED
INTEREST_ACCRUAL00000044,REF00201083,6010.27,2025-09-09,PENDING
INTEREST_ACCRUAL00000045,REF00755794,1753.4,2025-09-02,COMPLETED
INTEREST_ACCRUAL00000046,REF00606666,7421.58,2025-11-27,CANCELLED
INTEREST_ACCRUAL00000047,REF00814167,530.31,2025-06-17,ACTIVE
INTEREST_ACCRUAL00000048,REF00212292,3526.14,2025-10-19,ACTIVE
INTEREST_ACCRUAL00000049,REF00018139,7579.13,2025-07-12,PENDING
INTEREST_ACCRUAL00000050,REF00166148,4177.44,2025-12-30,ACTIVE
INTEREST_ACCRUAL00000051,REF00480636,6298.52,2025-04-11,ACTIVE
INTEREST_ACCRUAL00000052,REF00828303,5499.99,2025-03-02,ACTIVE
INTEREST_ACCRUAL00000053,REF00071360,679.4,2025-06-22,COMPLETED
INTEREST_ACCRUAL00000054,REF00613328,3520.52,2025-11-07,COMPLETED
INTEREST_ACCRUAL00000055,REF00562486,7436.73,2025-01-25,ACTIVE
INTEREST_ACCRUAL00000056,REF00445644,1221.51,2025-06-30,PENDING
INTEREST_ACCRUAL00000057,REF00586211,4165.68,2025-08-29,ACTIVE
INTEREST_ACCRUAL00000058,REF00154537,1061.66,2025-10-28,ACTIVE
INTEREST_ACCRUAL00000059,REF00800377,9951.78,2025-04-30,CANCELLED
INTEREST_ACCRUAL00000060,REF00201572,356.64,2025-10-30,PENDING
INTEREST_ACCRUAL00000061,REF00221984,6500.57,2025-12-17,COMPLETED
INTEREST_ACCRUAL00000062,REF00892394,5429.68,2025-08-03,CANCELLED
INTEREST_ACCRUAL00000063,REF00915892,7273.64,2025-04-10,ACTIVE
INTEREST_ACCRUAL00000064,REF00412749,9421.9,2025-01-31,PENDING
INTEREST_ACCRUAL00000065,REF00212927,8332.08,2025-12-26,CANCELLED
INTEREST_ACCRUAL00000066,REF00141424,5045.06,2025-05-19,PENDING
INTEREST_ACCRUAL00000067,REF00407205,6838.16,2025-06-04,COMPLETED
