id,reference_id,amount,date,status
FEES_CHARGES00000001,REF00961584,860.71,2026-01-08,PENDING
FEES_CHARGES00000002,REF00903199,2962.61,2025-05-02,CANCELLED
FEES_CHARGES00000003,REF00491307,5670.89,2025-06-19,COMPLETED
FEES_CHARGES00000004,REF00072887,9278.19,2025-06-29,ACTIVE
FEES_CHARGES00000005,REF00000744,3043.42,2025-06-16,ACTIVE
FEES_CHARGES00000006,REF00529785,7912.81,2025-01-31,CANCELLED
FEES_CHARGES00000007,REF00816855,4869.65,2025-03-20,CANCELLED
FEES_CHARGES00000008,REF00718921,3562.68,2025-07-11,PENDING
FEES_CHARGES00000009,REF00436797,1971.74,2025-05-14,COMPLETED
FEES_CHARGES00000010,REF00391173,1349.89,2025-10-21,COMPLETED
FEES_CHARGES00000011,REF00773488,2806.07,2025-12-30,COMPLETED
FEES_CHARGES00000012,REF00200459,3057.03,2025-06-22,ACTIVE
FEES_CHARGES00000013,REF00429826,6055.16,2025-11-26,ACTIVE
FEES_CHARGES00000014,REF00735084,8777.47,2025-09-16,CANCELLED
FEES_CHARGES00000015,REF00398241,9040.7,2025-05-21,PENDING
FEES_CHARGES00000016,REF00265112,8162.2,2025-07-11,ACTIVE
FEES_CHARGES00000017,REF00794101,5044.56,2025-03-05,PENDING
FEES_CHARGES00000018,REF00391168,1395.2,2025-11-06,ACTIVE
FEES_CHARGES00000019,REF00930030,7807.12,2025-10-03,ACTIVE
FEES_CHARGES00000020,REF00891060,4589.7,2025-12-10,ACTIVE
FEES_CHARGES00000021,REF00123342,57.68,2025-06-21,ACTIVE
FEES_CHARGES00000022,REF00819179,3446.69,2025-03-20,COMPLETED
FEES_CHARGES00000023,REF00907021,4902.91,2025-01-22,CANCELLED
FEES_CHARGES00000024,REF00974116,881.98,2025-12-30,COMPLETED
FEES_CHARGES00000025,REF00182708,4995.23,2025-03-19,COMPLETED
FEES_CHARGES00000026,REF00178953,2104.74,2025-08-21,PENDING
FEES_CHARGES00000027,REF00507520,1713.66,2025-02-02,CANCELLED
FEES_CHARGES00000028,REF00053938,7671.39,2025-03-16,CANCELLED
FEES_CHARGES00000029,REF00405274,6496.96,2025-11-07,ACTIVE
FEES_CHARGES00000030,REF00393784,170.21,2025-03-29,PENDING
FEES_CHARGES00000031,REF00171427,1911.42,2025-05-02,ACTIVE
FEES_CHARGES00000032,REF00639168,7909.11,2025-05-23,COMPLETED
FEES_CHARGES00000033,REF00133242,1427.31,2025-10-14,CANCELLED
FEES_CHARGES00000034,REF00062034,4301.6,2025-04-02,COMPLETED
FEES_CHARGES00000035,REF00188704,6267.7,2025-06-11,COMPLETED
FEES_CHARGES00000036,REF00826647,9899.69,2025-03-05,COMPLETED
FEES_CHARGES00000037,REF00787215,1295.12,2025-08-29,COMPLETED
FEES_CHARGES00000038,REF00208029,3893.93,2025-04-17,ACTIVE
FEES_CHARGES00000039,REF00425881,9968.7,2025-10-05,PENDING
FEES_CHARGES00000040,REF00010353,7087.9,2025-04-24,PENDING
FEES_CHARGES00000041,REF00628452,832.77,2025-04-24,COMPLETED
FEES_CHARGES00000042,REF00750154,6362.02,2025-04-16,COMPLETED
FEES_CHARGES00000043,REF00751737,7670.02,2025-05-29,ACTIVE
FEES_CHARGES00000044,REF00089617,9054.49,2025-08-01,CANCELLED
FEES_CHARGES00000045,REF00226032,3135.45,2025-09-26,PENDING
FEES_CHARGES00000046,REF00274099,6451.68,2025-11-07,CANCELLED
FEES_CHARGES00000047,REF00460834,367.02,2025-09-11,COMPLETED
FEES_CHARGES00000048,REF00874044,1579.99,2026-01-21,CANCELLED
FEES_CHARGES00000049,REF00174551,57.72,2025-10-04,PENDING
FEES_CHARGES00000050,REF00153643,2955.42,2025-02-20,ACTIVE
FEES_CHARGES00000051,REF00277364,8414.12,2025-07-25,PENDING
FEES_CHARGES00000052,REF00942743,8793.42,2025-09-29,ACTIVE
FEES_CHARGES00000053,REF00662203,2046.15,2025-05-26,CANCELLED
FEES_CHARGES00000054,REF00113268,4090.05,2025-06-17,PENDING
FEES_CHARGES00000055,REF00168379,4207.44,2025-05-31,COMPLETED
FEES_CHARGES00000056,REF00754236,9964.59,2025-05-04,ACTIVE
FEES_CHARGES00000057,REF00279697,2127.72,2025-10-23,PENDING
FEES_CHARGES00000058,REF00735246,2052.78,2025-03-12,CANCELLED
FEES_CHARGES00000059,REF00282372,4543.24,2025-12-28,CANCELLED
FEES_CHARGES00000060,REF00972823,9139.86,2025-04-25,CANCELLED
FEES_CHARGES00000061,REF00769379,3842.51,2025-11-25,CANCELLED
FEES_CHARGES00000062,REF00181085,642.89,2025-04-08,ACTIVE
FEES_CHARGES00000063,REF00430109,5959.75,2025-05-13,COMPLETED
FEES_CHARGES00000064,REF00672917,4318.9,2026-01-19,COMPLETED
FEES_CHARGES00000065,REF00175158,8831.0,2025-04-10,CANCELLED
FEES_CHARGES00000066,REF00526059,5451.19,2025-03-19,CANCELLED
FEES_CHARGES00000067,REF00374675,8365.76,2025-09-15,COMPLETED
FEES_CHARGES00000068,REF00175475,5568.12,2025-11-27,ACTIVE
FEES_CHARGES00000069,REF00320303,9122.73,2025-06-02,CANCELLED
FEES_CHARGES00000070,REF00013248,6503.0,2025-03-08,CANCELLED
FEES_CHARGES00000071,REF00315389,9655.98,2025-04-02,ACTIVE
FEES_CHARGES00000072,REF00766521,6993.4,2025-03-26,COMPLETED
FEES_CHARGES00000073,REF00580117,8206.82,2025-11-29,PENDING
FEES_CHARGES00000074,REF00752148,6125.32,2025-11-28,PENDING
FEES_CHARGES00000075,REF00145561,2086.51,2025-06-06,PENDING
FEES_CHARGES00000076,REF00834583,8338.34,2026-01-14,COMPLETED
FEES_CHARGES00000077,REF00018977,3587.55,2025-03-14,CANCELLED
FEES_CHARGES00000078,REF00315389,7781.72,2025-04-09,PENDING
FEES_CHARGES00000079,REF00629517,4579.93,2025-06-23,COMPLETED
FEES_CHARGES00000080,REF00332303,9425.03,2025-01-26,PENDING
FEES_CHARGES00000081,REF00322589,4082.42,2025-07-04,ACTIVE
FEES_CHARGES00000082,REF00063941,251.72,2025-07-26,PENDING
FEES_CHARGES00000083,REF00304765,9889.26,2026-01-12,PENDING
FEES_CHARGES00000084,REF00098711,2513.62,2025-02-16,CANCELLED
FEES_CHARGES00000085,REF00529849,8205.8,2025-01-27,CANCELLED
FEES_CHARGES00000086,REF00524060,6846.7,2025-05-27,CANCELLED
FEES_CHARGES00000087,REF00174006,8325.49,2025-09-21,PENDING
FEES_CHARGES00000088,REF00266990,3543.58,2025-06-27,PENDING
FEES_CHARGES00000089,REF00414338,804.41,2025-08-11,ACTIVE
FEES_CHARGES00000090,REF00776941,7483.82,2025-05-14,CANCELLED
FEES_CHARGES00000091,REF00764379,6734.5,2025-10-28,ACTIVE
FEES_CHARGES00000092,REF00816316,9597.3,2025-06-17,CANCELLED
FEES_CHARGES00000093,REF00271601,6375.63,2025-08-10,COMPLETED
FEES_CHARGES00000094,REF00027228,6062.39,2025-10-04,ACTIVE
FEES_CHARGES00000095,REF00666320,845.51,2025-02-20,ACTIVE
FEES_CHARGES00000096,REF00575924,6254.43,2025-07-27,COMPLETED
FEES_CHARGES00000097,REF00275808,8064.89,2025-05-09,COMPLETED
FEES_CHARGES00000098,REF00214943,9429.17,2025-09-06,COMPLETED
FEES_CHARGES00000099,REF00119850,7529.33,2026-01-08,PENDING
FEES_CHARGES00000100,REF00821857,3283.0,2025-10-17,COMPLETED
FEES_CHARGES00000101,REF00096731,1065.24,2025-06-06,COMPLETED
FEES_CHARGES00000102,REF00987536,2778.1,2025-04-03,PENDING
FEES_CHARGES00000103,REF00121129,4844.71,2025-03-21,ACTIVE
FEES_CHARGES00000104,REF00013057,6786.55,2026-01-17,PENDING
FEES_CHARGES00000105,REF00702241,2013.23,2025-06-24,ACTIVE
FEES_CHARGES00000106,REF00364312,1183.45,2025-04-02,CANCELLED
FEES_CHARGES00000107,REF00600704,7648.15,2025-08-18,ACTIVE
FEES_CHARGES00000108,REF00997708,8667.49,2025-03-30,COMPLETED
