id,reference_id,amount,date,status
KYC_DOCUMENTS00000001,REF00555163,3568.08,2025-03-06,PENDING
KYC_DOCUMENTS00000002,REF00755500,8717.43,2025-05-13,CANCELLED
KYC_DOCUMENTS00000003,REF00918389,6930.59,2025-10-11,PENDING
KYC_DOCUMENTS00000004,REF00593382,207.42,2025-10-21,ACTIVE
KYC_DOCUMENTS00000005,REF00409914,9411.99,2025-03-24,COMPLETED
KYC_DOCUMENTS00000006,REF00812432,7287.12,2025-04-16,COMPLETED
KYC_DOCUMENTS00000007,REF00497530,8323.03,2025-06-25,PENDING
KYC_DOCUMENTS00000008,REF00602896,6955.53,2025-10-15,PENDING
KYC_DOCUMENTS00000009,REF00103070,9727.7,2025-04-10,PENDING
KYC_DOCUMENTS00000010,REF00603165,3518.85,2025-02-11,ACTIVE
KYC_DOCUMENTS00000011,REF00688236,6946.17,2025-07-15,CANCELLED
KYC_DOCUMENTS00000012,REF00951041,8468.44,2025-06-16,COMPLETED
KYC_DOCUMENTS00000013,REF00766095,6023.45,2025-06-11,ACTIVE
KYC_DOCUMENTS00000014,REF00530808,1096.31,2025-11-22,PENDING
KYC_DOCUMENTS00000015,REF00657704,2803.02,2025-05-02,PENDING
KYC_DOCUMENTS00000016,REF00353177,5257.78,2026-01-19,PENDING
KYC_DOCUMENTS00000017,REF00220097,2129.5,2025-07-11,ACTIVE
KYC_DOCUMENTS00000018,REF00835182,8112.41,2025-12-22,PENDING
KYC_DOCUMENTS00000019,REF00975976,1931.18,2025-11-19,PENDING
KYC_DOCUMENTS00000020,REF00414292,981.48,2025-03-16,COMPLETED
KYC_DOCUMENTS00000021,REF00428454,9916.86,2025-05-23,COMPLETED
KYC_DOCUMENTS00000022,REF00828054,7779.51,2025-02-02,PENDING
KYC_DOCUMENTS00000023,REF00357249,192.01,2025-12-06,PENDING
KYC_DOCUMENTS00000024,REF00743500,7045.27,2025-12-12,CANCELLED
KYC_DOCUMENTS00000025,REF00610424,9459.72,2025-04-09,COMPLETED
KYC_DOCUMENTS00000026,REF00573281,3345.11,2025-04-13,PENDING
KYC_DOCUMENTS00000027,REF00790738,1793.58,2025-05-01,PENDING
KYC_DOCUMENTS00000028,REF00358476,4566.06,2025-12-17,PENDING
KYC_DOCUMENTS00000029,REF00290911,4809.56,2025-12-13,COMPLETED
KYC_DOCUMENTS00000030,REF00250237,4691.63,2025-07-28,COMPLETED
KYC_DOCUMENTS00000031,REF00244115,6413.99,2025-04-15,ACTIVE
KYC_DOCUMENTS00000032,REF00628329,7748.84,2025-03-17,ACTIVE
KYC_DOCUMENTS00000033,REF00096314,9145.9,2025-12-30,PENDING
KYC_DOCUMENTS00000034,REF00345928,9367.64,2026-01-13,ACTIVE
KYC_DOCUMENTS00000035,REF00581868,8096.5,2026-01-03,CANCELLED
KYC_DOCUMENTS00000036,REF00779440,7084.25,2025-06-29,CANCELLED
KYC_DOCUMENTS00000037,REF00122224,2866.83,2025-01-29,PENDING
KYC_DOCUMENTS00000038,REF00082120,8122.93,2025-04-11,CANCELLED
KYC_DOCUMENTS00000039,REF00639183,8641.98,2025-04-27,CANCELLED
KYC_DOCUMENTS00000040,REF00566565,9047.87,2025-12-09,COMPLETED
KYC_DOCUMENTS00000041,REF00667443,8434.87,2025-11-08,CANCELLED
KYC_DOCUMENTS00000042,REF00885078,3656.38,2025-09-08,CANCELLED
KYC_DOCUMENTS00000043,REF00184880,4271.91,2025-08-26,CANCELLED
KYC_DOCUMENTS00000044,REF00313924,3228.01,2025-11-16,COMPLETED
KYC_DOCUMENTS00000045,REF00316301,7787.36,2025-07-01,ACTIVE
KYC_DOCUMENTS00000046,REF00234978,5874.49,2025-06-08,ACTIVE
KYC_DOCUMENTS00000047,REF00211369,8301.21,2025-01-28,CANCELLED
KYC_DOCUMENTS00000048,REF00145951,1937.81,2025-10-11,ACTIVE
KYC_DOCUMENTS00000049,REF00659256,2113.97,2025-09-20,COMPLETED
KYC_DOCUMENTS00000050,REF00044629,1702.83,2025-02-16,PENDING
KYC_DOCUMENTS00000051,REF00727261,8244.42,2025-06-17,CANCELLED
KYC_DOCUMENTS00000052,REF00142642,4234.11,2025-09-18,COMPLETED
KYC_DOCUMENTS00000053,REF00357110,4834.57,2025-08-01,COMPLETED
KYC_DOCUMENTS00000054,REF00340959,2850.41,2025-06-20,PENDING
KYC_DOCUMENTS00000055,REF00660640,864.2,2025-08-22,ACTIVE
KYC_DOCUMENTS00000056,REF00569051,9067.24,2025-02-26,PENDING
KYC_DOCUMENTS00000057,REF00716324,4333.71,2025-07-05,ACTIVE
KYC_DOCUMENTS00000058,REF00555965,1559.19,2025-07-14,ACTIVE
KYC_DOCUMENTS00000059,REF00088180,6053.91,2025-07-28,CANCELLED
KYC_DOCUMENTS00000060,REF00061112,3862.8,2025-01-24,CANCELLED
KYC_DOCUMENTS00000061,REF00320559,5367.05,2025-08-18,COMPLETED
KYC_DOCUMENTS00000062,REF00435438,292.6,2025-07-24,ACTIVE
KYC_DOCUMENTS00000063,REF00462822,7664.58,2025-09-03,ACTIVE
KYC_DOCUMENTS00000064,REF00679677,8453.89,2025-10-01,PENDING
KYC_DOCUMENTS00000065,REF00110150,2056.96,2025-04-09,PENDING
KYC_DOCUMENTS00000066,REF00999348,5868.24,2025-11-24,COMPLETED
KYC_DOCUMENTS00000067,REF00787617,412.67,2025-08-13,COMPLETED
KYC_DOCUMENTS00000068,REF00200740,7475.66,2025-03-23,ACTIVE
KYC_DOCUMENTS00000069,REF00857968,8490.22,2025-06-16,PENDING
KYC_DOCUMENTS00000070,REF00601333,9323.71,2025-03-25,ACTIVE
KYC_DOCUMENTS00000071,REF00992118,9737.2,2025-05-06,PENDING
KYC_DOCUMENTS00000072,REF00378245,1106.92,2025-04-06,CANCELLED
KYC_DOCUMENTS00000073,REF00318521,4005.73,2025-04-01,PENDING
KYC_DOCUMENTS00000074,REF00739284,223.96,2025-10-17,COMPLETED
KYC_DOCUMENTS00000075,REF00182965,8291.14,2025-09-08,PENDING
KYC_DOCUMENTS00000076,REF00532712,1970.05,2025-05-06,ACTIVE
KYC_DOCUMENTS00000077,REF00158198,6822.82,2025-09-01,COMPLETED
KYC_DOCUMENTS00000078,REF00825412,9194.22,2025-09-02,COMPLETED
KYC_DOCUMENTS00000079,REF00089924,9176.51,2025-12-11,PENDING
KYC_DOCUMENTS00000080,REF00045828,1870.75,2025-03-13,CANCELLED
KYC_DOCUMENTS00000081,REF00621991,4930.07,2025-11-09,CANCELLED
