id,reference_id,amount,date,status
KYC_VERIFICATION00000001,REF00885845,7153.64,2025-08-08,PENDING
KYC_VERIFICATION00000002,REF00389227,7122.82,2025-02-28,ACTIVE
KYC_VERIFICATION00000003,REF00507974,2008.28,2025-02-28,COMPLETED
KYC_VERIFICATION00000004,REF00112133,2964.66,2025-03-01,CANCELLED
KYC_VERIFICATION00000005,REF00000212,3248.63,2025-04-24,PENDING
KYC_VERIFICATION00000006,REF00705420,7578.33,2025-04-15,COMPLETED
KYC_VERIFICATION00000007,REF00583129,5431.51,2025-11-11,COMPLETED
KYC_VERIFICATION00000008,REF00738373,928.4,2026-01-12,CANCELLED
KYC_VERIFICATION00000009,REF00183718,4880.71,2025-10-02,ACTIVE
KYC_VERIFICATION00000010,REF00058274,7389.13,2025-07-27,CANCELLED
KYC_VERIFICATION00000011,REF00470573,1561.89,2025-09-10,CANCELLED
KYC_VERIFICATION00000012,REF00606742,6187.81,2025-04-22,ACTIVE
KYC_VERIFICATION00000013,REF00340585,1363.14,2026-01-12,CANCELLED
KYC_VERIFICATION00000014,REF00429926,112.79,2025-12-18,COMPLETED
KYC_VERIFICATION00000015,REF00548441,7961.8,2025-01-25,CANCELLED
KYC_VERIFICATION00000016,REF00205094,4633.98,2025-11-04,COMPLETED
KYC_VERIFICATION00000017,REF00387450,4288.64,2025-07-27,ACTIVE
KYC_VERIFICATION00000018,REF00076460,4615.47,2025-02-01,CANCELLED
KYC_VERIFICATION00000019,REF00440523,11.12,2025-08-28,CANCELLED
KYC_VERIFICATION00000020,REF00102673,8930.69,2025-04-25,PENDING
KYC_VERIFICATION00000021,REF00885523,862.05,2025-04-17,CANCELLED
KYC_VERIFICATION00000022,REF00813222,5760.94,2025-11-12,CANCELLED
KYC_VERIFICATION00000023,REF00316232,7932.53,2025-07-29,ACTIVE
KYC_VERIFICATION00000024,REF00685097,7453.27,2025-05-15,COMPLETED
KYC_VERIFICATION00000025,REF00173176,4831.58,2025-12-07,CANCELLED
KYC_VERIFICATION00000026,REF00040060,2494.74,2025-09-19,PENDING
KYC_VERIFICATION00000027,REF00695856,2402.94,2025-05-29,COMPLETED
KYC_VERIFICATION00000028,REF00196993,2927.37,2025-09-06,COMPLETED
KYC_VERIFICATION00000029,REF00180151,7891.19,2025-02-10,PENDING
KYC_VERIFICATION00000030,REF00470809,2184.79,2025-09-13,COMPLETED
KYC_VERIFICATION00000031,REF00328891,2768.91,2025-10-08,CANCELLED
KYC_VERIFICATION00000032,REF00468728,320.05,2025-05-22,PENDING
KYC_VERIFICATION00000033,REF00421153,6935.24,2025-12-05,ACTIVE
KYC_VERIFICATION00000034,REF00098761,5516.8,2025-08-30,PENDING
KYC_VERIFICATION00000035,REF00634532,5799.61,2025-09-27,ACTIVE
KYC_VERIFICATION00000036,REF00029593,3053.09,2025-05-01,PENDING
KYC_VERIFICATION00000037,REF00399472,7847.63,2025-10-07,ACTIVE
KYC_VERIFICATION00000038,REF00662330,2260.55,2025-03-13,CANCELLED
KYC_VERIFICATION00000039,REF00668332,4749.69,2025-04-20,ACTIVE
KYC_VERIFICATION00000040,REF00754577,9566.13,2025-04-28,PENDING
KYC_VERIFICATION00000041,REF00029830,563.4,2025-08-05,PENDING
KYC_VERIFICATION00000042,REF00597367,4299.12,2025-10-28,CANCELLED
KYC_VERIFICATION00000043,REF00053283,4037.96,2026-01-06,PENDING
KYC_VERIFICATION00000044,REF00031166,8404.05,2025-09-29,COMPLETED
KYC_VERIFICATION00000045,REF00627838,71.18,2025-05-16,ACTIVE
KYC_VERIFICATION00000046,REF00654204,133.62,2025-12-27,COMPLETED
KYC_VERIFICATION00000047,REF00493200,6689.32,2025-11-29,CANCELLED
KYC_VERIFICATION00000048,REF00247822,7047.61,2026-01-04,PENDING
KYC_VERIFICATION00000049,REF00911867,1921.15,2025-10-20,COMPLETED
KYC_VERIFICATION00000050,REF00383804,2269.84,2025-02-10,CANCELLED
KYC_VERIFICATION00000051,REF00014071,1139.29,2026-01-14,ACTIVE
KYC_VERIFICATION00000052,REF00626339,31.64,2025-05-07,CANCELLED
KYC_VERIFICATION00000053,REF00881961,555.58,2026-01-13,COMPLETED
KYC_VERIFICATION00000054,REF00792285,3330.09,2025-09-24,COMPLETED
KYC_VERIFICATION00000055,REF00211255,5323.28,2025-03-04,ACTIVE
KYC_VERIFICATION00000056,REF00485255,656.35,2025-10-14,PENDING
KYC_VERIFICATION00000057,REF00811408,4556.25,2025-03-18,CANCELLED
KYC_VERIFICATION00000058,REF00967305,2391.9,2025-02-02,ACTIVE
KYC_VERIFICATION00000059,REF00209529,3226.38,2025-07-27,ACTIVE
KYC_VERIFICATION00000060,REF00198288,7384.23,2025-09-16,ACTIVE
KYC_VERIFICATION00000061,REF00084032,5820.36,2025-08-05,CANCELLED
KYC_VERIFICATION00000062,REF00794048,103.41,2025-12-09,ACTIVE
KYC_VERIFICATION00000063,REF00050899,7572.28,2025-08-29,PENDING
KYC_VERIFICATION00000064,REF00024363,89.85,2025-03-25,ACTIVE
KYC_VERIFICATION00000065,REF00841876,9272.27,2025-08-12,PENDING
KYC_VERIFICATION00000066,REF00551242,2992.04,2025-03-21,ACTIVE
KYC_VERIFICATION00000067,REF00931751,3748.63,2025-11-10,COMPLETED
KYC_VERIFICATION00000068,REF00550393,1705.03,2025-08-22,COMPLETED
KYC_VERIFICATION00000069,REF00947717,6828.5,2025-02-03,ACTIVE
KYC_VERIFICATION00000070,REF00909220,1654.96,2025-02-06,ACTIVE
KYC_VERIFICATION00000071,REF00553473,8751.72,2025-11-30,COMPLETED
KYC_VERIFICATION00000072,REF00745723,7239.01,2026-01-03,CANCELLED
KYC_VERIFICATION00000073,REF00727160,9937.93,2025-09-07,PENDING
KYC_VERIFICATION00000074,REF00757612,5882.07,2025-01-22,PENDING
KYC_VERIFICATION00000075,REF00519602,4055.79,2025-03-25,PENDING
KYC_VERIFICATION00000076,REF00160815,6317.6,2025-05-17,ACTIVE
KYC_VERIFICATION00000077,REF00442342,8932.35,2025-01-31,ACTIVE
KYC_VERIFICATION00000078,REF00614126,7967.07,2025-08-29,ACTIVE
KYC_VERIFICATION00000079,REF00212300,961.5,2025-09-25,PENDING
KYC_VERIFICATION00000080,REF00530431,3556.49,2026-01-06,CANCELLED
KYC_VERIFICATION00000081,REF00563841,3620.2,2025-03-05,COMPLETED
KYC_VERIFICATION00000082,REF00728646,6120.3,2025-11-17,COMPLETED
KYC_VERIFICATION00000083,REF00571138,530.79,2025-09-06,COMPLETED
KYC_VERIFICATION00000084,REF00350012,3991.39,2026-01-19,ACTIVE
KYC_VERIFICATION00000085,REF00054473,2598.14,2025-05-24,PENDING
KYC_VERIFICATION00000086,REF00636249,859.46,2026-01-16,PENDING
KYC_VERIFICATION00000087,REF00667627,9624.57,2025-10-15,CANCELLED
KYC_VERIFICATION00000088,REF00193075,7066.28,2025-02-16,CANCELLED
KYC_VERIFICATION00000089,REF00647467,8232.43,2025-06-09,COMPLETED
KYC_VERIFICATION00000090,REF00260727,394.67,2025-07-07,PENDING
