id,reference_id,amount,date,status
PRODUCT_MASTER00000001,REF00004156,8781.53,2025-12-01,PENDING
PRODUCT_MASTER00000002,REF00476484,7607.44,2025-08-15,COMPLETED
PRODUCT_MASTER00000003,REF00255778,7340.81,2025-06-27,PENDING
PRODUCT_MASTER00000004,REF00889395,1498.88,2025-10-25,CANCELLED
PRODUCT_MASTER00000005,REF00932377,2134.33,2025-03-15,ACTIVE
PRODUCT_MASTER00000006,REF00026937,4864.46,2025-03-10,PENDING
PRODUCT_MASTER00000007,REF00375439,1324.88,2025-03-24,CANCELLED
PRODUCT_MASTER00000008,REF00059932,5877.07,2025-02-17,COMPLETED
PRODUCT_MASTER00000009,REF00742932,4069.79,2025-08-10,PENDING
PRODUCT_MASTER00000010,REF00483959,6838.53,2025-07-27,CANCELLED
PRODUCT_MASTER00000011,REF00250704,7443.91,2025-04-17,CANCELLED
PRODUCT_MASTER00000012,REF00390772,2340.66,2025-07-03,COMPLETED
PRODUCT_MASTER00000013,REF00477974,464.21,2025-09-19,ACTIVE
PRODUCT_MASTER00000014,REF00130522,6715.53,2025-11-06,ACTIVE
PRODUCT_MASTER00000015,REF00768694,7424.43,2025-07-30,ACTIVE
PRODUCT_MASTER00000016,REF00908192,2190.8,2025-07-21,ACTIVE
PRODUCT_MASTER00000017,REF00899719,6946.33,2025-09-10,COMPLETED
PRODUCT_MASTER00000018,REF00685999,9803.31,2025-03-03,COMPLETED
PRODUCT_MASTER00000019,REF00446360,4869.67,2025-06-29,COMPLETED
PRODUCT_MASTER00000020,REF00309544,8273.03,2025-12-21,PENDING
PRODUCT_MASTER00000021,REF00045893,8673.58,2025-11-27,COMPLETED
PRODUCT_MASTER00000022,REF00798269,3317.32,2025-05-18,CANCELLED
PRODUCT_MASTER00000023,REF00251108,3876.67,2025-11-26,ACTIVE
PRODUCT_MASTER00000024,REF00113276,8771.72,2025-09-17,COMPLETED
PRODUCT_MASTER00000025,REF00514834,2322.97,2025-09-09,CANCELLED
PRODUCT_MASTER00000026,REF00801830,9525.2,2025-10-28,COMPLETED
PRODUCT_MASTER00000027,REF00230430,6664.73,2025-02-06,CANCELLED
PRODUCT_MASTER00000028,REF00460697,9612.63,2025-08-12,ACTIVE
PRODUCT_MASTER00000029,REF00911313,6193.6,2025-10-24,COMPLETED
PRODUCT_MASTER00000030,REF00337503,4411.87,2025-03-11,CANCELLED
PRODUCT_MASTER00000031,REF00762720,9145.97,2025-11-16,ACTIVE
PRODUCT_MASTER00000032,REF00182467,4089.75,2025-07-24,COMPLETED
PRODUCT_MASTER00000033,REF00723080,3224.67,2025-01-31,ACTIVE
PRODUCT_MASTER00000034,REF00375311,1252.95,2025-11-05,COMPLETED
PRODUCT_MASTER00000035,REF00839295,3772.56,2025-07-11,ACTIVE
PRODUCT_MASTER00000036,REF00452979,6962.9,2025-07-28,CANCELLED
PRODUCT_MASTER00000037,REF00038523,3930.75,2025-11-25,COMPLETED
PRODUCT_MASTER00000038,REF00675183,4703.5,2025-12-12,CANCELLED
PRODUCT_MASTER00000039,REF00408622,3494.36,2025-01-27,CANCELLED
PRODUCT_MASTER00000040,REF00563060,4912.56,2025-06-24,PENDING
PRODUCT_MASTER00000041,REF00968823,7845.78,2025-02-24,CANCELLED
PRODUCT_MASTER00000042,REF00322927,76.2,2025-03-04,PENDING
PRODUCT_MASTER00000043,REF00716890,7334.67,2025-07-29,ACTIVE
PRODUCT_MASTER00000044,REF00242294,9116.96,2025-03-25,CANCELLED
PRODUCT_MASTER00000045,REF00485528,3142.42,2025-03-16,PENDING
PRODUCT_MASTER00000046,REF00236042,8079.28,2025-08-13,CANCELLED
PRODUCT_MASTER00000047,REF00078448,6193.11,2025-03-18,ACTIVE
PRODUCT_MASTER00000048,REF00675127,1898.94,2025-06-24,COMPLETED
PRODUCT_MASTER00000049,REF00381897,4137.5,2025-03-07,COMPLETED
PRODUCT_MASTER00000050,REF00547150,3523.15,2025-07-02,PENDING
