id,reference_id,amount,date,status
PROMOTIONAL_OFFERS00000001,REF00030660,6564.38,2025-06-17,CANCELLED
PROMOTIONAL_OFFERS00000002,REF00364638,6115.97,2025-03-20,COMPLETED
PROMOTIONAL_OFFERS00000003,REF00555443,3106.67,2025-02-07,COMPLETED
PROMOTIONAL_OFFERS00000004,REF00085179,8240.76,2025-07-05,CANCELLED
PROMOTIONAL_OFFERS00000005,REF00818111,1648.76,2025-02-21,COMPLETED
PROMOTIONAL_OFFERS00000006,REF00755539,4509.81,2025-05-08,CANCELLED
PROMOTIONAL_OFFERS00000007,REF00923076,211.23,2025-02-14,CANCELLED
PROMOTIONAL_OFFERS00000008,REF00816504,4131.51,2025-04-07,CANCELLED
PROMOTIONAL_OFFERS00000009,REF00151914,6087.64,2025-04-06,CANCELLED
PROMOTIONAL_OFFERS00000010,REF00520414,7364.43,2026-01-09,COMPLETED
PROMOTIONAL_OFFERS00000011,REF00209027,8436.81,2025-05-13,COMPLETED
PROMOTIONAL_OFFERS00000012,REF00838269,4622.07,2025-07-26,CANCELLED
PROMOTIONAL_OFFERS00000013,REF00109893,223.73,2025-03-30,ACTIVE
PROMOTIONAL_OFFERS00000014,REF00211107,2020.04,2025-09-24,CANCELLED
PROMOTIONAL_OFFERS00000015,REF00919944,5269.42,2025-09-27,PENDING
PROMOTIONAL_OFFERS00000016,REF00476289,8259.64,2025-03-01,COMPLETED
PROMOTIONAL_OFFERS00000017,REF00777402,1266.81,2026-01-08,CANCELLED
PROMOTIONAL_OFFERS00000018,REF00310082,2835.12,2025-11-08,ACTIVE
PROMOTIONAL_OFFERS00000019,REF00910929,1749.12,2025-03-19,ACTIVE
PROMOTIONAL_OFFERS00000020,REF00012657,6928.32,2026-01-05,CANCELLED
PROMOTIONAL_OFFERS00000021,REF00739754,9768.53,2025-01-31,PENDING
PROMOTIONAL_OFFERS00000022,REF00251527,3627.42,2025-05-24,ACTIVE
PROMOTIONAL_OFFERS00000023,REF00759969,9883.5,2025-05-19,CANCELLED
PROMOTIONAL_OFFERS00000024,REF00473522,6414.33,2025-12-17,PENDING
PROMOTIONAL_OFFERS00000025,REF00697586,2090.19,2025-09-27,ACTIVE
PROMOTIONAL_OFFERS00000026,REF00374728,8607.69,2025-05-24,CANCELLED
PROMOTIONAL_OFFERS00000027,REF00147149,5311.58,2025-11-18,ACTIVE
PROMOTIONAL_OFFERS00000028,REF00310275,5140.48,2025-07-09,PENDING
PROMOTIONAL_OFFERS00000029,REF00066878,4043.65,2025-05-27,COMPLETED
PROMOTIONAL_OFFERS00000030,REF00199697,1550.76,2025-04-09,PENDING
