id,reference_id,amount,date,status
CUSTOMER_OFFERS00000001,REF00297600,6190.21,2026-01-07,COMPLETED
CUSTOMER_OFFERS00000002,REF00862720,7775.98,2025-08-28,PENDING
CUSTOMER_OFFERS00000003,REF00131781,4004.34,2025-08-17,CANCELLED
CUSTOMER_OFFERS00000004,REF00848733,8742.62,2025-05-09,PENDING
CUSTOMER_OFFERS00000005,REF00032548,5767.66,2025-11-20,PENDING
CUSTOMER_OFFERS00000006,REF00204786,9207.4,2026-01-21,COMPLETED
CUSTOMER_OFFERS00000007,REF00436290,8602.27,2025-09-23,CANCELLED
CUSTOMER_OFFERS00000008,REF00882616,6574.26,2025-02-02,PENDING
CUSTOMER_OFFERS00000009,REF00622620,8774.37,2025-06-09,CANCELLED
CUSTOMER_OFFERS00000010,REF00361642,5130.73,2025-07-23,PENDING
CUSTOMER_OFFERS00000011,REF00299950,9731.71,2026-01-20,COMPLETED
CUSTOMER_OFFERS00000012,REF00176296,1604.17,2025-08-17,COMPLETED
CUSTOMER_OFFERS00000013,REF00709465,8282.7,2025-08-12,PENDING
CUSTOMER_OFFERS00000014,REF00484187,7907.91,2025-05-28,COMPLETED
CUSTOMER_OFFERS00000015,REF00326781,9587.91,2025-10-16,PENDING
CUSTOMER_OFFERS00000016,REF00199605,2321.58,2025-04-27,PENDING
CUSTOMER_OFFERS00000017,REF00191567,6722.82,2025-11-01,PENDING
CUSTOMER_OFFERS00000018,REF00653643,6473.74,2026-01-10,PENDING
CUSTOMER_OFFERS00000019,REF00892888,7442.53,2025-11-17,COMPLETED
CUSTOMER_OFFERS00000020,REF00796140,3677.73,2025-08-15,ACTIVE
CUSTOMER_OFFERS00000021,REF00226724,6473.96,2025-03-21,CANCELLED
CUSTOMER_OFFERS00000022,REF00964488,3854.62,2025-12-25,COMPLETED
CUSTOMER_OFFERS00000023,REF00462225,8675.45,2025-12-19,ACTIVE
CUSTOMER_OFFERS00000024,REF00330792,4480.68,2025-09-08,ACTIVE
CUSTOMER_OFFERS00000025,REF00890847,8734.9,2025-09-28,PENDING
CUSTOMER_OFFERS00000026,REF00621030,4438.72,2026-01-19,PENDING
CUSTOMER_OFFERS00000027,REF00276122,4992.85,2025-02-16,CANCELLED
CUSTOMER_OFFERS00000028,REF00748359,2151.6,2025-06-30,COMPLETED
CUSTOMER_OFFERS00000029,REF00882869,4815.76,2025-03-09,COMPLETED
CUSTOMER_OFFERS00000030,REF00729494,7944.82,2025-05-22,CANCELLED
CUSTOMER_OFFERS00000031,REF00856635,2371.53,2025-09-18,CANCELLED
CUSTOMER_OFFERS00000032,REF00742191,4700.39,2025-03-24,COMPLETED
CUSTOMER_OFFERS00000033,REF00186232,3632.1,2025-04-18,CANCELLED
CUSTOMER_OFFERS00000034,REF00340195,1631.81,2025-10-09,COMPLETED
CUSTOMER_OFFERS00000035,REF00714926,6633.77,2025-12-30,ACTIVE
CUSTOMER_OFFERS00000036,REF00036115,4351.87,2025-12-18,CANCELLED
CUSTOMER_OFFERS00000037,REF00187944,3144.89,2025-11-27,COMPLETED
CUSTOMER_OFFERS00000038,REF00641885,9489.86,2025-12-18,PENDING
CUSTOMER_OFFERS00000039,REF00534994,3877.07,2025-05-22,PENDING
CUSTOMER_OFFERS00000040,REF00697118,9777.51,2025-07-04,CANCELLED
CUSTOMER_OFFERS00000041,REF00180014,7845.98,2025-03-06,PENDING
CUSTOMER_OFFERS00000042,REF00567539,5712.17,2025-09-08,ACTIVE
CUSTOMER_OFFERS00000043,REF00638414,6280.96,2025-03-22,ACTIVE
CUSTOMER_OFFERS00000044,REF00983983,9435.83,2025-09-18,PENDING
CUSTOMER_OFFERS00000045,REF00100638,7552.72,2025-10-08,PENDING
CUSTOMER_OFFERS00000046,REF00039001,1294.58,2025-11-18,ACTIVE
CUSTOMER_OFFERS00000047,REF00907145,1871.47,2025-08-29,PENDING
CUSTOMER_OFFERS00000048,REF00632171,8485.42,2025-05-16,CANCELLED
CUSTOMER_OFFERS00000049,REF00462216,4861.85,2025-12-03,ACTIVE
CUSTOMER_OFFERS00000050,REF00805712,7307.0,2026-01-01,PENDING
CUSTOMER_OFFERS00000051,REF00264836,1877.92,2025-04-30,CANCELLED
CUSTOMER_OFFERS00000052,REF00478417,4865.04,2025-08-29,COMPLETED
CUSTOMER_OFFERS00000053,REF00661328,2079.48,2025-06-01,PENDING
CUSTOMER_OFFERS00000054,REF00376125,6396.84,2025-12-31,COMPLETED
CUSTOMER_OFFERS00000055,REF00548235,7433.6,2025-02-11,CANCELLED
CUSTOMER_OFFERS00000056,REF00093005,7210.12,2025-09-18,PENDING
CUSTOMER_OFFERS00000057,REF00335022,5011.4,2025-08-26,ACTIVE
CUSTOMER_OFFERS00000058,REF00511740,4148.26,2025-12-18,COMPLETED
CUSTOMER_OFFERS00000059,REF00045681,2067.05,2025-05-26,CANCELLED
CUSTOMER_OFFERS00000060,REF00013084,633.78,2025-03-12,COMPLETED
CUSTOMER_OFFERS00000061,REF00379611,173.22,2025-11-17,ACTIVE
CUSTOMER_OFFERS00000062,REF00783719,3783.56,2025-07-13,PENDING
