id,reference_id,amount,date,status
EMAIL_LOG00000001,REF00299209,5662.02,2025-12-12,CANCELLED
EMAIL_LOG00000002,REF00034574,1558.59,2025-11-22,PENDING
EMAIL_LOG00000003,REF00690064,1376.99,2025-06-16,COMPLETED
EMAIL_LOG00000004,REF00737654,7941.22,2025-08-25,PENDING
EMAIL_LOG00000005,REF00947719,2132.5,2025-09-12,PENDING
EMAIL_LOG00000006,REF00232390,7815.42,2025-06-16,ACTIVE
EMAIL_LOG00000007,REF00728188,578.74,2025-05-31,ACTIVE
EMAIL_LOG00000008,REF00310031,1169.7,2025-12-10,PENDING
EMAIL_LOG00000009,REF00175766,8956.71,2025-03-29,COMPLETED
EMAIL_LOG00000010,REF00615730,2354.8,2025-09-05,ACTIVE
EMAIL_LOG00000011,REF00291821,716.84,2025-12-15,COMPLETED
EMAIL_LOG00000012,REF00690810,2555.58,2025-10-03,COMPLETED
EMAIL_LOG00000013,REF00226545,1948.54,2025-04-05,COMPLETED
EMAIL_LOG00000014,REF00073664,7283.99,2025-09-13,COMPLETED
EMAIL_LOG00000015,REF00601527,7241.18,2025-11-17,COMPLETED
EMAIL_LOG00000016,REF00824204,4197.6,2025-10-03,CANCELLED
EMAIL_LOG00000017,REF00707135,1200.38,2025-10-23,COMPLETED
EMAIL_LOG00000018,REF00868103,8674.77,2025-08-29,COMPLETED
EMAIL_LOG00000019,REF00081729,1859.61,2025-03-13,ACTIVE
EMAIL_LOG00000020,REF00563136,4809.83,2025-02-23,CANCELLED
EMAIL_LOG00000021,REF00370873,16.34,2025-05-25,ACTIVE
EMAIL_LOG00000022,REF00994777,3861.69,2025-02-26,PENDING
EMAIL_LOG00000023,REF00597076,1877.69,2025-12-23,COMPLETED
EMAIL_LOG00000024,REF00851157,6347.16,2025-01-29,ACTIVE
EMAIL_LOG00000025,REF00095400,440.71,2025-07-22,PENDING
EMAIL_LOG00000026,REF00121393,9345.62,2025-08-23,CANCELLED
EMAIL_LOG00000027,REF00644019,34.76,2025-03-20,CANCELLED
EMAIL_LOG00000028,REF00981448,7280.35,2025-05-04,COMPLETED
EMAIL_LOG00000029,REF00698842,8820.02,2025-12-19,CANCELLED
EMAIL_LOG00000030,REF00838609,6559.47,2025-03-28,PENDING
EMAIL_LOG00000031,REF00764970,2317.21,2025-04-05,COMPLETED
EMAIL_LOG00000032,REF00685799,1319.03,2025-10-26,CANCELLED
EMAIL_LOG00000033,REF00888701,7793.61,2025-07-04,CANCELLED
EMAIL_LOG00000034,REF00124633,1331.81,2025-02-21,ACTIVE
EMAIL_LOG00000035,REF00409187,7555.82,2025-04-04,ACTIVE
EMAIL_LOG00000036,REF00666554,8162.19,2026-01-11,CANCELLED
EMAIL_LOG00000037,REF00634291,4286.49,2025-02-27,CANCELLED
EMAIL_LOG00000038,REF00528443,9147.47,2025-04-20,ACTIVE
EMAIL_LOG00000039,REF00784348,6810.77,2025-09-30,PENDING
EMAIL_LOG00000040,REF00058219,9139.28,2025-06-06,COMPLETED
EMAIL_LOG00000041,REF00073868,7743.05,2025-04-28,ACTIVE
EMAIL_LOG00000042,REF00147123,8106.94,2025-09-19,PENDING
EMAIL_LOG00000043,REF00182534,7485.82,2025-06-13,ACTIVE
EMAIL_LOG00000044,REF00835849,7905.18,2025-02-13,ACTIVE
EMAIL_LOG00000045,REF00727748,6787.93,2025-10-27,COMPLETED
EMAIL_LOG00000046,REF00563506,4328.31,2025-05-24,COMPLETED
EMAIL_LOG00000047,REF00164539,759.29,2025-07-09,CANCELLED
EMAIL_LOG00000048,REF00678223,2967.35,2025-05-13,PENDING
EMAIL_LOG00000049,REF00527713,3319.84,2025-09-21,CANCELLED
EMAIL_LOG00000050,REF00162188,5094.63,2025-03-19,ACTIVE
EMAIL_LOG00000051,REF00887038,7000.56,2025-03-10,CANCELLED
