id,reference_id,amount,date,status
SESSION_LOG00000001,REF00736013,7313.79,2025-05-28,COMPLETED
SESSION_LOG00000002,REF00405585,1880.16,2025-01-23,COMPLETED
SESSION_LOG00000003,REF00600563,662.33,2025-04-26,PENDING
SESSION_LOG00000004,REF00852467,4696.43,2026-01-11,COMPLETED
SESSION_LOG00000005,REF00245971,9123.62,2025-12-22,CANCELLED
SESSION_LOG00000006,REF00728170,9791.64,2025-09-17,COMPLETED
SESSION_LOG00000007,REF00858570,3823.43,2025-12-04,CANCELLED
SESSION_LOG00000008,REF00472120,2904.95,2025-07-13,COMPLETED
SESSION_LOG00000009,REF00813453,9064.48,2025-06-21,CANCELLED
SESSION_LOG00000010,REF00125331,9456.46,2025-09-02,COMPLETED
SESSION_LOG00000011,REF00995848,5255.7,2025-02-24,ACTIVE
SESSION_LOG00000012,REF00535600,2201.21,2025-09-30,COMPLETED
SESSION_LOG00000013,REF00797375,9606.2,2025-08-20,PENDING
SESSION_LOG00000014,REF00828751,1088.77,2025-11-02,CANCELLED
SESSION_LOG00000015,REF00433821,1537.11,2025-05-13,COMPLETED
SESSION_LOG00000016,REF00951698,3118.54,2025-02-17,ACTIVE
SESSION_LOG00000017,REF00345525,3858.85,2025-07-17,CANCELLED
SESSION_LOG00000018,REF00627138,6789.4,2025-03-04,ACTIVE
SESSION_LOG00000019,REF00240068,1101.03,2025-02-12,COMPLETED
SESSION_LOG00000020,REF00409829,1693.13,2025-09-13,CANCELLED
SESSION_LOG00000021,REF00309079,8214.32,2025-06-07,CANCELLED
SESSION_LOG00000022,REF00375852,4989.3,2025-07-25,ACTIVE
SESSION_LOG00000023,REF00506384,3346.55,2025-11-20,PENDING
SESSION_LOG00000024,REF00702428,1893.12,2025-01-25,ACTIVE
SESSION_LOG00000025,REF00474724,6781.55,2025-06-02,CANCELLED
SESSION_LOG00000026,REF00067249,3415.86,2025-12-19,PENDING
SESSION_LOG00000027,REF00851247,2254.09,2025-08-09,ACTIVE
SESSION_LOG00000028,REF00401022,1687.28,2025-11-06,COMPLETED
SESSION_LOG00000029,REF00216560,1931.14,2025-04-11,COMPLETED
SESSION_LOG00000030,REF00321870,1063.23,2025-04-13,ACTIVE
SESSION_LOG00000031,REF00540395,8713.32,2026-01-01,CANCELLED
SESSION_LOG00000032,REF00735895,7535.17,2025-10-23,ACTIVE
SESSION_LOG00000033,REF00911342,4420.54,2025-03-26,COMPLETED
SESSION_LOG00000034,REF00733163,5452.69,2025-06-22,COMPLETED
SESSION_LOG00000035,REF00368371,8623.48,2025-04-19,COMPLETED
SESSION_LOG00000036,REF00963552,9905.32,2025-07-25,COMPLETED
SESSION_LOG00000037,REF00129945,5712.88,2025-05-13,PENDING
SESSION_LOG00000038,REF00618212,3796.01,2026-01-07,CANCELLED
SESSION_LOG00000039,REF00659132,6710.28,2025-07-01,COMPLETED
SESSION_LOG00000040,REF00362407,1397.78,2025-09-01,ACTIVE
SESSION_LOG00000041,REF00524936,6113.21,2025-09-22,CANCELLED
SESSION_LOG00000042,REF00765663,4173.9,2025-11-22,PENDING
SESSION_LOG00000043,REF00033610,3955.2,2025-04-26,CANCELLED
SESSION_LOG00000044,REF00107536,2087.22,2025-05-05,ACTIVE
SESSION_LOG00000045,REF00729648,1112.66,2025-07-04,CANCELLED
SESSION_LOG00000046,REF00803773,5683.36,2025-04-23,COMPLETED
SESSION_LOG00000047,REF00905322,8447.24,2025-04-14,PENDING
SESSION_LOG00000048,REF00145533,3494.95,2025-02-11,COMPLETED
SESSION_LOG00000049,REF00890117,4656.74,2025-07-17,COMPLETED
SESSION_LOG00000050,REF00789321,822.38,2025-03-23,CANCELLED
SESSION_LOG00000051,REF00860309,469.17,2025-08-25,ACTIVE
SESSION_LOG00000052,REF00492660,7053.73,2025-09-24,COMPLETED
SESSION_LOG00000053,REF00259302,7039.41,2026-01-17,PENDING
SESSION_LOG00000054,REF00121672,1435.71,2025-07-28,COMPLETED
SESSION_LOG00000055,REF00643710,9247.87,2025-10-31,ACTIVE
SESSION_LOG00000056,REF00462016,2231.06,2025-11-23,ACTIVE
SESSION_LOG00000057,REF00634135,263.51,2025-11-17,ACTIVE
SESSION_LOG00000058,REF00707982,5622.29,2025-02-07,COMPLETED
SESSION_LOG00000059,REF00841807,1993.14,2025-12-20,COMPLETED
SESSION_LOG00000060,REF00612157,2177.79,2025-08-28,CANCELLED
SESSION_LOG00000061,REF00084596,259.95,2025-09-27,PENDING
SESSION_LOG00000062,REF00813646,3088.66,2025-06-06,ACTIVE
SESSION_LOG00000063,REF00244152,4963.12,2025-03-17,PENDING
SESSION_LOG00000064,REF00880972,6941.48,2025-05-25,ACTIVE
SESSION_LOG00000065,REF00259272,8248.73,2025-12-27,CANCELLED
SESSION_LOG00000066,REF00258394,819.41,2025-03-22,PENDING
SESSION_LOG00000067,REF00826091,6891.61,2025-12-25,PENDING
SESSION_LOG00000068,REF00511974,6754.61,2026-01-03,PENDING
SESSION_LOG00000069,REF00513634,7488.64,2025-07-23,PENDING
SESSION_LOG00000070,REF00463464,5530.36,2025-09-25,CANCELLED
SESSION_LOG00000071,REF00072677,6814.2,2026-01-17,PENDING
SESSION_LOG00000072,REF00995592,5243.59,2026-01-13,CANCELLED
SESSION_LOG00000073,REF00484326,4835.68,2025-05-16,ACTIVE
SESSION_LOG00000074,REF00395668,5512.74,2025-07-13,CANCELLED
SESSION_LOG00000075,REF00607082,8808.11,2025-01-30,ACTIVE
SESSION_LOG00000076,REF00454702,8262.85,2025-09-07,ACTIVE
SESSION_LOG00000077,REF00520244,5027.47,2025-10-17,PENDING
SESSION_LOG00000078,REF00414233,8146.21,2025-02-13,PENDING
SESSION_LOG00000079,REF00757264,9430.74,2025-08-11,CANCELLED
SESSION_LOG00000080,REF00370123,8827.83,2025-06-19,COMPLETED
SESSION_LOG00000081,REF00072499,8413.87,2025-06-01,PENDING
SESSION_LOG00000082,REF00889654,4848.62,2025-03-14,CANCELLED
SESSION_LOG00000083,REF00207251,2568.24,2025-05-23,COMPLETED
SESSION_LOG00000084,REF00981942,5323.09,2025-08-03,PENDING
