id,reference_id,amount,date,status
CLOSED_ACCOUNTS00000001,REF00427696,577.92,2025-09-07,COMPLETED
CLOSED_ACCOUNTS00000002,REF00340975,1787.19,2026-01-20,ACTIVE
CLOSED_ACCOUNTS00000003,REF00195617,7828.24,2025-05-19,COMPLETED
CLOSED_ACCOUNTS00000004,REF00858759,264.13,2025-09-05,CANCELLED
CLOSED_ACCOUNTS00000005,REF00403342,8226.86,2025-09-23,PENDING
CLOSED_ACCOUNTS00000006,REF00871313,3059.21,2025-05-14,COMPLETED
CLOSED_ACCOUNTS00000007,REF00503382,2682.14,2025-11-30,COMPLETED
CLOSED_ACCOUNTS00000008,REF00224970,5881.24,2025-04-13,ACTIVE
CLOSED_ACCOUNTS00000009,REF00270854,4248.66,2025-01-23,ACTIVE
CLOSED_ACCOUNTS00000010,REF00731023,7511.8,2025-03-16,CANCELLED
CLOSED_ACCOUNTS00000011,REF00358236,9403.38,2025-03-09,ACTIVE
CLOSED_ACCOUNTS00000012,REF00227695,569.98,2025-12-13,COMPLETED
CLOSED_ACCOUNTS00000013,REF00218456,4016.83,2025-12-11,COMPLETED
CLOSED_ACCOUNTS00000014,REF00080776,5038.85,2025-05-13,CANCELLED
CLOSED_ACCOUNTS00000015,REF00928705,3396.44,2025-03-09,PENDING
CLOSED_ACCOUNTS00000016,REF00094657,1573.94,2025-10-05,CANCELLED
CLOSED_ACCOUNTS00000017,REF00701401,5913.82,2025-02-24,COMPLETED
CLOSED_ACCOUNTS00000018,REF00971593,7211.68,2025-09-16,ACTIVE
CLOSED_ACCOUNTS00000019,REF00895320,8854.4,2025-12-21,PENDING
CLOSED_ACCOUNTS00000020,REF00778244,5415.06,2025-01-25,ACTIVE
CLOSED_ACCOUNTS00000021,REF00469326,8572.26,2025-02-14,CANCELLED
CLOSED_ACCOUNTS00000022,REF00731967,6686.12,2025-03-13,CANCELLED
CLOSED_ACCOUNTS00000023,REF00798207,8372.7,2025-08-26,COMPLETED
CLOSED_ACCOUNTS00000024,REF00708500,3507.34,2025-07-08,PENDING
CLOSED_ACCOUNTS00000025,REF00729464,908.89,2025-11-25,ACTIVE
CLOSED_ACCOUNTS00000026,REF00569586,8188.01,2025-07-08,COMPLETED
CLOSED_ACCOUNTS00000027,REF00182132,5710.31,2025-08-22,PENDING
CLOSED_ACCOUNTS00000028,REF00815320,7627.05,2025-05-01,PENDING
CLOSED_ACCOUNTS00000029,REF00770282,8909.05,2025-05-24,PENDING
CLOSED_ACCOUNTS00000030,REF00315834,7060.01,2025-10-17,COMPLETED
CLOSED_ACCOUNTS00000031,REF00716062,2221.93,2025-03-21,ACTIVE
CLOSED_ACCOUNTS00000032,REF00534149,8894.09,2025-05-16,ACTIVE
CLOSED_ACCOUNTS00000033,REF00546674,7539.23,2025-04-21,PENDING
CLOSED_ACCOUNTS00000034,REF00812166,4684.87,2025-10-10,COMPLETED
CLOSED_ACCOUNTS00000035,REF00818349,9155.67,2025-04-05,PENDING
CLOSED_ACCOUNTS00000036,REF00453599,3400.79,2025-08-09,CANCELLED
CLOSED_ACCOUNTS00000037,REF00194914,4891.91,2025-10-13,CANCELLED
CLOSED_ACCOUNTS00000038,REF00563104,9864.67,2025-04-29,COMPLETED
CLOSED_ACCOUNTS00000039,REF00436738,7560.82,2025-03-04,PENDING
CLOSED_ACCOUNTS00000040,REF00804802,6341.47,2025-08-21,PENDING
CLOSED_ACCOUNTS00000041,REF00910365,395.67,2025-10-16,PENDING
CLOSED_ACCOUNTS00000042,REF00937471,1376.85,2025-11-26,PENDING
CLOSED_ACCOUNTS00000043,REF00556571,8885.25,2025-07-11,PENDING
CLOSED_ACCOUNTS00000044,REF00695430,6155.88,2026-01-02,COMPLETED
CLOSED_ACCOUNTS00000045,REF00741776,5029.71,2025-06-16,PENDING
CLOSED_ACCOUNTS00000046,REF00191326,5445.02,2025-10-07,COMPLETED
CLOSED_ACCOUNTS00000047,REF00597908,3923.66,2025-03-03,COMPLETED
CLOSED_ACCOUNTS00000048,REF00314342,980.87,2025-04-14,CANCELLED
CLOSED_ACCOUNTS00000049,REF00146086,942.87,2025-01-29,COMPLETED
CLOSED_ACCOUNTS00000050,REF00710204,1507.16,2025-06-27,PENDING
CLOSED_ACCOUNTS00000051,REF00784649,7970.88,2025-05-31,CANCELLED
CLOSED_ACCOUNTS00000052,REF00831751,8368.02,2025-08-06,ACTIVE
CLOSED_ACCOUNTS00000053,REF00146187,3282.92,2025-07-25,COMPLETED
CLOSED_ACCOUNTS00000054,REF00886411,9783.73,2025-09-09,CANCELLED
CLOSED_ACCOUNTS00000055,REF00814019,8898.26,2025-04-26,COMPLETED
CLOSED_ACCOUNTS00000056,REF00750290,1424.29,2025-06-22,PENDING
CLOSED_ACCOUNTS00000057,REF00823022,5266.69,2025-02-05,COMPLETED
CLOSED_ACCOUNTS00000058,REF00855809,733.46,2025-11-09,PENDING
CLOSED_ACCOUNTS00000059,REF00291724,4333.55,2025-10-26,ACTIVE
CLOSED_ACCOUNTS00000060,REF00674741,2104.37,2025-03-17,PENDING
CLOSED_ACCOUNTS00000061,REF00385677,7922.36,2025-06-27,CANCELLED
CLOSED_ACCOUNTS00000062,REF00887555,6729.63,2025-03-04,PENDING
CLOSED_ACCOUNTS00000063,REF00062023,5602.68,2025-09-03,PENDING
CLOSED_ACCOUNTS00000064,REF00531053,7545.37,2025-03-22,PENDING
CLOSED_ACCOUNTS00000065,REF00543342,4407.25,2025-12-30,PENDING
CLOSED_ACCOUNTS00000066,REF00949587,7733.11,2025-09-24,COMPLETED
CLOSED_ACCOUNTS00000067,REF00472311,2299.69,2025-09-20,CANCELLED
CLOSED_ACCOUNTS00000068,REF00246626,3442.81,2025-09-20,PENDING
CLOSED_ACCOUNTS00000069,REF00132297,733.2,2025-09-05,PENDING
CLOSED_ACCOUNTS00000070,REF00933096,7993.86,2025-03-23,ACTIVE
CLOSED_ACCOUNTS00000071,REF00875725,1655.36,2025-12-30,PENDING
CLOSED_ACCOUNTS00000072,REF00994403,1177.68,2025-04-03,PENDING
CLOSED_ACCOUNTS00000073,REF00407960,9168.17,2026-01-09,CANCELLED
CLOSED_ACCOUNTS00000074,REF00254274,4748.33,2025-03-01,COMPLETED
