id,reference_id,amount,date,status
ESCHEAT_ACCOUNTS00000001,REF00674273,3131.17,2025-05-03,ACTIVE
ESCHEAT_ACCOUNTS00000002,REF00651592,6927.38,2025-12-03,CANCELLED
ESCHEAT_ACCOUNTS00000003,REF00635778,5788.55,2025-10-12,PENDING
ESCHEAT_ACCOUNTS00000004,REF00556694,2419.45,2025-02-26,ACTIVE
ESCHEAT_ACCOUNTS00000005,REF00722415,313.65,2025-12-23,COMPLETED
ESCHEAT_ACCOUNTS00000006,REF00675016,1627.6,2025-07-17,CANCELLED
ESCHEAT_ACCOUNTS00000007,REF00436129,9970.62,2025-02-24,ACTIVE
ESCHEAT_ACCOUNTS00000008,REF00546314,1492.66,2025-04-13,COMPLETED
ESCHEAT_ACCOUNTS00000009,REF00729953,2888.51,2025-04-16,ACTIVE
ESCHEAT_ACCOUNTS00000010,REF00184110,9736.02,2025-07-15,COMPLETED
ESCHEAT_ACCOUNTS00000011,REF00791922,6519.32,2025-06-09,PENDING
ESCHEAT_ACCOUNTS00000012,REF00068226,7577.73,2025-11-21,PENDING
ESCHEAT_ACCOUNTS00000013,REF00568350,3830.82,2025-10-11,PENDING
ESCHEAT_ACCOUNTS00000014,REF00114515,5952.66,2025-12-17,ACTIVE
ESCHEAT_ACCOUNTS00000015,REF00298667,7711.58,2025-03-28,CANCELLED
ESCHEAT_ACCOUNTS00000016,REF00115445,5655.03,2025-07-01,CANCELLED
ESCHEAT_ACCOUNTS00000017,REF00830589,5853.77,2025-03-13,CANCELLED
ESCHEAT_ACCOUNTS00000018,REF00106103,4031.85,2025-06-27,ACTIVE
ESCHEAT_ACCOUNTS00000019,REF00159367,3099.53,2025-11-02,CANCELLED
ESCHEAT_ACCOUNTS00000020,REF00226422,7259.39,2025-04-27,PENDING
