id,reference_id,amount,date,status
FRAUD_ALERTS00000001,REF00469568,2912.46,2025-04-05,PENDING
FRAUD_ALERTS00000002,REF00296598,6476.61,2025-02-14,CANCELLED
FRAUD_ALERTS00000003,REF00106823,829.0,2025-08-19,PENDING
FRAUD_ALERTS00000004,REF00112050,8161.22,2025-08-06,COMPLETED
FRAUD_ALERTS00000005,REF00341158,1500.2,2025-05-23,CANCELLED
FRAUD_ALERTS00000006,REF00345381,4677.38,2025-04-28,PENDING
FRAUD_ALERTS00000007,REF00790485,8073.47,2025-10-12,PENDING
FRAUD_ALERTS00000008,REF00915781,3449.52,2025-08-11,CANCELLED
FRAUD_ALERTS00000009,REF00709749,9804.34,2025-03-01,COMPLETED
FRAUD_ALERTS00000010,REF00916129,9984.45,2025-07-01,PENDING
FRAUD_ALERTS00000011,REF00909549,9958.32,2025-03-14,PENDING
FRAUD_ALERTS00000012,REF00688826,9987.43,2025-11-21,PENDING
FRAUD_ALERTS00000013,REF00232599,6874.74,2025-08-17,ACTIVE
FRAUD_ALERTS00000014,REF00109709,2560.55,2025-03-12,CANCELLED
FRAUD_ALERTS00000015,REF00548361,3988.4,2025-11-24,PENDING
FRAUD_ALERTS00000016,REF00156172,8732.22,2025-05-19,CANCELLED
FRAUD_ALERTS00000017,REF00523362,5064.75,2025-08-29,PENDING
FRAUD_ALERTS00000018,REF00665368,3756.71,2025-10-05,PENDING
FRAUD_ALERTS00000019,REF00745152,3368.25,2025-04-09,COMPLETED
FRAUD_ALERTS00000020,REF00816523,3766.21,2026-01-21,ACTIVE
FRAUD_ALERTS00000021,REF00294526,9876.9,2025-07-02,PENDING
FRAUD_ALERTS00000022,REF00519792,16.3,2025-04-10,ACTIVE
FRAUD_ALERTS00000023,REF00229668,3866.1,2025-09-27,PENDING
FRAUD_ALERTS00000024,REF00005274,2053.21,2025-06-15,PENDING
FRAUD_ALERTS00000025,REF00142557,9383.0,2025-08-14,PENDING
