id,reference_id,amount,date,status
USER_ROLES00000001,REF00062778,500.84,2025-12-06,PENDING
USER_ROLES00000002,REF00598424,6552.81,2025-11-18,COMPLETED
USER_ROLES00000003,REF00101791,6925.66,2025-12-10,COMPLETED
USER_ROLES00000004,REF00989073,8594.14,2025-06-23,PENDING
USER_ROLES00000005,REF00374405,3053.68,2025-11-27,CANCELLED
USER_ROLES00000006,REF00456691,8410.95,2025-07-09,COMPLETED
USER_ROLES00000007,REF00186184,1976.16,2025-10-14,ACTIVE
USER_ROLES00000008,REF00426470,5506.07,2025-12-05,COMPLETED
USER_ROLES00000009,REF00024274,6840.36,2025-11-20,CANCELLED
USER_ROLES00000010,REF00994381,4181.56,2025-05-29,COMPLETED
USER_ROLES00000011,REF00315937,534.21,2025-03-20,COMPLETED
USER_ROLES00000012,REF00573664,1589.5,2025-06-26,ACTIVE
USER_ROLES00000013,REF00357234,642.03,2025-04-12,PENDING
USER_ROLES00000014,REF00924104,1580.52,2025-08-16,PENDING
USER_ROLES00000015,REF00625261,7587.97,2025-03-25,CANCELLED
USER_ROLES00000016,REF00275475,6769.09,2025-08-17,CANCELLED
USER_ROLES00000017,REF00667995,8768.25,2025-04-12,CANCELLED
USER_ROLES00000018,REF00906209,4130.98,2025-08-02,CANCELLED
USER_ROLES00000019,REF00094297,8534.43,2025-11-22,CANCELLED
USER_ROLES00000020,REF00518038,9931.21,2025-09-10,PENDING
