id,reference_id,amount,date,status
USER_PERMISSIONS00000001,REF00237579,3204.87,2025-03-11,PENDING
USER_PERMISSIONS00000002,REF00474690,6719.11,2025-11-01,COMPLETED
USER_PERMISSIONS00000003,REF00836564,5130.4,2025-10-09,ACTIVE
USER_PERMISSIONS00000004,REF00469687,8296.03,2025-05-09,COMPLETED
USER_PERMISSIONS00000005,REF00733785,3891.02,2025-02-14,ACTIVE
USER_PERMISSIONS00000006,REF00036149,9354.2,2025-04-01,ACTIVE
USER_PERMISSIONS00000007,REF00129189,5733.71,2026-01-19,CANCELLED
USER_PERMISSIONS00000008,REF00146944,1674.02,2025-03-21,ACTIVE
USER_PERMISSIONS00000009,REF00238411,1809.32,2025-09-08,PENDING
USER_PERMISSIONS00000010,REF00673196,1112.72,2025-11-10,ACTIVE
USER_PERMISSIONS00000011,REF00745668,2072.07,2025-11-12,COMPLETED
USER_PERMISSIONS00000012,REF00288116,7058.53,2025-03-16,ACTIVE
USER_PERMISSIONS00000013,REF00729588,9832.18,2025-11-11,PENDING
USER_PERMISSIONS00000014,REF00911662,1267.21,2026-01-02,CANCELLED
USER_PERMISSIONS00000015,REF00528841,3028.63,2025-09-23,COMPLETED
USER_PERMISSIONS00000016,REF00389069,8846.67,2025-12-28,COMPLETED
USER_PERMISSIONS00000017,REF00388065,3318.54,2025-04-26,ACTIVE
USER_PERMISSIONS00000018,REF00113827,8198.02,2025-07-12,ACTIVE
USER_PERMISSIONS00000019,REF00263326,8800.55,2025-08-15,ACTIVE
USER_PERMISSIONS00000020,REF00808929,1191.87,2025-06-24,COMPLETED
USER_PERMISSIONS00000021,REF00192666,188.28,2025-07-11,COMPLETED
USER_PERMISSIONS00000022,REF00069859,7546.08,2025-11-27,COMPLETED
USER_PERMISSIONS00000023,REF00504910,5377.74,2025-01-26,COMPLETED
USER_PERMISSIONS00000024,REF00310831,2137.71,2025-12-25,PENDING
USER_PERMISSIONS00000025,REF00221960,1587.95,2025-07-20,PENDING
USER_PERMISSIONS00000026,REF00354186,2952.56,2025-07-25,ACTIVE
USER_PERMISSIONS00000027,REF00184820,9593.92,2025-07-02,PENDING
USER_PERMISSIONS00000028,REF00212617,2090.75,2025-05-01,CANCELLED
USER_PERMISSIONS00000029,REF00939643,1462.9,2025-12-16,PENDING
