id,reference_id,amount,date,status
GL_ENTRIES00000001,REF00762396,4493.34,2025-04-05,COMPLETED
GL_ENTRIES00000002,REF00994429,3772.73,2025-09-04,ACTIVE
GL_ENTRIES00000003,REF00604978,9678.62,2025-03-22,ACTIVE
GL_ENTRIES00000004,REF00421267,2531.56,2025-05-12,PENDING
GL_ENTRIES00000005,REF00775454,2872.16,2025-12-26,PENDING
GL_ENTRIES00000006,REF00554872,918.09,2025-03-17,COMPLETED
GL_ENTRIES00000007,REF00794127,5696.13,2025-06-05,ACTIVE
GL_ENTRIES00000008,REF00776483,381.02,2025-02-23,COMPLETED
GL_ENTRIES00000009,REF00672150,3731.35,2025-06-07,CANCELLED
GL_ENTRIES00000010,REF00943872,8711.62,2025-06-24,PENDING
GL_ENTRIES00000011,REF00173451,3268.71,2025-04-27,PENDING
GL_ENTRIES00000012,REF00162763,1721.27,2026-01-03,COMPLETED
GL_ENTRIES00000013,REF00261276,3237.81,2025-10-30,COMPLETED
GL_ENTRIES00000014,REF00969464,9022.23,2025-12-01,ACTIVE
GL_ENTRIES00000015,REF00773199,5577.44,2025-10-10,ACTIVE
GL_ENTRIES00000016,REF00727193,5642.44,2025-04-04,ACTIVE
GL_ENTRIES00000017,REF00794403,4791.74,2025-10-19,COMPLETED
GL_ENTRIES00000018,REF00453650,8276.93,2025-12-21,PENDING
GL_ENTRIES00000019,REF00115797,3722.39,2025-11-15,PENDING
GL_ENTRIES00000020,REF00412321,4756.44,2025-11-09,PENDING
GL_ENTRIES00000021,REF00125884,1247.08,2025-08-30,COMPLETED
GL_ENTRIES00000022,REF00383560,9741.6,2025-03-31,ACTIVE
GL_ENTRIES00000023,REF00917563,4156.26,2025-04-22,CANCELLED
GL_ENTRIES00000024,REF00485640,4015.65,2025-09-27,ACTIVE
GL_ENTRIES00000025,REF00541928,3344.47,2025-05-29,ACTIVE
GL_ENTRIES00000026,REF00276756,1691.84,2025-07-03,ACTIVE
GL_ENTRIES00000027,REF00568127,1287.02,2025-12-18,PENDING
GL_ENTRIES00000028,REF00146001,7514.15,2025-05-14,COMPLETED
GL_ENTRIES00000029,REF00929536,1786.24,2025-09-22,CANCELLED
GL_ENTRIES00000030,REF00472858,6649.24,2025-04-02,COMPLETED
GL_ENTRIES00000031,REF00282273,7390.23,2025-02-26,CANCELLED
GL_ENTRIES00000032,REF00429441,763.94,2025-04-15,ACTIVE
GL_ENTRIES00000033,REF00424545,2848.15,2025-11-04,PENDING
GL_ENTRIES00000034,REF00496588,6768.2,2025-07-25,ACTIVE
GL_ENTRIES00000035,REF00647535,1443.47,2026-01-14,CANCELLED
GL_ENTRIES00000036,REF00816315,9482.29,2025-12-22,COMPLETED
GL_ENTRIES00000037,REF00397732,1996.15,2025-05-07,COMPLETED
GL_ENTRIES00000038,REF00932318,9565.25,2025-05-01,CANCELLED
GL_ENTRIES00000039,REF00058871,2792.68,2025-03-23,COMPLETED
GL_ENTRIES00000040,REF00952169,1452.02,2025-04-17,PENDING
GL_ENTRIES00000041,REF00402211,4307.74,2025-09-24,CANCELLED
GL_ENTRIES00000042,REF00584440,4992.32,2025-09-20,COMPLETED
GL_ENTRIES00000043,REF00918074,422.84,2025-06-06,CANCELLED
GL_ENTRIES00000044,REF00576213,261.02,2025-12-23,ACTIVE
GL_ENTRIES00000045,REF00312186,1677.39,2025-06-15,PENDING
GL_ENTRIES00000046,REF00019481,7980.1,2025-04-25,COMPLETED
GL_ENTRIES00000047,REF00988349,5439.83,2026-01-06,COMPLETED
GL_ENTRIES00000048,REF00688214,1754.81,2025-12-22,CANCELLED
GL_ENTRIES00000049,REF00687734,8696.85,2025-11-14,COMPLETED
GL_ENTRIES00000050,REF00635121,2413.28,2025-11-30,CANCELLED
GL_ENTRIES00000051,REF00102921,6648.17,2025-07-18,CANCELLED
GL_ENTRIES00000052,REF00342857,610.14,2026-01-17,ACTIVE
GL_ENTRIES00000053,REF00130014,7373.42,2025-11-19,COMPLETED
GL_ENTRIES00000054,REF00799924,6406.77,2025-04-09,ACTIVE
GL_ENTRIES00000055,REF00217961,6444.29,2025-09-28,COMPLETED
GL_ENTRIES00000056,REF00830874,4602.73,2025-10-08,CANCELLED
GL_ENTRIES00000057,REF00430923,9697.57,2025-02-25,PENDING
GL_ENTRIES00000058,REF00234441,9306.95,2025-11-17,COMPLETED
GL_ENTRIES00000059,REF00555489,3641.91,2026-01-02,CANCELLED
GL_ENTRIES00000060,REF00701084,806.57,2025-06-04,CANCELLED
GL_ENTRIES00000061,REF00172005,9385.5,2025-08-08,ACTIVE
GL_ENTRIES00000062,REF00212134,1104.33,2025-08-09,CANCELLED
GL_ENTRIES00000063,REF00963318,8114.7,2025-04-24,COMPLETED
GL_ENTRIES00000064,REF00207666,2125.25,2025-06-26,ACTIVE
GL_ENTRIES00000065,REF00278523,7967.24,2025-02-26,COMPLETED
GL_ENTRIES00000066,REF00714055,6877.36,2025-04-22,CANCELLED
GL_ENTRIES00000067,REF00562851,5422.54,2025-05-08,PENDING
GL_ENTRIES00000068,REF00197810,20.51,2025-10-10,PENDING
GL_ENTRIES00000069,REF00790063,4116.32,2025-04-15,CANCELLED
GL_ENTRIES00000070,REF00709671,962.78,2025-12-18,CANCELLED
GL_ENTRIES00000071,REF00551362,3260.32,2025-08-02,PENDING
GL_ENTRIES00000072,REF00085689,3159.78,2025-02-16,CANCELLED
GL_ENTRIES00000073,REF00300186,1010.53,2025-08-14,COMPLETED
GL_ENTRIES00000074,REF00029923,6635.39,2025-07-18,COMPLETED
GL_ENTRIES00000075,REF00078479,1209.09,2025-10-05,CANCELLED
GL_ENTRIES00000076,REF00709003,2671.38,2025-10-02,COMPLETED
GL_ENTRIES00000077,REF00684152,5785.2,2025-06-05,PENDING
GL_ENTRIES00000078,REF00476846,1641.14,2025-06-22,PENDING
