id,reference_id,amount,date,status
TDS_DETAILS00000001,REF00808700,8820.2,2025-04-11,PENDING
TDS_DETAILS00000002,REF00763862,9819.32,2025-07-19,PENDING
TDS_DETAILS00000003,REF00749799,1268.86,2025-03-28,COMPLETED
TDS_DETAILS00000004,REF00945499,4171.02,2025-11-29,PENDING
TDS_DETAILS00000005,REF00417336,3613.61,2025-08-29,COMPLETED
TDS_DETAILS00000006,REF00363520,8233.73,2025-02-05,CANCELLED
TDS_DETAILS00000007,REF00199245,5683.93,2025-02-25,PENDING
TDS_DETAILS00000008,REF00341591,3460.66,2025-11-26,CANCELLED
TDS_DETAILS00000009,REF00049966,2476.18,2025-08-26,ACTIVE
TDS_DETAILS00000010,REF00701286,3648.8,2025-04-03,ACTIVE
TDS_DETAILS00000011,REF00858876,8270.77,2025-09-23,PENDING
TDS_DETAILS00000012,REF00379423,8952.4,2025-11-29,CANCELLED
TDS_DETAILS00000013,REF00659951,3020.98,2025-09-11,ACTIVE
TDS_DETAILS00000014,REF00099901,9834.94,2025-08-20,ACTIVE
TDS_DETAILS00000015,REF00778419,5219.93,2025-04-30,PENDING
TDS_DETAILS00000016,REF00572724,2866.33,2025-11-06,PENDING
TDS_DETAILS00000017,REF00464861,9256.86,2025-02-09,CANCELLED
TDS_DETAILS00000018,REF00935487,3715.14,2025-08-16,COMPLETED
TDS_DETAILS00000019,REF00405367,313.8,2025-01-31,COMPLETED
TDS_DETAILS00000020,REF00460628,2510.05,2025-10-08,COMPLETED
TDS_DETAILS00000021,REF00038526,9742.99,2025-04-30,CANCELLED
TDS_DETAILS00000022,REF00424222,4341.31,2025-04-24,CANCELLED
TDS_DETAILS00000023,REF00767531,1312.89,2025-10-13,CANCELLED
TDS_DETAILS00000024,REF00552263,4520.99,2026-01-07,CANCELLED
TDS_DETAILS00000025,REF00239524,602.15,2025-06-30,COMPLETED
TDS_DETAILS00000026,REF00447423,4325.56,2025-02-16,COMPLETED
TDS_DETAILS00000027,REF00479422,5359.2,2026-01-09,CANCELLED
TDS_DETAILS00000028,REF00049857,9929.83,2025-02-09,PENDING
TDS_DETAILS00000029,REF00592859,4122.12,2025-05-29,PENDING
TDS_DETAILS00000030,REF00659589,2653.09,2025-11-01,CANCELLED
TDS_DETAILS00000031,REF00129411,6100.92,2025-02-18,CANCELLED
TDS_DETAILS00000032,REF00393062,3415.37,2025-10-03,CANCELLED
TDS_DETAILS00000033,REF00784085,6235.74,2025-11-24,ACTIVE
TDS_DETAILS00000034,REF00969145,7588.05,2025-05-15,CANCELLED
TDS_DETAILS00000035,REF00426791,5348.1,2025-02-05,CANCELLED
TDS_DETAILS00000036,REF00436040,4829.0,2025-05-21,CANCELLED
TDS_DETAILS00000037,REF00935174,7004.89,2025-02-21,PENDING
TDS_DETAILS00000038,REF00237559,7766.99,2025-06-24,CANCELLED
TDS_DETAILS00000039,REF00173365,1873.24,2025-03-15,ACTIVE
TDS_DETAILS00000040,REF00798286,4376.57,2025-10-23,COMPLETED
TDS_DETAILS00000041,REF00558269,7060.61,2025-12-06,COMPLETED
TDS_DETAILS00000042,REF00296899,8716.39,2025-06-09,COMPLETED
TDS_DETAILS00000043,REF00391774,4058.26,2025-06-22,COMPLETED
TDS_DETAILS00000044,REF00496088,7464.21,2025-09-21,PENDING
TDS_DETAILS00000045,REF00626777,9902.54,2025-10-22,ACTIVE
TDS_DETAILS00000046,REF00004144,9323.18,2025-11-13,COMPLETED
TDS_DETAILS00000047,REF00550027,2260.05,2025-06-14,CANCELLED
TDS_DETAILS00000048,REF00139920,7457.79,2025-02-27,ACTIVE
TDS_DETAILS00000049,REF00263713,2388.35,2025-07-19,COMPLETED
TDS_DETAILS00000050,REF00733029,8869.65,2025-10-11,CANCELLED
TDS_DETAILS00000051,REF00342242,46.0,2025-02-25,COMPLETED
TDS_DETAILS00000052,REF00975710,3231.45,2025-08-15,ACTIVE
TDS_DETAILS00000053,REF00657200,5545.16,2025-07-09,PENDING
TDS_DETAILS00000054,REF00960496,5367.12,2025-07-07,ACTIVE
