id,reference_id,amount,date,status
GST_DETAILS00000001,REF00403700,8117.32,2025-03-25,CANCELLED
GST_DETAILS00000002,REF00774145,957.52,2025-06-05,CANCELLED
GST_DETAILS00000003,REF00275307,2636.4,2025-10-18,COMPLETED
GST_DETAILS00000004,REF00797165,8032.59,2025-06-23,PENDING
GST_DETAILS00000005,REF00993462,2641.09,2025-10-28,COMPLETED
GST_DETAILS00000006,REF00092975,8639.93,2025-03-26,COMPLETED
GST_DETAILS00000007,REF00753466,9427.53,2025-09-14,PENDING
GST_DETAILS00000008,REF00836476,8766.21,2025-09-18,CANCELLED
GST_DETAILS00000009,REF00516805,1376.04,2025-06-08,COMPLETED
GST_DETAILS00000010,REF00804675,5741.83,2025-09-11,CANCELLED
GST_DETAILS00000011,REF00560146,6473.33,2025-08-03,PENDING
GST_DETAILS00000012,REF00002804,2403.76,2025-03-22,ACTIVE
GST_DETAILS00000013,REF00602426,816.48,2025-05-11,CANCELLED
GST_DETAILS00000014,REF00786919,109.54,2025-06-13,CANCELLED
GST_DETAILS00000015,REF00684027,1422.98,2025-06-20,COMPLETED
GST_DETAILS00000016,REF00746242,2261.19,2025-08-21,COMPLETED
GST_DETAILS00000017,REF00561434,9094.32,2025-03-15,ACTIVE
GST_DETAILS00000018,REF00526900,8811.14,2026-01-13,ACTIVE
GST_DETAILS00000019,REF00249837,3512.39,2025-07-25,COMPLETED
GST_DETAILS00000020,REF00943478,3369.17,2025-05-14,COMPLETED
GST_DETAILS00000021,REF00359886,7065.48,2025-12-02,PENDING
GST_DETAILS00000022,REF00061359,659.02,2025-03-08,ACTIVE
GST_DETAILS00000023,REF00654554,6114.25,2025-04-01,PENDING
GST_DETAILS00000024,REF00273991,4519.63,2025-08-30,ACTIVE
GST_DETAILS00000025,REF00884021,3828.75,2025-06-12,PENDING
GST_DETAILS00000026,REF00973915,7105.93,2025-02-27,CANCELLED
GST_DETAILS00000027,REF00866401,6235.47,2025-06-26,CANCELLED
GST_DETAILS00000028,REF00456222,9486.34,2025-03-05,COMPLETED
GST_DETAILS00000029,REF00372976,1840.45,2025-07-05,COMPLETED
GST_DETAILS00000030,REF00695712,9441.56,2025-07-19,CANCELLED
GST_DETAILS00000031,REF00326109,9718.46,2025-04-12,ACTIVE
GST_DETAILS00000032,REF00600183,7871.39,2025-06-14,ACTIVE
GST_DETAILS00000033,REF00720628,4301.39,2025-08-03,COMPLETED
GST_DETAILS00000034,REF00113967,9675.82,2025-10-12,CANCELLED
GST_DETAILS00000035,REF00588047,3350.39,2025-02-14,PENDING
GST_DETAILS00000036,REF00233163,480.44,2025-07-19,COMPLETED
GST_DETAILS00000037,REF00436710,2285.46,2025-12-03,ACTIVE
GST_DETAILS00000038,REF00729855,7254.79,2025-09-16,ACTIVE
GST_DETAILS00000039,REF00290472,4391.67,2025-05-20,CANCELLED
GST_DETAILS00000040,REF00931647,2536.87,2025-12-14,CANCELLED
GST_DETAILS00000041,REF00025966,2253.65,2025-05-17,ACTIVE
GST_DETAILS00000042,REF00922164,7134.81,2025-01-22,CANCELLED
GST_DETAILS00000043,REF00965432,4837.38,2025-03-25,PENDING
GST_DETAILS00000044,REF00229416,9974.16,2025-01-28,COMPLETED
GST_DETAILS00000045,REF00711092,89.08,2025-04-12,PENDING
GST_DETAILS00000046,REF00718174,4402.25,2025-05-10,ACTIVE
GST_DETAILS00000047,REF00236366,8824.25,2025-09-16,CANCELLED
GST_DETAILS00000048,REF00716038,1185.44,2025-04-21,COMPLETED
GST_DETAILS00000049,REF00555262,856.91,2025-07-02,COMPLETED
GST_DETAILS00000050,REF00238888,1470.98,2025-08-21,PENDING
GST_DETAILS00000051,REF00270537,2163.88,2025-01-29,CANCELLED
GST_DETAILS00000052,REF00354731,5610.13,2025-06-28,ACTIVE
GST_DETAILS00000053,REF00225842,3355.64,2025-05-01,ACTIVE
GST_DETAILS00000054,REF00583415,8722.83,2025-02-08,PENDING
GST_DETAILS00000055,REF00486244,4392.26,2025-04-12,ACTIVE
GST_DETAILS00000056,REF00402423,3359.46,2025-05-14,CANCELLED
GST_DETAILS00000057,REF00616599,4226.25,2025-08-27,PENDING
GST_DETAILS00000058,REF00883497,7876.22,2026-01-07,COMPLETED
GST_DETAILS00000059,REF00186329,2637.49,2025-08-18,COMPLETED
