Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-B44A510C-B63,ACCT-323F7ADD,2003-03-18,4488.24,CREDIT,Txn Ref 241626,Phone
TXN-0A953215-287,ACCT-40F1B8D0,1997-04-23,3474.84,INTEREST,Txn Ref 505887,ATM
TXN-CC11E781-968,ACCT-66CF023E,1990-12-13,7244.86,INTEREST,Txn Ref 878248,Cheque
TXN-67C38E55-8CB,ACCT-ABB28909,1990-08-29,-4865.35,INTEREST,Txn Ref 795921,Cheque
TXN-A5383ACC-CB1,ACCT-379C4835,1998-05-16,2937.98,INTEREST,Txn Ref 481731,Branch
TXN-C19B80B8-D66,ACCT-E06028A8,1987-02-28,4870.49,TRANSFER,Txn Ref 446116,ATM
TXN-D64205AA-DA2,ACCT-19FDAA33,1991-09-21,-2807.48,DEBIT,Txn Ref 442115,Cheque
TXN-22173801-A14,ACCT-BA5E25E4,1991-05-29,2121.22,INTEREST,Txn Ref 138025,ATM
TXN-8EA8D1FE-EC2,ACCT-556AF053,1986-05-26,-1705.45,FEE,Txn Ref 947217,Branch
TXN-79F69902-B63,ACCT-3F43FFE1,1987-11-23,9135.44,INTEREST,Txn Ref 869524,Cheque
TXN-A01C83DA-A9C,ACCT-80B585BF,2004-05-12,2664.02,CREDIT,Txn Ref 702845,ATM
TXN-38D25FA4-156,ACCT-516B4F31,1999-08-30,4434.73,FEE,Txn Ref 949659,Cheque
TXN-84291453-079,ACCT-55D9D121,2003-12-27,1838.2,FEE,Txn Ref 503791,ATM
TXN-FD4DDC3B-A59,ACCT-05F39679,1994-02-19,-1585.55,FEE,Txn Ref 246908,Phone
TXN-F84E64BB-7D7,ACCT-47C68FF3,1999-05-02,8517.25,TRANSFER,Txn Ref 582691,ATM
TXN-FA324E6F-6F0,ACCT-FFAD053C,1999-10-27,5485.55,DEBIT,Txn Ref 566773,ATM
TXN-60915357-4F0,ACCT-1F3E47F9,1991-04-20,-2955.99,DEBIT,Txn Ref 793045,ATM
TXN-4563A437-F3B,ACCT-7979F212,1996-10-21,7449.82,FEE,Txn Ref 192405,Branch
TXN-7697A4CB-FD8,ACCT-CC0F8A12,1990-10-24,5770.74,DEBIT,Txn Ref 562783,Phone
TXN-F655768B-87A,ACCT-ABB28909,2002-07-26,4903.39,FEE,Txn Ref 128870,Cheque
TXN-9B6756B1-1E2,ACCT-C3697294,1991-08-06,3849.3,DEBIT,Txn Ref 918821,ATM
TXN-95682685-8AD,ACCT-D772E674,1988-03-10,7011.04,FEE,Txn Ref 836796,ATM
TXN-800E8011-231,ACCT-A8722EB9,1998-02-09,-3481.28,FEE,Txn Ref 399912,ATM
TXN-7E47F5CA-9FD,ACCT-654B7904,1985-08-21,901.61,TRANSFER,Txn Ref 521203,Branch
TXN-DA87B79D-DE0,ACCT-0798C49E,1994-05-17,8708.67,TRANSFER,Txn Ref 744758,Phone
TXN-CED75286-237,ACCT-FEE8FF51,1988-04-22,4823.67,CREDIT,Txn Ref 467181,Cheque
TXN-821FC1FE-F0B,ACCT-797362FE,1989-03-30,4061.37,FEE,Txn Ref 962885,Branch
TXN-55483967-9E4,ACCT-2CB30F33,1991-04-03,3731.76,INTEREST,Txn Ref 745951,Cheque
