Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-0D295475-D35,ACCT-19936DC2,2001-12-23,6387.48,DEBIT,Txn Ref 438724,Branch
TXN-5CD62936-97D,ACCT-B391FEA8,1992-02-24,-1369.36,TRANSFER,Txn Ref 323661,Branch
TXN-3462E052-47C,ACCT-2006292B,1989-02-26,-4105.24,DEBIT,Txn Ref 213963,ATM
TXN-107E2821-8C6,ACCT-797362FE,1991-03-04,-4999.97,DEBIT,Txn Ref 967059,Branch
TXN-22CF98E0-240,ACCT-7C9E3728,1998-07-12,782.38,DEBIT,Txn Ref 677198,Cheque
TXN-2656598D-9F6,ACCT-9E7ACDA7,1990-07-26,4231.93,DEBIT,Txn Ref 547007,Cheque
TXN-1AFB5AA2-3D9,ACCT-323F7ADD,1986-01-09,1082.07,DEBIT,Txn Ref 594279,Branch
TXN-25EE362F-4E8,ACCT-513AA463,1985-12-26,6659.16,FEE,Txn Ref 657394,Branch
TXN-2A11738B-146,ACCT-897D1537,2001-01-05,8947.13,DEBIT,Txn Ref 818884,Phone
TXN-15D6D895-D41,ACCT-02CE59AD,2004-05-04,7098.56,TRANSFER,Txn Ref 915637,Branch
TXN-EBD249B8-837,ACCT-AE7FE32C,2004-03-31,9683.46,INTEREST,Txn Ref 297609,Branch
TXN-DFBEC3F1-FAC,ACCT-DBFAA7B2,1990-11-29,1034.42,INTEREST,Txn Ref 762780,ATM
TXN-020AB2D1-634,ACCT-87E64748,1994-09-10,-1296.01,CREDIT,Txn Ref 868862,Branch
TXN-A3C6B9B8-2FA,ACCT-FE0DC5A6,1986-10-23,600.34,FEE,Txn Ref 346252,Cheque
TXN-6124B9C4-809,ACCT-FE0DC5A6,1990-06-03,-4348.42,FEE,Txn Ref 757080,Cheque
TXN-07A81D50-3E1,ACCT-E739D820,1996-03-12,0.43,INTEREST,Txn Ref 395513,Branch
