Account_ID,Customer_ID,Open_Date,Currency,Balance,Status,Product_Code
ACCT-C4E7B0F9,CUST-7B61145A,1993-11-22,GBP,371860.38,Active,PRD-363
ACCT-C82E4905,CUST-8210351B,1999-02-05,JPY,912367.24,Closed,PRD-929
ACCT-F0CC7714,CUST-1A01082B,1985-08-29,USD,914563.57,Suspended,PRD-338
ACCT-68A444F1,CUST-584EBB1B,2001-03-15,EUR,299242.22,Active,PRD-658
ACCT-232FC48A,CUST-160EA632,1991-09-03,EUR,317265.94,Closed,PRD-839
ACCT-69ABB9F1,CUST-B844455B,2004-06-14,USD,725446.15,Active,PRD-626
ACCT-7DB31ECB,CUST-69621C38,1988-10-20,EUR,469450.79,Active,PRD-186
ACCT-34A8B2A3,CUST-3E720B15,1993-05-14,JPY,186779.99,Suspended,PRD-262
ACCT-832EBB0B,CUST-25C0AB42,1998-07-19,EUR,924394.87,Closed,PRD-478
ACCT-8F242B17,CUST-11CAFCF6,2002-05-18,JPY,50701.96,Suspended,PRD-349
ACCT-972FFFDC,CUST-4FE1125F,1983-03-15,JPY,183259.68,Active,PRD-688
ACCT-245E4011,CUST-F6006D20,1989-06-04,JPY,991295.2,Closed,PRD-848
ACCT-4FF73744,CUST-46624D77,1982-04-06,USD,417712.49,Suspended,PRD-676
ACCT-F3F61DE7,CUST-1A582E3A,1987-04-15,GBP,413634.57,Suspended,PRD-885
ACCT-1266833C,CUST-6573A91E,1984-12-31,JPY,289750.74,Suspended,PRD-530
ACCT-03A104EE,CUST-69621C38,1989-03-12,USD,518051.68,Active,PRD-348
ACCT-F6F89A9F,CUST-19DB9221,1990-07-12,EUR,666902.86,Closed,PRD-773
ACCT-1A99E5CA,CUST-7E910E02,1990-08-03,GBP,703371.2,Closed,PRD-884
ACCT-9198315C,CUST-5D1D6A1A,1992-11-20,EUR,812543.79,Suspended,PRD-736
ACCT-DBC35B0A,CUST-A95C5078,1991-12-20,GBP,141590.25,Active,PRD-810
ACCT-E27FD63D,CUST-AED7290F,1980-06-29,EUR,884738.39,Active,PRD-675
ACCT-DC30704A,CUST-7105ED45,2003-11-05,USD,56218.44,Suspended,PRD-607
ACCT-345FC8B6,CUST-3B929417,2002-07-31,JPY,305592.97,Closed,PRD-987
ACCT-7ED6311C,CUST-FC42E7B9,1985-08-07,USD,555079.54,Suspended,PRD-528
ACCT-89820E16,CUST-69621C38,1989-02-17,GBP,111251.05,Suspended,PRD-501
ACCT-772CE166,CUST-F15C5749,1989-01-25,EUR,515337.51,Closed,PRD-343
ACCT-AFDDEB4A,CUST-1CFA9A90,2001-06-30,JPY,769880.22,Closed,PRD-444
ACCT-33E9F62A,CUST-3866BE33,1982-08-01,USD,261510.2,Suspended,PRD-808
ACCT-401EF0C9,CUST-2DEF7D62,1999-10-30,EUR,214259.21,Active,PRD-103
ACCT-94187B4D,CUST-550E9599,1984-05-22,EUR,439615.18,Closed,PRD-940
ACCT-35AE4948,CUST-BDEC05EA,1992-11-14,GBP,618137.94,Active,PRD-246
ACCT-C55CAEB8,CUST-451FBA55,1999-11-03,JPY,320873.29,Suspended,PRD-348
ACCT-EF1F9C4D,CUST-0F3DE82E,1998-07-28,USD,70234.75,Active,PRD-141
ACCT-F14A2233,CUST-1A01082B,2005-04-24,GBP,494184.92,Suspended,PRD-941
ACCT-31388B00,CUST-009959F8,1983-11-03,GBP,716318.51,Active,PRD-991
ACCT-9CE03B09,CUST-39171696,1988-12-17,USD,835418.67,Active,PRD-972
ACCT-7EF3C80B,CUST-69967A65,2005-07-08,EUR,760301.26,Suspended,PRD-781
ACCT-58ECEB71,CUST-1E0D8D32,2002-05-06,JPY,18486.34,Active,PRD-949
ACCT-8946712E,CUST-5A77CC5A,1982-12-25,JPY,268733.5,Closed,PRD-156
ACCT-2FBE6FCE,CUST-D6328EA8,1980-05-14,EUR,816908.21,Active,PRD-621
ACCT-BB67BC6B,CUST-E7B43061,1996-01-21,JPY,265861.95,Active,PRD-486
ACCT-D12BBE7F,CUST-0957F88A,2002-01-04,USD,377055.29,Closed,PRD-455
ACCT-FD21E983,CUST-5F35C0C7,1998-03-10,USD,331541.08,Suspended,PRD-800
ACCT-8F4F1A23,CUST-2B16C3D5,1991-10-02,USD,860845.06,Active,PRD-865
ACCT-D1200474,CUST-D428DE7C,1993-01-22,USD,74786.75,Suspended,PRD-337
ACCT-2CA701C4,CUST-7E910E02,1996-09-30,GBP,184050.87,Closed,PRD-294
ACCT-CEC0EC8B,CUST-7C5811E1,1984-10-11,JPY,993366.9,Active,PRD-655
ACCT-44092426,CUST-D6328EA8,1992-01-26,GBP,983785.29,Closed,PRD-880
ACCT-8A16B091,CUST-EFA8C9B3,1998-09-25,GBP,20209.07,Suspended,PRD-497
ACCT-2FA05C43,CUST-B3551732,1990-11-12,GBP,234934.74,Closed,PRD-346
ACCT-89F67CAE,CUST-19D9B7F1,2005-05-30,USD,974519.32,Suspended,PRD-328
ACCT-E333A31C,CUST-AD986FE7,1995-12-08,EUR,284256.48,Active,PRD-813
ACCT-68F7E5DF,CUST-F88FC0E5,1983-06-20,JPY,624811.52,Suspended,PRD-601
ACCT-09D60AC5,CUST-55C7AA4E,2002-10-22,GBP,812869.79,Closed,PRD-658
ACCT-919BD0C9,CUST-0E1F76D2,1991-07-17,EUR,546881.57,Closed,PRD-643
ACCT-81DE7FBE,CUST-E7B43061,1996-12-23,EUR,42121.18,Suspended,PRD-717
ACCT-C32887CD,CUST-81597A53,1980-09-25,GBP,398171.75,Suspended,PRD-585
ACCT-287DD478,CUST-584EBB1B,1980-01-03,EUR,769999.7,Suspended,PRD-469
ACCT-6633C47F,CUST-46624D77,1987-03-27,JPY,258663.59,Suspended,PRD-513
ACCT-CFA8C856,CUST-6573A91E,1998-09-07,GBP,842527.58,Active,PRD-889
ACCT-692B5900,CUST-EFEA5D9A,1998-01-22,JPY,89513.9,Closed,PRD-720
ACCT-98DD5BB1,CUST-041A0DAE,1997-02-27,GBP,404690.5,Closed,PRD-612
ACCT-407B32CE,CUST-7B61145A,1987-04-17,JPY,876350.63,Closed,PRD-725
ACCT-2D3001AE,CUST-3C2816C1,1995-03-03,EUR,526169.96,Suspended,PRD-634
ACCT-C270C379,CUST-6573A91E,1999-03-23,EUR,708965.32,Active,PRD-713
ACCT-BC7D7876,CUST-1CFA9A90,1980-10-27,EUR,425878.89,Closed,PRD-397
ACCT-ACB3989E,CUST-1EB5C852,2002-06-01,USD,924331.4,Suspended,PRD-503
ACCT-7A9984C3,CUST-CF8C3C67,1988-10-12,GBP,438536.2,Active,PRD-255
ACCT-2C1D5866,CUST-840E5861,1990-12-21,JPY,745488.12,Active,PRD-141
ACCT-77E6FE18,CUST-B1D7084E,1987-10-16,EUR,785764.64,Active,PRD-283
ACCT-57DCCFB8,CUST-F37D3795,1994-02-02,JPY,366699.65,Suspended,PRD-587
ACCT-694D7D7D,CUST-81597A53,1984-04-19,JPY,530888.89,Suspended,PRD-356
ACCT-F251586F,CUST-05F97FA5,2001-06-20,USD,763747.75,Active,PRD-373
ACCT-0B77DE62,CUST-11CAFCF6,1992-11-05,JPY,600288.59,Active,PRD-629
ACCT-8C49147F,CUST-AB8B9D62,1997-12-18,EUR,576204.2,Closed,PRD-333
ACCT-6105520C,CUST-8911085B,1986-06-30,GBP,888262.62,Suspended,PRD-321
ACCT-B08DE986,CUST-B844455B,1999-07-29,USD,528388.44,Suspended,PRD-484
ACCT-23867BA9,CUST-008F06B7,2001-11-23,GBP,727846.87,Suspended,PRD-100
ACCT-46D47FBD,CUST-67A463A3,1981-05-07,EUR,815559.81,Active,PRD-403
ACCT-718612ED,CUST-4853F3DE,2004-10-01,EUR,196041.42,Closed,PRD-508
ACCT-611BD588,CUST-E83DF989,1985-10-02,USD,501483.3,Closed,PRD-881
ACCT-72A7C21B,CUST-1AAEDDDF,1999-12-09,USD,669134.79,Closed,PRD-633
ACCT-56D65B96,CUST-72A07CE9,1982-12-29,USD,56171.89,Suspended,PRD-947
ACCT-39DB21F9,CUST-716FCFCE,1980-06-07,USD,766715.82,Suspended,PRD-590
ACCT-F111D64A,CUST-1B419F32,1988-05-07,JPY,705736.79,Closed,PRD-841
ACCT-FDDA8A5C,CUST-BCFA8246,1988-05-13,GBP,59630.49,Active,PRD-381
ACCT-9C30C814,CUST-AD6EC4B8,1999-04-01,GBP,286378.66,Closed,PRD-872
ACCT-FA5E4CE4,CUST-69621C38,1986-07-28,JPY,465993.99,Closed,PRD-889
ACCT-92882CD9,CUST-550E9599,2002-08-06,USD,251312.83,Closed,PRD-100
ACCT-4D2A5D27,CUST-0F3DE82E,1987-11-27,USD,267948.79,Closed,PRD-614
ACCT-9A73D96E,CUST-D545AB71,1991-12-10,USD,297634.86,Active,PRD-447
ACCT-B9720D54,CUST-7105ED45,1980-12-11,JPY,147741.76,Suspended,PRD-885
ACCT-2CFC4D84,CUST-696EED44,1995-05-08,EUR,687920.18,Closed,PRD-886
ACCT-C226D6CC,CUST-840E5861,1990-10-20,EUR,971339.68,Suspended,PRD-849
ACCT-83A7F920,CUST-A70DCD35,1997-05-24,GBP,436864.26,Active,PRD-724
ACCT-BC1B7A69,CUST-091790AC,1997-04-11,EUR,812470.83,Suspended,PRD-122
ACCT-5B37ED6E,CUST-835F6C3A,1993-06-27,EUR,986305.28,Active,PRD-778
ACCT-F451CBE7,CUST-2DEF7D62,1988-07-22,USD,948157.16,Active,PRD-261
ACCT-61374EF7,CUST-AFE66FC3,1981-11-13,EUR,666812.3,Active,PRD-615
ACCT-69133192,CUST-FC42E7B9,1995-09-14,EUR,520075.77,Active,PRD-400
ACCT-AAD0FF9B,CUST-6E0A1345,1997-09-12,USD,412535.01,Suspended,PRD-201
ACCT-705785F4,CUST-C48B0E8F,2000-10-20,GBP,713973.75,Active,PRD-360
ACCT-71840BF0,CUST-1CFA9A90,1983-04-23,GBP,976093.76,Suspended,PRD-546
ACCT-07940E80,CUST-B1DFA74E,1988-12-15,USD,538653.61,Suspended,PRD-155
ACCT-84B1575F,CUST-A4BBD369,1998-09-04,USD,15052.91,Closed,PRD-406
ACCT-15526E33,CUST-1E2ED3BF,1994-03-27,USD,914839.92,Suspended,PRD-325
ACCT-72125802,CUST-F1DBE8CD,1985-07-07,JPY,940029.43,Active,PRD-964
ACCT-7A6E45A6,CUST-EE7991EA,1983-11-20,USD,285866.46,Active,PRD-966
ACCT-9822A906,CUST-7E910E02,2002-05-01,JPY,287422.95,Suspended,PRD-566
ACCT-A060FE58,CUST-FF4E802D,1984-05-17,JPY,952077.42,Active,PRD-362
ACCT-DE65D184,CUST-60B16B1E,2005-12-08,JPY,491815.12,Active,PRD-949
ACCT-EAC94035,CUST-C48B0E8F,1984-07-28,USD,337454.06,Closed,PRD-517
ACCT-F6657CD6,CUST-C74EE6EA,1991-12-20,GBP,908142.81,Suspended,PRD-825
ACCT-503C15C8,CUST-BDAE80F3,1982-09-15,GBP,844087.24,Active,PRD-356
ACCT-772A6AF3,CUST-FF5566F2,1980-01-05,GBP,496827.44,Suspended,PRD-561
ACCT-ECF97DA1,CUST-74D0A4DA,1997-04-02,EUR,121533.86,Closed,PRD-297
ACCT-4737F6E8,CUST-168FE245,1991-12-22,USD,525282.82,Closed,PRD-525
ACCT-F765A8AE,CUST-832E5AD1,1985-02-17,JPY,874193.29,Active,PRD-996
ACCT-A652FF73,CUST-26A42053,1996-03-15,USD,371216.03,Active,PRD-426
ACCT-4A3E31B8,CUST-676AAB22,1988-10-05,JPY,787282.38,Closed,PRD-401
ACCT-AB65D57C,CUST-7D4CCFD6,1986-10-28,GBP,509143.44,Active,PRD-946
ACCT-87264747,CUST-A0F1C083,1984-10-16,GBP,893072.38,Suspended,PRD-279
ACCT-3DEE3576,CUST-061BEB6C,1986-03-10,GBP,563205.25,Active,PRD-406
ACCT-F751A9E5,CUST-6A2372D5,1994-10-18,JPY,225044.93,Active,PRD-143
ACCT-E151A925,CUST-56C7EA53,1998-08-30,USD,420862.0,Closed,PRD-951
ACCT-B00F64F6,CUST-1AAEDDDF,2005-04-15,EUR,988499.72,Active,PRD-692
ACCT-9BB58B05,CUST-60B16B1E,1997-04-29,EUR,435914.85,Closed,PRD-606
ACCT-222B3A63,CUST-091790AC,2003-06-27,GBP,568757.23,Active,PRD-728
ACCT-49D26B65,CUST-AED7290F,1985-10-27,EUR,967142.81,Suspended,PRD-594
ACCT-51F981DC,CUST-5AA3CE9E,1983-09-30,JPY,656974.07,Suspended,PRD-220
ACCT-422F095A,CUST-25C0AB42,2005-09-01,GBP,864864.78,Closed,PRD-310
ACCT-6026F725,CUST-C48B0E8F,1993-07-15,USD,814030.81,Closed,PRD-206
ACCT-66063832,CUST-CF8A4CC3,1995-03-20,JPY,855867.71,Closed,PRD-618
ACCT-BE4D3228,CUST-F1DBE8CD,1995-02-27,EUR,519785.17,Suspended,PRD-398
ACCT-EC9F54BF,CUST-1CFA9A90,2001-06-12,USD,170437.45,Active,PRD-802
ACCT-9C852D18,CUST-1B672740,1990-07-16,EUR,867909.33,Suspended,PRD-936
ACCT-193B13E5,CUST-C334B9EA,1984-03-05,JPY,913804.07,Suspended,PRD-777
ACCT-1F853B5C,CUST-EA0D51A4,1980-10-07,JPY,68507.11,Closed,PRD-545
ACCT-126E320C,CUST-95984C5F,1987-08-25,JPY,484563.72,Active,PRD-744
ACCT-6E88D600,CUST-23009A01,1987-12-08,EUR,6046.34,Closed,PRD-965
ACCT-25074FB3,CUST-05F97FA5,1991-01-28,JPY,824610.9,Closed,PRD-172
ACCT-0813171C,CUST-4BA8A759,1981-08-03,GBP,95303.64,Active,PRD-483
ACCT-DB659031,CUST-822AB169,2003-01-25,USD,690350.87,Active,PRD-717
