Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-9519B92C-109,ACCT-5B37ED6E,1989-12-18,-3369.25,TRANSFER,Txn Ref 437266,Branch
TXN-98BC8FB7-84A,ACCT-89820E16,2003-12-04,-4736.94,DEBIT,Txn Ref 228701,Phone
TXN-0323DCD8-D6C,ACCT-9BB58B05,2004-07-28,746.32,DEBIT,Txn Ref 701028,Branch
TXN-93CCB0E1-287,ACCT-25074FB3,2003-10-24,1470.76,INTEREST,Txn Ref 976496,Branch
TXN-9D54F399-1A7,ACCT-BFDF1F5F,1996-04-17,9126.85,FEE,Txn Ref 282214,Cheque
TXN-0A51D384-4A5,ACCT-245E4011,1994-10-13,4330.91,FEE,Txn Ref 601410,Branch
TXN-1562290E-E16,ACCT-1266833C,1996-02-22,5528.6,FEE,Txn Ref 789089,Cheque
TXN-DFD743B1-49F,ACCT-77E6FE18,1996-12-27,7771.73,CREDIT,Txn Ref 769829,Branch
TXN-388E73B2-651,ACCT-5870BD3C,1990-05-27,9986.8,FEE,Txn Ref 685009,ATM
TXN-DB5D22C1-C15,ACCT-5ECBD314,1989-11-02,2153.93,CREDIT,Txn Ref 381839,Phone
TXN-A39E0F25-533,ACCT-FD21E983,1991-11-08,-962.45,CREDIT,Txn Ref 156883,ATM
TXN-94A09FE4-634,ACCT-58ECEB71,1994-09-07,4053.58,DEBIT,Txn Ref 989119,Branch
TXN-74ECD646-272,ACCT-8E8CED8B,1992-12-02,1176.15,CREDIT,Txn Ref 787982,ATM
TXN-FE3C212A-E46,ACCT-BA75F92D,2005-05-25,-3175.09,DEBIT,Txn Ref 908975,Branch
TXN-14A81AE8-189,ACCT-1803CA02,1985-02-14,2114.8,CREDIT,Txn Ref 347983,Branch
TXN-14A77853-96A,ACCT-7ED6311C,2001-10-10,7788.45,TRANSFER,Txn Ref 780194,ATM
TXN-39D61B48-29D,ACCT-E1FDA749,1987-01-10,-1350.8,INTEREST,Txn Ref 410903,ATM
TXN-0BD52EC8-819,ACCT-77E6FE18,1985-06-05,3918.23,CREDIT,Txn Ref 476501,ATM
TXN-2AFF5C69-AFE,ACCT-58E090BB,1987-07-30,7264.45,FEE,Txn Ref 907793,ATM
TXN-AC3B8AB4-C62,ACCT-69133192,1987-10-27,6141.75,TRANSFER,Txn Ref 173151,Phone
TXN-92CDB58C-CFD,ACCT-DE65D184,1993-06-25,8839.35,CREDIT,Txn Ref 934084,Cheque
TXN-1E35EE08-6FE,ACCT-6E88D600,2001-11-02,-3318.36,FEE,Txn Ref 566116,Phone
TXN-27BCF26A-B84,ACCT-624D239D,1996-05-06,1133.7,CREDIT,Txn Ref 331945,ATM
TXN-A0DAC29C-7FA,ACCT-31388B00,1993-11-12,-4163.54,INTEREST,Txn Ref 944303,Phone
TXN-72A05FD2-EC9,ACCT-23867BA9,1995-04-16,860.59,FEE,Txn Ref 105269,Phone
TXN-0C3852BD-8E5,ACCT-5428C6B4,1995-08-13,1956.91,FEE,Txn Ref 855535,Branch
TXN-F67D0370-A0D,ACCT-49D26B65,1992-09-13,3333.12,CREDIT,Txn Ref 317905,Branch
TXN-93F85E20-648,ACCT-42AEF486,1987-10-16,2115.38,INTEREST,Txn Ref 499715,Branch
TXN-58643A38-586,ACCT-718612ED,2005-12-26,5842.75,INTEREST,Txn Ref 178704,Branch
TXN-6BBB8C10-513,ACCT-A652FF73,1989-12-07,-3027.71,FEE,Txn Ref 907266,Cheque
TXN-1CA5BB19-579,ACCT-94187B4D,1988-11-09,8707.56,INTEREST,Txn Ref 836130,ATM
TXN-0A425406-319,ACCT-2D3001AE,1994-02-27,8308.87,TRANSFER,Txn Ref 696187,Phone
TXN-5159186A-A5B,ACCT-815D9863,1985-08-31,-984.86,DEBIT,Txn Ref 156664,Phone
TXN-5DD5944C-808,ACCT-3D843C63,2000-01-27,7579.87,INTEREST,Txn Ref 371073,Cheque
TXN-74782E9A-E4D,ACCT-4FBFBE02,1992-11-20,4923.68,TRANSFER,Txn Ref 301430,Cheque
TXN-AA272B07-5EC,ACCT-624D239D,2003-02-25,119.09,TRANSFER,Txn Ref 147043,Branch
TXN-1497EF26-FA1,ACCT-ECF97DA1,1990-09-05,8223.89,TRANSFER,Txn Ref 705059,Phone
TXN-F0CFE7B6-CF5,ACCT-7ED6311C,2000-12-10,1289.51,TRANSFER,Txn Ref 598939,Phone
TXN-34C6A0C0-D96,ACCT-2D770979,1992-10-19,7938.2,TRANSFER,Txn Ref 579947,Phone
TXN-96CB43D0-30E,ACCT-83ABA3FF,1987-10-03,-8.29,INTEREST,Txn Ref 731700,Branch
TXN-BD23D30A-9E1,ACCT-5870BD3C,1987-08-11,2895.82,INTEREST,Txn Ref 510041,ATM
TXN-BEF3049B-D5E,ACCT-F6657CD6,1993-05-30,-974.88,TRANSFER,Txn Ref 134280,Cheque
TXN-869841EB-474,ACCT-BC34F986,1994-06-27,7096.67,CREDIT,Txn Ref 209293,Phone
TXN-760DAAB3-B66,ACCT-E151A925,2005-10-29,-1798.23,FEE,Txn Ref 419635,Branch
TXN-CE3CD9CA-A00,ACCT-F3F61DE7,2003-12-25,1305.43,FEE,Txn Ref 436895,ATM
TXN-A1476080-988,ACCT-1C60A149,1999-12-06,4093.85,DEBIT,Txn Ref 404075,ATM
TXN-BC706D27-3A7,ACCT-69ABB9F1,1996-12-07,8709.61,INTEREST,Txn Ref 216359,ATM
TXN-504CBE6C-834,ACCT-FA67CD18,2005-06-29,8471.79,FEE,Txn Ref 302948,ATM
TXN-4803BC48-54B,ACCT-1F5BDD05,2002-06-20,136.54,DEBIT,Txn Ref 515691,Cheque
TXN-90CC7185-9D3,ACCT-C270C379,1991-09-28,-2330.88,DEBIT,Txn Ref 279241,Branch
