Transaction_ID,Account_ID,Date,Amount,Type,Description,Channel
TXN-B3B564D7-B63,ACCT-7510DF84,1987-05-29,7202.31,TRANSFER,Txn Ref 784639,Cheque
TXN-32B24A48-226,ACCT-57493044,2005-12-02,900.11,FEE,Txn Ref 413249,Branch
TXN-AF982616-B2B,ACCT-681B5747,1988-06-19,3154.72,CREDIT,Txn Ref 102528,ATM
TXN-51363185-6A5,ACCT-E51DD661,2002-05-27,671.58,CREDIT,Txn Ref 960240,Cheque
TXN-C45299FD-D81,ACCT-645E178C,1988-12-08,4925.03,DEBIT,Txn Ref 995398,Branch
TXN-6EC15213-DBD,ACCT-F04AFB9B,1997-10-12,-227.69,DEBIT,Txn Ref 105211,Branch
TXN-E37856FD-9FB,ACCT-47324402,1998-02-26,3755.62,FEE,Txn Ref 189010,Cheque
TXN-1FF9E7C6-8FB,ACCT-51FF7E8D,1990-02-10,4427.2,CREDIT,Txn Ref 364204,Branch
TXN-37FB30F7-13C,ACCT-437D150C,1997-06-18,7863.42,TRANSFER,Txn Ref 547005,Cheque
TXN-9E0EDBC6-045,ACCT-8575CC85,2005-06-05,530.03,FEE,Txn Ref 263449,Cheque
TXN-D31CF344-1A6,ACCT-BEAA5AD1,1997-09-05,383.55,CREDIT,Txn Ref 507182,ATM
TXN-59BDDAFE-9FA,ACCT-110A0901,1992-06-26,-861.71,DEBIT,Txn Ref 134295,Phone
TXN-BB33A77D-24A,ACCT-109815B7,1985-06-07,7438.68,CREDIT,Txn Ref 905556,Cheque
TXN-DEBEA920-EAC,ACCT-192A6102,1988-02-13,-3332.14,CREDIT,Txn Ref 731172,Phone
TXN-842D8B15-3B7,ACCT-DC7095B8,1989-09-02,7405.73,TRANSFER,Txn Ref 279767,Branch
TXN-1326DE78-548,ACCT-708149CB,2001-10-30,-290.2,FEE,Txn Ref 317852,Cheque
TXN-7D4AFEA6-E47,ACCT-7F2BC68F,1986-03-12,3866.44,TRANSFER,Txn Ref 132521,Branch
TXN-5BB37336-63A,ACCT-98E9D39F,1998-05-05,-1112.44,INTEREST,Txn Ref 394158,ATM
TXN-61414013-F8D,ACCT-9D65BAE4,2005-02-27,2702.84,DEBIT,Txn Ref 669250,ATM
TXN-CD85C9CF-5B3,ACCT-E4AFF69D,2005-01-17,-3227.49,CREDIT,Txn Ref 658298,Branch
TXN-D01D3300-B32,ACCT-A22C46E7,1992-04-22,4394.97,CREDIT,Txn Ref 767023,ATM
TXN-4EA1C530-6E8,ACCT-D8A50B9E,2003-04-07,-985.21,CREDIT,Txn Ref 293130,ATM
TXN-53E21830-100,ACCT-57493044,1991-08-26,-3863.21,TRANSFER,Txn Ref 885677,ATM
TXN-2903ACC1-EB2,ACCT-F92184EE,1997-10-27,5369.45,TRANSFER,Txn Ref 936593,Branch
TXN-CD64631E-898,ACCT-4E06BABA,1994-07-25,-4305.81,CREDIT,Txn Ref 965750,Phone
TXN-311FC9A4-2F7,ACCT-D118D41B,1988-04-01,2174.46,FEE,Txn Ref 818533,Branch
TXN-6C3ABB85-B48,ACCT-FC2D81F7,1987-03-25,-450.43,CREDIT,Txn Ref 465963,ATM
TXN-4B0007BB-215,ACCT-6BA86200,2002-05-01,2723.87,DEBIT,Txn Ref 776660,Phone
TXN-6E54654F-2AD,ACCT-BA9F88F1,1991-05-12,665.17,CREDIT,Txn Ref 195963,Phone
TXN-CAD84C1C-2DC,ACCT-70E1DFB3,2002-01-24,-2679.61,DEBIT,Txn Ref 104727,Cheque
TXN-0B2664FA-5D9,ACCT-DEFF90A9,2002-01-18,1563.64,INTEREST,Txn Ref 964251,Branch
TXN-C67FCA0A-807,ACCT-919B5A4B,1988-11-26,-2456.11,TRANSFER,Txn Ref 284690,Phone
TXN-13E33259-7DF,ACCT-260A1303,2005-02-15,118.17,TRANSFER,Txn Ref 733552,Cheque
TXN-BC523E92-BBF,ACCT-CBD36EB5,1987-08-26,8175.51,DEBIT,Txn Ref 716375,Cheque
TXN-5121591F-F9D,ACCT-5F2170E6,1995-10-31,1529.17,FEE,Txn Ref 414315,Branch
TXN-02CCB33D-806,ACCT-9A62CB29,1989-10-01,3562.23,TRANSFER,Txn Ref 176110,Branch
TXN-8B8E35A6-E2D,ACCT-3648F48A,1995-11-16,8250.99,FEE,Txn Ref 686739,Cheque
TXN-D83D440D-556,ACCT-46418C0F,1994-09-09,4762.96,FEE,Txn Ref 358608,Phone
TXN-41CA547D-7AB,ACCT-909121B9,1991-07-28,6387.53,INTEREST,Txn Ref 162008,Branch
TXN-A5B69B2E-389,ACCT-CF423E54,2001-05-14,9693.22,FEE,Txn Ref 363974,Cheque
TXN-7630BF1B-047,ACCT-BA8FD021,2004-07-07,-320.27,CREDIT,Txn Ref 990588,Cheque
TXN-7C84E814-D20,ACCT-FC66AE98,1996-09-14,-3554.25,INTEREST,Txn Ref 428826,ATM
TXN-EEE9EFCF-4C3,ACCT-F34B54EE,2000-07-01,4971.96,INTEREST,Txn Ref 823823,Phone
TXN-ED0E8260-86F,ACCT-D118D41B,1989-11-09,600.13,INTEREST,Txn Ref 435219,ATM
TXN-A19FD172-063,ACCT-B88E2898,2001-08-20,5500.48,INTEREST,Txn Ref 447306,Phone
TXN-A15F17CD-254,ACCT-0B42E715,2001-05-18,2495.44,INTEREST,Txn Ref 243691,ATM
TXN-39C0708E-CC9,ACCT-54FF7620,1992-05-25,3873.0,TRANSFER,Txn Ref 458864,Branch
TXN-281BC787-2AB,ACCT-AB8DAE46,1993-04-20,2511.43,TRANSFER,Txn Ref 365594,ATM
TXN-8004B740-2E6,ACCT-A0278CBA,1985-07-13,4089.81,CREDIT,Txn Ref 959052,Cheque
TXN-B10EFC8B-9A9,ACCT-4D5FE90D,1992-12-01,8503.54,FEE,Txn Ref 931655,Cheque
