id,reference_id,amount,date,status
BRANCH_CODES00000001,REF00099603,6653.39,2025-03-13,COMPLETED
BRANCH_CODES00000002,REF00025706,9701.16,2025-08-11,ACTIVE
BRANCH_CODES00000003,REF00512046,5897.83,2025-09-20,COMPLETED
BRANCH_CODES00000004,REF00834799,9449.48,2025-04-19,CANCELLED
BRANCH_CODES00000005,REF00337153,1997.63,2025-04-02,PENDING
BRANCH_CODES00000006,REF00249289,7066.26,2025-10-03,COMPLETED
BRANCH_CODES00000007,REF00952121,7910.53,2025-03-19,PENDING
BRANCH_CODES00000008,REF00576819,2526.1,2025-11-06,COMPLETED
BRANCH_CODES00000009,REF00259088,2914.83,2025-05-01,CANCELLED
BRANCH_CODES00000010,REF00781411,1454.24,2026-01-06,CANCELLED
BRANCH_CODES00000011,REF00863978,9256.19,2025-04-29,CANCELLED
BRANCH_CODES00000012,REF00260701,8607.67,2025-09-01,PENDING
BRANCH_CODES00000013,REF00195871,6297.64,2025-10-17,CANCELLED
BRANCH_CODES00000014,REF00550529,8177.94,2025-05-06,CANCELLED
BRANCH_CODES00000015,REF00948314,2805.79,2025-02-13,COMPLETED
BRANCH_CODES00000016,REF00857195,4645.09,2025-04-25,CANCELLED
BRANCH_CODES00000017,REF00578720,4786.07,2025-05-03,ACTIVE
BRANCH_CODES00000018,REF00727869,9821.12,2025-10-06,PENDING
BRANCH_CODES00000019,REF00626932,7532.56,2025-06-11,COMPLETED
BRANCH_CODES00000020,REF00864084,4566.78,2025-11-13,ACTIVE
BRANCH_CODES00000021,REF00005943,2100.8,2025-09-14,CANCELLED
BRANCH_CODES00000022,REF00892848,7223.13,2025-10-29,PENDING
BRANCH_CODES00000023,REF00253719,4081.05,2025-12-24,CANCELLED
BRANCH_CODES00000024,REF00958595,5085.3,2025-10-19,COMPLETED
BRANCH_CODES00000025,REF00092874,2485.7,2025-07-23,ACTIVE
BRANCH_CODES00000026,REF00409407,9402.59,2025-06-29,PENDING
BRANCH_CODES00000027,REF00992509,2388.39,2025-08-24,COMPLETED
BRANCH_CODES00000028,REF00981947,8080.41,2026-01-15,PENDING
BRANCH_CODES00000029,REF00363664,2506.45,2025-08-31,CANCELLED
BRANCH_CODES00000030,REF00401117,5156.62,2025-06-26,CANCELLED
BRANCH_CODES00000031,REF00000497,4205.91,2025-08-28,CANCELLED
BRANCH_CODES00000032,REF00728644,7575.13,2025-05-20,ACTIVE
BRANCH_CODES00000033,REF00189814,8954.71,2025-12-18,CANCELLED
BRANCH_CODES00000034,REF00484259,4239.31,2025-02-07,ACTIVE
BRANCH_CODES00000035,REF00130818,130.09,2025-10-13,COMPLETED
BRANCH_CODES00000036,REF00912254,2797.22,2025-12-10,COMPLETED
BRANCH_CODES00000037,REF00761570,6481.68,2025-08-30,ACTIVE
BRANCH_CODES00000038,REF00887016,6156.62,2025-04-28,COMPLETED
BRANCH_CODES00000039,REF00870263,2350.49,2026-01-05,COMPLETED
BRANCH_CODES00000040,REF00822071,2826.09,2025-12-01,COMPLETED
BRANCH_CODES00000041,REF00292454,1159.65,2025-03-22,ACTIVE
BRANCH_CODES00000042,REF00680575,4279.72,2025-07-06,CANCELLED
BRANCH_CODES00000043,REF00316462,2254.09,2025-05-23,PENDING
BRANCH_CODES00000044,REF00938179,1176.26,2025-06-21,CANCELLED
BRANCH_CODES00000045,REF00590026,942.15,2025-05-10,PENDING
BRANCH_CODES00000046,REF00146267,234.45,2025-09-02,PENDING
BRANCH_CODES00000047,REF00277209,1355.89,2025-08-07,ACTIVE
BRANCH_CODES00000048,REF00986421,8749.69,2025-10-20,PENDING
BRANCH_CODES00000049,REF00624375,9618.58,2025-05-26,ACTIVE
BRANCH_CODES00000050,REF00113791,9664.3,2025-11-14,CANCELLED
BRANCH_CODES00000051,REF00820485,3206.47,2025-04-06,ACTIVE
BRANCH_CODES00000052,REF00703456,5890.2,2025-05-29,COMPLETED
BRANCH_CODES00000053,REF00851699,3802.13,2025-11-17,CANCELLED
BRANCH_CODES00000054,REF00511105,629.93,2025-05-27,COMPLETED
BRANCH_CODES00000055,REF00415398,3460.4,2025-06-01,COMPLETED
BRANCH_CODES00000056,REF00996085,9426.81,2025-06-18,COMPLETED
BRANCH_CODES00000057,REF00913178,4155.93,2026-01-12,CANCELLED
BRANCH_CODES00000058,REF00153712,3873.3,2025-10-19,COMPLETED
BRANCH_CODES00000059,REF00292947,1373.32,2025-08-11,ACTIVE
BRANCH_CODES00000060,REF00200505,8675.48,2026-01-08,CANCELLED
BRANCH_CODES00000061,REF00537646,2905.62,2025-06-11,COMPLETED
BRANCH_CODES00000062,REF00528642,9582.88,2025-03-18,CANCELLED
BRANCH_CODES00000063,REF00810896,2441.73,2025-01-29,ACTIVE
