id,reference_id,amount,date,status
EMPLOYEE_MASTER00000001,REF00144090,1294.36,2025-12-06,CANCELLED
EMPLOYEE_MASTER00000002,REF00562816,5975.62,2025-11-27,COMPLETED
EMPLOYEE_MASTER00000003,REF00172899,9508.83,2025-02-22,COMPLETED
EMPLOYEE_MASTER00000004,REF00434223,992.76,2025-09-05,ACTIVE
EMPLOYEE_MASTER00000005,REF00356430,2721.69,2025-05-16,CANCELLED
EMPLOYEE_MASTER00000006,REF00310281,2388.4,2026-01-19,ACTIVE
EMPLOYEE_MASTER00000007,REF00815630,7901.86,2025-03-22,PENDING
EMPLOYEE_MASTER00000008,REF00779610,3330.22,2025-09-02,PENDING
EMPLOYEE_MASTER00000009,REF00643341,4829.5,2025-04-10,COMPLETED
EMPLOYEE_MASTER00000010,REF00426624,4299.86,2025-05-13,ACTIVE
EMPLOYEE_MASTER00000011,REF00752084,1018.34,2025-06-18,COMPLETED
EMPLOYEE_MASTER00000012,REF00585671,7781.47,2025-05-23,ACTIVE
EMPLOYEE_MASTER00000013,REF00541672,7676.95,2026-01-09,COMPLETED
EMPLOYEE_MASTER00000014,REF00574990,9027.74,2025-02-18,ACTIVE
EMPLOYEE_MASTER00000015,REF00574040,6935.52,2025-10-24,COMPLETED
EMPLOYEE_MASTER00000016,REF00058663,8146.64,2025-03-19,PENDING
EMPLOYEE_MASTER00000017,REF00609306,5468.2,2025-08-02,CANCELLED
EMPLOYEE_MASTER00000018,REF00551701,2570.82,2025-02-13,CANCELLED
EMPLOYEE_MASTER00000019,REF00776496,1345.64,2025-08-29,CANCELLED
EMPLOYEE_MASTER00000020,REF00806549,3469.14,2025-02-09,PENDING
EMPLOYEE_MASTER00000021,REF00859286,185.97,2025-10-21,COMPLETED
EMPLOYEE_MASTER00000022,REF00294289,2786.81,2025-09-11,ACTIVE
EMPLOYEE_MASTER00000023,REF00825615,4251.09,2025-10-10,PENDING
EMPLOYEE_MASTER00000024,REF00375705,3091.7,2025-09-30,ACTIVE
EMPLOYEE_MASTER00000025,REF00730330,4692.47,2025-12-30,ACTIVE
EMPLOYEE_MASTER00000026,REF00886398,2033.82,2025-07-24,ACTIVE
EMPLOYEE_MASTER00000027,REF00716901,870.48,2025-11-15,PENDING
EMPLOYEE_MASTER00000028,REF00437490,7913.78,2025-02-05,ACTIVE
EMPLOYEE_MASTER00000029,REF00005887,205.19,2025-01-25,PENDING
EMPLOYEE_MASTER00000030,REF00487195,3414.97,2025-07-03,COMPLETED
EMPLOYEE_MASTER00000031,REF00267360,3901.31,2025-12-18,ACTIVE
EMPLOYEE_MASTER00000032,REF00456432,1709.64,2025-12-03,COMPLETED
EMPLOYEE_MASTER00000033,REF00458561,6593.3,2025-12-26,CANCELLED
EMPLOYEE_MASTER00000034,REF00832902,5501.78,2026-01-19,COMPLETED
EMPLOYEE_MASTER00000035,REF00036606,5194.06,2025-02-19,CANCELLED
EMPLOYEE_MASTER00000036,REF00021851,8229.19,2025-07-24,PENDING
EMPLOYEE_MASTER00000037,REF00774392,4376.9,2025-01-27,CANCELLED
EMPLOYEE_MASTER00000038,REF00964846,5856.99,2025-08-03,PENDING
EMPLOYEE_MASTER00000039,REF00388233,5197.6,2025-08-25,PENDING
EMPLOYEE_MASTER00000040,REF00371885,9744.26,2025-10-05,CANCELLED
EMPLOYEE_MASTER00000041,REF00267208,7192.79,2025-12-28,ACTIVE
EMPLOYEE_MASTER00000042,REF00547183,7799.65,2025-07-25,CANCELLED
EMPLOYEE_MASTER00000043,REF00206566,5309.41,2025-09-20,CANCELLED
EMPLOYEE_MASTER00000044,REF00146778,7733.16,2025-05-09,CANCELLED
EMPLOYEE_MASTER00000045,REF00219807,6004.04,2025-09-21,PENDING
EMPLOYEE_MASTER00000046,REF00053889,9857.28,2025-08-19,ACTIVE
EMPLOYEE_MASTER00000047,REF00224663,6601.32,2025-03-14,CANCELLED
EMPLOYEE_MASTER00000048,REF00846931,4667.54,2025-11-07,COMPLETED
EMPLOYEE_MASTER00000049,REF00222499,1820.65,2025-05-01,CANCELLED
EMPLOYEE_MASTER00000050,REF00269787,6775.43,2025-12-23,CANCELLED
EMPLOYEE_MASTER00000051,REF00319938,7092.0,2025-03-06,COMPLETED
EMPLOYEE_MASTER00000052,REF00709123,5642.07,2025-07-22,ACTIVE
EMPLOYEE_MASTER00000053,REF00137574,2106.79,2025-04-21,COMPLETED
EMPLOYEE_MASTER00000054,REF00274690,1448.19,2025-06-13,PENDING
EMPLOYEE_MASTER00000055,REF00415424,559.27,2025-11-27,ACTIVE
EMPLOYEE_MASTER00000056,REF00076387,3043.63,2025-10-01,CANCELLED
EMPLOYEE_MASTER00000057,REF00498818,5138.35,2025-06-18,CANCELLED
EMPLOYEE_MASTER00000058,REF00404384,8725.19,2025-07-28,COMPLETED
EMPLOYEE_MASTER00000059,REF00533371,16.99,2025-06-02,COMPLETED
EMPLOYEE_MASTER00000060,REF00510789,296.09,2025-03-05,PENDING
EMPLOYEE_MASTER00000061,REF00029757,9013.31,2025-12-20,COMPLETED
EMPLOYEE_MASTER00000062,REF00383825,3434.04,2025-12-15,COMPLETED
