id,reference_id,amount,date,status
LOAN_DISBURSEMENTS00000001,REF00607298,6542.7,2025-11-05,CANCELLED
LOAN_DISBURSEMENTS00000002,REF00329080,6962.83,2025-09-09,PENDING
LOAN_DISBURSEMENTS00000003,REF00195368,2709.51,2025-11-29,PENDING
LOAN_DISBURSEMENTS00000004,REF00858792,4891.16,2025-10-01,COMPLETED
LOAN_DISBURSEMENTS00000005,REF00918197,3117.27,2025-02-04,ACTIVE
LOAN_DISBURSEMENTS00000006,REF00134632,7177.09,2026-01-16,ACTIVE
LOAN_DISBURSEMENTS00000007,REF00410114,8751.01,2025-04-09,PENDING
LOAN_DISBURSEMENTS00000008,REF00525145,9072.94,2025-06-29,ACTIVE
LOAN_DISBURSEMENTS00000009,REF00460732,1789.27,2025-07-03,ACTIVE
LOAN_DISBURSEMENTS00000010,REF00616067,4351.81,2025-04-01,PENDING
LOAN_DISBURSEMENTS00000011,REF00981292,3874.87,2025-07-13,CANCELLED
LOAN_DISBURSEMENTS00000012,REF00694364,775.4,2026-01-12,CANCELLED
LOAN_DISBURSEMENTS00000013,REF00825340,4964.96,2025-07-18,CANCELLED
LOAN_DISBURSEMENTS00000014,REF00176781,9077.64,2025-07-26,ACTIVE
LOAN_DISBURSEMENTS00000015,REF00388079,2656.95,2025-06-13,ACTIVE
LOAN_DISBURSEMENTS00000016,REF00425541,291.67,2025-12-07,ACTIVE
LOAN_DISBURSEMENTS00000017,REF00977730,296.42,2025-02-17,ACTIVE
LOAN_DISBURSEMENTS00000018,REF00064857,5083.66,2025-03-14,COMPLETED
LOAN_DISBURSEMENTS00000019,REF00243592,735.0,2025-02-20,PENDING
LOAN_DISBURSEMENTS00000020,REF00886406,9716.33,2025-03-26,CANCELLED
LOAN_DISBURSEMENTS00000021,REF00214330,5351.32,2025-05-26,CANCELLED
LOAN_DISBURSEMENTS00000022,REF00137326,2447.25,2025-03-12,ACTIVE
LOAN_DISBURSEMENTS00000023,REF00738159,6201.13,2025-09-23,ACTIVE
