id,reference_id,amount,date,status
EMI_SCHEDULE00000001,REF00596970,9215.45,2025-04-13,CANCELLED
EMI_SCHEDULE00000002,REF00777434,5383.97,2025-10-07,PENDING
EMI_SCHEDULE00000003,REF00563441,2112.39,2025-09-28,CANCELLED
EMI_SCHEDULE00000004,REF00265301,3610.84,2025-11-03,PENDING
EMI_SCHEDULE00000005,REF00381659,9620.75,2025-07-30,PENDING
EMI_SCHEDULE00000006,REF00915278,3966.79,2025-06-06,COMPLETED
EMI_SCHEDULE00000007,REF00808155,2101.13,2025-12-02,PENDING
EMI_SCHEDULE00000008,REF00294742,9445.61,2025-05-25,ACTIVE
EMI_SCHEDULE00000009,REF00997955,5848.41,2025-07-16,PENDING
EMI_SCHEDULE00000010,REF00962332,2927.42,2025-03-01,ACTIVE
EMI_SCHEDULE00000011,REF00478365,7327.12,2025-04-29,ACTIVE
EMI_SCHEDULE00000012,REF00086706,762.11,2025-06-25,COMPLETED
EMI_SCHEDULE00000013,REF00099230,8068.98,2025-11-11,ACTIVE
EMI_SCHEDULE00000014,REF00898713,5870.17,2025-12-10,PENDING
EMI_SCHEDULE00000015,REF00265140,8718.03,2025-03-04,COMPLETED
EMI_SCHEDULE00000016,REF00241456,3601.2,2025-02-10,ACTIVE
EMI_SCHEDULE00000017,REF00704514,267.52,2025-12-01,PENDING
EMI_SCHEDULE00000018,REF00424008,4968.72,2025-11-02,CANCELLED
EMI_SCHEDULE00000019,REF00283787,4947.2,2025-10-09,PENDING
EMI_SCHEDULE00000020,REF00891329,1798.74,2025-01-24,PENDING
EMI_SCHEDULE00000021,REF00371297,1406.7,2025-04-04,ACTIVE
EMI_SCHEDULE00000022,REF00588538,2034.6,2025-04-05,COMPLETED
EMI_SCHEDULE00000023,REF00987776,3262.05,2025-04-13,ACTIVE
EMI_SCHEDULE00000024,REF00345612,2336.74,2025-09-26,COMPLETED
EMI_SCHEDULE00000025,REF00787118,1279.24,2025-02-13,ACTIVE
EMI_SCHEDULE00000026,REF00674547,9840.5,2025-12-12,COMPLETED
EMI_SCHEDULE00000027,REF00647032,9990.35,2025-03-06,COMPLETED
EMI_SCHEDULE00000028,REF00528496,7137.6,2026-01-01,CANCELLED
EMI_SCHEDULE00000029,REF00935738,5576.36,2025-09-03,PENDING
EMI_SCHEDULE00000030,REF00780542,7034.72,2025-06-09,ACTIVE
EMI_SCHEDULE00000031,REF00183607,5098.13,2025-10-14,ACTIVE
EMI_SCHEDULE00000032,REF00215752,1429.94,2025-02-16,CANCELLED
EMI_SCHEDULE00000033,REF00731000,9481.42,2025-07-07,CANCELLED
EMI_SCHEDULE00000034,REF00685573,3671.91,2025-06-04,CANCELLED
EMI_SCHEDULE00000035,REF00535349,7940.77,2025-06-22,PENDING
EMI_SCHEDULE00000036,REF00369860,8679.19,2025-04-03,ACTIVE
EMI_SCHEDULE00000037,REF00862257,7684.24,2025-03-22,PENDING
EMI_SCHEDULE00000038,REF00557159,8112.89,2025-08-28,PENDING
EMI_SCHEDULE00000039,REF00159989,231.03,2025-09-22,COMPLETED
EMI_SCHEDULE00000040,REF00658078,7473.18,2026-01-10,PENDING
EMI_SCHEDULE00000041,REF00692056,1265.71,2025-02-04,PENDING
EMI_SCHEDULE00000042,REF00014873,7785.99,2025-07-07,COMPLETED
EMI_SCHEDULE00000043,REF00249298,8793.32,2025-12-18,COMPLETED
EMI_SCHEDULE00000044,REF00506132,3451.94,2025-10-04,ACTIVE
EMI_SCHEDULE00000045,REF00814290,9650.71,2025-03-01,ACTIVE
EMI_SCHEDULE00000046,REF00870007,9869.01,2025-07-23,COMPLETED
EMI_SCHEDULE00000047,REF00812165,5520.63,2025-06-21,PENDING
EMI_SCHEDULE00000048,REF00347010,2194.41,2025-02-02,ACTIVE
EMI_SCHEDULE00000049,REF00958511,2900.22,2025-09-27,COMPLETED
EMI_SCHEDULE00000050,REF00857599,496.04,2026-01-05,CANCELLED
EMI_SCHEDULE00000051,REF00234474,1821.73,2025-06-20,CANCELLED
EMI_SCHEDULE00000052,REF00100975,9443.48,2025-08-05,ACTIVE
EMI_SCHEDULE00000053,REF00046690,6473.35,2025-04-27,COMPLETED
EMI_SCHEDULE00000054,REF00578278,898.56,2025-08-30,COMPLETED
EMI_SCHEDULE00000055,REF00414890,8738.49,2026-01-14,COMPLETED
EMI_SCHEDULE00000056,REF00551644,7038.3,2025-10-24,PENDING
EMI_SCHEDULE00000057,REF00149406,6810.27,2025-09-19,PENDING
EMI_SCHEDULE00000058,REF00398162,5615.87,2025-04-01,COMPLETED
EMI_SCHEDULE00000059,REF00840254,565.87,2025-02-16,COMPLETED
EMI_SCHEDULE00000060,REF00658885,9010.43,2025-04-05,COMPLETED
EMI_SCHEDULE00000061,REF00996614,173.91,2025-07-16,CANCELLED
EMI_SCHEDULE00000062,REF00321615,7476.53,2025-08-04,ACTIVE
EMI_SCHEDULE00000063,REF00515094,3626.64,2025-11-19,PENDING
EMI_SCHEDULE00000064,REF00331180,6093.18,2025-05-04,COMPLETED
EMI_SCHEDULE00000065,REF00030406,7619.97,2025-10-14,CANCELLED
EMI_SCHEDULE00000066,REF00151340,3618.15,2025-10-26,COMPLETED
EMI_SCHEDULE00000067,REF00778939,9783.95,2025-03-07,CANCELLED
EMI_SCHEDULE00000068,REF00038525,5226.86,2026-01-08,ACTIVE
EMI_SCHEDULE00000069,REF00157587,3531.08,2025-09-13,CANCELLED
EMI_SCHEDULE00000070,REF00057456,9569.85,2025-06-26,PENDING
EMI_SCHEDULE00000071,REF00501502,6326.88,2025-08-25,ACTIVE
EMI_SCHEDULE00000072,REF00739945,9574.75,2026-01-10,PENDING
EMI_SCHEDULE00000073,REF00505693,1908.65,2025-10-27,PENDING
EMI_SCHEDULE00000074,REF00433330,3414.12,2025-09-29,PENDING
EMI_SCHEDULE00000075,REF00916054,4812.77,2025-01-22,PENDING
EMI_SCHEDULE00000076,REF00984005,9837.46,2025-02-27,CANCELLED
EMI_SCHEDULE00000077,REF00310097,7799.03,2025-07-24,ACTIVE
EMI_SCHEDULE00000078,REF00076800,3161.45,2025-11-29,CANCELLED
EMI_SCHEDULE00000079,REF00358849,6102.16,2025-01-24,PENDING
EMI_SCHEDULE00000080,REF00484194,3282.64,2025-10-23,ACTIVE
EMI_SCHEDULE00000081,REF00904154,3800.14,2025-04-04,PENDING
EMI_SCHEDULE00000082,REF00347842,9265.11,2025-03-19,COMPLETED
EMI_SCHEDULE00000083,REF00138335,2743.28,2025-05-09,ACTIVE
EMI_SCHEDULE00000084,REF00242651,3027.52,2025-10-02,CANCELLED
EMI_SCHEDULE00000085,REF00607634,9352.83,2025-08-21,PENDING
EMI_SCHEDULE00000086,REF00973761,6953.17,2025-12-26,COMPLETED
EMI_SCHEDULE00000087,REF00546825,6929.68,2025-08-23,ACTIVE
EMI_SCHEDULE00000088,REF00786279,4779.19,2025-04-10,ACTIVE
EMI_SCHEDULE00000089,REF00669794,7383.77,2025-04-23,COMPLETED
EMI_SCHEDULE00000090,REF00560475,2759.96,2025-09-15,CANCELLED
EMI_SCHEDULE00000091,REF00446466,8667.14,2025-03-22,COMPLETED
EMI_SCHEDULE00000092,REF00979116,9354.1,2025-04-07,CANCELLED
EMI_SCHEDULE00000093,REF00630021,4870.41,2025-05-30,ACTIVE
EMI_SCHEDULE00000094,REF00956911,6793.18,2025-09-15,CANCELLED
EMI_SCHEDULE00000095,REF00563959,3347.15,2025-10-11,ACTIVE
EMI_SCHEDULE00000096,REF00479336,4538.92,2025-02-11,PENDING
EMI_SCHEDULE00000097,REF00001959,3999.52,2025-09-30,CANCELLED
EMI_SCHEDULE00000098,REF00871890,2284.87,2025-06-06,CANCELLED
EMI_SCHEDULE00000099,REF00970864,5597.51,2026-01-02,CANCELLED
EMI_SCHEDULE00000100,REF00664135,9389.26,2025-05-14,ACTIVE
EMI_SCHEDULE00000101,REF00529859,3877.19,2025-07-20,COMPLETED
EMI_SCHEDULE00000102,REF00580876,6277.06,2025-10-27,ACTIVE
EMI_SCHEDULE00000103,REF00902471,9810.54,2025-10-23,PENDING
EMI_SCHEDULE00000104,REF00550072,4163.86,2025-10-13,COMPLETED
EMI_SCHEDULE00000105,REF00855630,8858.37,2025-02-19,ACTIVE
EMI_SCHEDULE00000106,REF00960196,1039.77,2025-10-06,CANCELLED
EMI_SCHEDULE00000107,REF00049690,1260.57,2025-03-22,COMPLETED
EMI_SCHEDULE00000108,REF00685329,116.96,2025-06-05,CANCELLED
EMI_SCHEDULE00000109,REF00472519,6499.66,2025-01-31,ACTIVE
EMI_SCHEDULE00000110,REF00329455,1313.02,2025-09-09,ACTIVE
EMI_SCHEDULE00000111,REF00531388,5713.78,2025-06-26,ACTIVE
EMI_SCHEDULE00000112,REF00092525,1647.78,2025-07-21,PENDING
EMI_SCHEDULE00000113,REF00102573,6796.02,2025-11-29,COMPLETED
EMI_SCHEDULE00000114,REF00676022,3224.29,2025-08-04,PENDING
EMI_SCHEDULE00000115,REF00329920,7716.72,2025-02-19,ACTIVE
EMI_SCHEDULE00000116,REF00168096,1176.78,2025-09-19,CANCELLED
EMI_SCHEDULE00000117,REF00502622,5617.86,2025-09-16,COMPLETED
EMI_SCHEDULE00000118,REF00819792,4183.64,2025-08-12,PENDING
EMI_SCHEDULE00000119,REF00911242,2534.7,2025-10-12,ACTIVE
EMI_SCHEDULE00000120,REF00347643,6517.99,2025-04-04,ACTIVE
EMI_SCHEDULE00000121,REF00546138,1446.03,2025-04-17,COMPLETED
EMI_SCHEDULE00000122,REF00251766,4834.9,2025-05-26,COMPLETED
EMI_SCHEDULE00000123,REF00454854,290.22,2025-10-20,COMPLETED
EMI_SCHEDULE00000124,REF00694513,4204.02,2025-05-11,ACTIVE
EMI_SCHEDULE00000125,REF00756066,464.29,2025-11-20,PENDING
EMI_SCHEDULE00000126,REF00595024,5560.09,2026-01-17,CANCELLED
EMI_SCHEDULE00000127,REF00382886,7290.05,2025-11-10,PENDING
EMI_SCHEDULE00000128,REF00172630,739.07,2025-03-25,COMPLETED
EMI_SCHEDULE00000129,REF00899103,6734.11,2025-07-14,ACTIVE
EMI_SCHEDULE00000130,REF00992575,8532.82,2025-09-29,ACTIVE
EMI_SCHEDULE00000131,REF00178578,4563.1,2025-02-19,ACTIVE
EMI_SCHEDULE00000132,REF00441151,6916.63,2025-02-09,ACTIVE
EMI_SCHEDULE00000133,REF00195487,2442.82,2025-08-19,CANCELLED
EMI_SCHEDULE00000134,REF00634845,7461.87,2025-09-03,COMPLETED
EMI_SCHEDULE00000135,REF00727973,6622.72,2025-11-19,CANCELLED
EMI_SCHEDULE00000136,REF00245752,1396.27,2025-02-06,COMPLETED
EMI_SCHEDULE00000137,REF00862251,5285.38,2025-05-10,ACTIVE
EMI_SCHEDULE00000138,REF00710116,8068.24,2026-01-07,PENDING
EMI_SCHEDULE00000139,REF00046867,769.03,2025-03-15,ACTIVE
EMI_SCHEDULE00000140,REF00599148,8597.93,2025-09-21,CANCELLED
EMI_SCHEDULE00000141,REF00813789,9829.51,2025-08-06,CANCELLED
EMI_SCHEDULE00000142,REF00838155,5188.57,2025-04-07,PENDING
EMI_SCHEDULE00000143,REF00508745,6568.08,2025-12-02,ACTIVE
EMI_SCHEDULE00000144,REF00167327,3631.75,2025-02-28,ACTIVE
EMI_SCHEDULE00000145,REF00814372,5792.85,2025-06-01,PENDING
EMI_SCHEDULE00000146,REF00539733,9543.5,2025-09-09,COMPLETED
EMI_SCHEDULE00000147,REF00693024,87.74,2025-03-13,COMPLETED
EMI_SCHEDULE00000148,REF00601636,7007.17,2025-11-06,ACTIVE
