id,reference_id,amount,date,status
LOAN_REPAYMENTS00000001,REF00359057,941.11,2025-03-21,ACTIVE
LOAN_REPAYMENTS00000002,REF00655915,7771.46,2025-07-28,CANCELLED
LOAN_REPAYMENTS00000003,REF00068932,9154.73,2025-02-16,COMPLETED
LOAN_REPAYMENTS00000004,REF00655580,3774.17,2025-06-02,COMPLETED
LOAN_REPAYMENTS00000005,REF00414752,5420.89,2025-06-14,CANCELLED
LOAN_REPAYMENTS00000006,REF00837325,5910.83,2025-03-09,COMPLETED
LOAN_REPAYMENTS00000007,REF00854346,250.38,2025-03-18,ACTIVE
LOAN_REPAYMENTS00000008,REF00680010,3279.14,2025-05-28,PENDING
LOAN_REPAYMENTS00000009,REF00180958,1344.92,2025-12-26,PENDING
LOAN_REPAYMENTS00000010,REF00826589,1683.73,2025-03-10,ACTIVE
LOAN_REPAYMENTS00000011,REF00914616,8161.98,2025-02-22,COMPLETED
LOAN_REPAYMENTS00000012,REF00567392,3058.61,2025-04-09,ACTIVE
LOAN_REPAYMENTS00000013,REF00231668,3812.1,2025-11-13,COMPLETED
LOAN_REPAYMENTS00000014,REF00021425,339.66,2025-08-26,CANCELLED
LOAN_REPAYMENTS00000015,REF00490148,8951.7,2025-08-11,ACTIVE
LOAN_REPAYMENTS00000016,REF00653513,3437.97,2025-08-10,PENDING
LOAN_REPAYMENTS00000017,REF00468262,3391.37,2025-08-31,COMPLETED
LOAN_REPAYMENTS00000018,REF00624796,8439.69,2025-10-03,CANCELLED
LOAN_REPAYMENTS00000019,REF00041867,5138.12,2025-08-30,ACTIVE
LOAN_REPAYMENTS00000020,REF00676782,7358.76,2025-08-16,PENDING
LOAN_REPAYMENTS00000021,REF00959479,6860.85,2025-03-21,COMPLETED
LOAN_REPAYMENTS00000022,REF00446450,1954.43,2025-10-04,PENDING
LOAN_REPAYMENTS00000023,REF00806497,6271.21,2025-11-13,COMPLETED
LOAN_REPAYMENTS00000024,REF00094234,1937.56,2025-03-17,PENDING
LOAN_REPAYMENTS00000025,REF00177766,6701.57,2025-06-12,CANCELLED
LOAN_REPAYMENTS00000026,REF00828069,5750.42,2025-05-19,COMPLETED
LOAN_REPAYMENTS00000027,REF00309462,3756.4,2025-04-26,PENDING
LOAN_REPAYMENTS00000028,REF00679492,7938.85,2025-05-28,CANCELLED
LOAN_REPAYMENTS00000029,REF00766428,5335.05,2025-07-11,ACTIVE
LOAN_REPAYMENTS00000030,REF00795850,6149.12,2025-03-08,CANCELLED
LOAN_REPAYMENTS00000031,REF00798404,2712.69,2025-11-03,CANCELLED
LOAN_REPAYMENTS00000032,REF00126352,2333.58,2025-01-27,CANCELLED
LOAN_REPAYMENTS00000033,REF00441855,34.72,2025-02-20,ACTIVE
LOAN_REPAYMENTS00000034,REF00214661,8450.18,2025-04-02,PENDING
LOAN_REPAYMENTS00000035,REF00193965,367.32,2025-05-16,COMPLETED
LOAN_REPAYMENTS00000036,REF00976116,5192.56,2025-06-18,COMPLETED
LOAN_REPAYMENTS00000037,REF00685820,6637.91,2025-05-17,COMPLETED
LOAN_REPAYMENTS00000038,REF00345311,3721.07,2025-01-22,COMPLETED
LOAN_REPAYMENTS00000039,REF00958762,1260.7,2025-12-28,CANCELLED
LOAN_REPAYMENTS00000040,REF00914872,1477.99,2025-04-03,PENDING
LOAN_REPAYMENTS00000041,REF00753840,1726.02,2025-10-25,CANCELLED
LOAN_REPAYMENTS00000042,REF00704002,7988.86,2025-12-10,PENDING
LOAN_REPAYMENTS00000043,REF00302666,6974.15,2025-03-18,COMPLETED
LOAN_REPAYMENTS00000044,REF00527803,4066.63,2025-03-19,CANCELLED
LOAN_REPAYMENTS00000045,REF00773662,3552.19,2025-06-23,COMPLETED
LOAN_REPAYMENTS00000046,REF00614569,9968.91,2025-06-05,PENDING
LOAN_REPAYMENTS00000047,REF00739072,7985.12,2025-04-13,ACTIVE
LOAN_REPAYMENTS00000048,REF00255823,3653.21,2025-02-26,PENDING
LOAN_REPAYMENTS00000049,REF00095310,2928.67,2025-10-11,PENDING
LOAN_REPAYMENTS00000050,REF00308300,8203.11,2025-09-09,COMPLETED
LOAN_REPAYMENTS00000051,REF00009786,9172.88,2025-02-12,CANCELLED
LOAN_REPAYMENTS00000052,REF00556286,682.44,2025-11-07,COMPLETED
LOAN_REPAYMENTS00000053,REF00427588,4090.92,2025-07-01,CANCELLED
LOAN_REPAYMENTS00000054,REF00223724,325.58,2026-01-15,COMPLETED
LOAN_REPAYMENTS00000055,REF00712763,5262.73,2025-11-06,PENDING
LOAN_REPAYMENTS00000056,REF00517697,7303.94,2025-09-22,ACTIVE
LOAN_REPAYMENTS00000057,REF00684792,2812.5,2025-12-26,CANCELLED
LOAN_REPAYMENTS00000058,REF00574472,7757.95,2025-01-27,ACTIVE
LOAN_REPAYMENTS00000059,REF00775352,3381.71,2025-06-25,ACTIVE
LOAN_REPAYMENTS00000060,REF00334110,8884.74,2025-04-29,COMPLETED
LOAN_REPAYMENTS00000061,REF00186694,3687.58,2025-06-29,CANCELLED
LOAN_REPAYMENTS00000062,REF00112431,6748.6,2025-07-06,ACTIVE
LOAN_REPAYMENTS00000063,REF00677536,7629.86,2025-10-03,COMPLETED
LOAN_REPAYMENTS00000064,REF00357666,2934.98,2025-03-02,PENDING
LOAN_REPAYMENTS00000065,REF00343630,8751.06,2025-05-26,PENDING
LOAN_REPAYMENTS00000066,REF00444427,3787.14,2025-03-22,PENDING
LOAN_REPAYMENTS00000067,REF00407133,6862.61,2025-06-01,PENDING
LOAN_REPAYMENTS00000068,REF00912684,8658.07,2025-09-07,PENDING
LOAN_REPAYMENTS00000069,REF00195776,3314.16,2025-05-16,CANCELLED
LOAN_REPAYMENTS00000070,REF00696668,9562.05,2025-12-06,ACTIVE
LOAN_REPAYMENTS00000071,REF00940327,5252.59,2025-11-18,ACTIVE
LOAN_REPAYMENTS00000072,REF00521691,2603.04,2025-07-24,COMPLETED
LOAN_REPAYMENTS00000073,REF00312809,1452.6,2025-06-08,CANCELLED
LOAN_REPAYMENTS00000074,REF00653230,6867.14,2025-02-09,ACTIVE
LOAN_REPAYMENTS00000075,REF00508829,291.56,2025-03-08,COMPLETED
LOAN_REPAYMENTS00000076,REF00519733,1432.62,2025-07-09,PENDING
LOAN_REPAYMENTS00000077,REF00844316,3964.4,2025-05-08,ACTIVE
LOAN_REPAYMENTS00000078,REF00638496,8226.42,2025-07-15,CANCELLED
LOAN_REPAYMENTS00000079,REF00497377,4110.74,2025-09-07,CANCELLED
LOAN_REPAYMENTS00000080,REF00693594,3681.08,2025-07-18,CANCELLED
LOAN_REPAYMENTS00000081,REF00791754,5584.4,2025-06-11,PENDING
LOAN_REPAYMENTS00000082,REF00937298,1882.11,2025-03-24,COMPLETED
LOAN_REPAYMENTS00000083,REF00495880,9273.18,2025-01-27,PENDING
LOAN_REPAYMENTS00000084,REF00909687,2887.43,2025-05-02,PENDING
LOAN_REPAYMENTS00000085,REF00252279,6281.82,2025-12-18,ACTIVE
LOAN_REPAYMENTS00000086,REF00570722,2517.02,2025-04-14,PENDING
LOAN_REPAYMENTS00000087,REF00943252,7442.88,2025-12-24,PENDING
LOAN_REPAYMENTS00000088,REF00800206,4746.96,2025-08-20,COMPLETED
LOAN_REPAYMENTS00000089,REF00853618,8434.81,2025-03-29,COMPLETED
LOAN_REPAYMENTS00000090,REF00179244,5282.27,2025-02-28,PENDING
LOAN_REPAYMENTS00000091,REF00323635,1885.82,2025-07-21,CANCELLED
LOAN_REPAYMENTS00000092,REF00956952,8934.5,2025-10-17,COMPLETED
LOAN_REPAYMENTS00000093,REF00128372,4732.9,2025-10-18,ACTIVE
LOAN_REPAYMENTS00000094,REF00672912,8087.86,2026-01-14,PENDING
LOAN_REPAYMENTS00000095,REF00818323,5987.78,2025-09-03,PENDING
LOAN_REPAYMENTS00000096,REF00177577,6828.89,2025-11-13,CANCELLED
LOAN_REPAYMENTS00000097,REF00301760,5921.01,2025-09-17,CANCELLED
LOAN_REPAYMENTS00000098,REF00831612,5491.82,2025-10-26,COMPLETED
LOAN_REPAYMENTS00000099,REF00857703,347.22,2025-06-07,COMPLETED
LOAN_REPAYMENTS00000100,REF00210891,4622.45,2025-10-30,PENDING
LOAN_REPAYMENTS00000101,REF00662392,3779.78,2025-05-08,ACTIVE
LOAN_REPAYMENTS00000102,REF00705100,1699.94,2025-04-29,CANCELLED
LOAN_REPAYMENTS00000103,REF00400473,2806.41,2025-12-09,CANCELLED
LOAN_REPAYMENTS00000104,REF00075548,1320.45,2025-03-15,PENDING
LOAN_REPAYMENTS00000105,REF00857325,9827.41,2025-07-01,PENDING
LOAN_REPAYMENTS00000106,REF00587383,5299.44,2025-04-11,PENDING
LOAN_REPAYMENTS00000107,REF00707831,7509.74,2025-07-02,ACTIVE
LOAN_REPAYMENTS00000108,REF00382320,3940.74,2025-06-17,CANCELLED
LOAN_REPAYMENTS00000109,REF00005299,7360.61,2025-04-19,CANCELLED
LOAN_REPAYMENTS00000110,REF00664085,7300.03,2025-04-24,COMPLETED
LOAN_REPAYMENTS00000111,REF00634098,8031.7,2026-01-09,COMPLETED
LOAN_REPAYMENTS00000112,REF00438697,4041.62,2025-07-12,COMPLETED
LOAN_REPAYMENTS00000113,REF00192875,1301.57,2025-01-30,COMPLETED
LOAN_REPAYMENTS00000114,REF00252077,8939.33,2025-07-06,CANCELLED
LOAN_REPAYMENTS00000115,REF00395305,6832.35,2025-02-08,COMPLETED
LOAN_REPAYMENTS00000116,REF00047151,422.27,2025-04-19,CANCELLED
LOAN_REPAYMENTS00000117,REF00831561,6349.45,2025-06-03,ACTIVE
LOAN_REPAYMENTS00000118,REF00788427,4564.66,2025-12-04,COMPLETED
LOAN_REPAYMENTS00000119,REF00444555,3299.25,2025-11-08,CANCELLED
LOAN_REPAYMENTS00000120,REF00394541,9484.53,2025-10-28,COMPLETED
LOAN_REPAYMENTS00000121,REF00050139,5427.39,2025-06-24,ACTIVE
LOAN_REPAYMENTS00000122,REF00464626,844.96,2025-01-31,CANCELLED
LOAN_REPAYMENTS00000123,REF00371260,7989.13,2025-12-10,PENDING
LOAN_REPAYMENTS00000124,REF00402839,8895.25,2026-01-02,COMPLETED
LOAN_REPAYMENTS00000125,REF00355693,8047.34,2025-12-07,PENDING
LOAN_REPAYMENTS00000126,REF00555375,1722.05,2025-12-31,PENDING
LOAN_REPAYMENTS00000127,REF00646503,6618.03,2025-12-20,PENDING
LOAN_REPAYMENTS00000128,REF00580280,394.28,2026-01-06,PENDING
