id,reference_id,amount,date,status
RECURRING_DEPOSITS00000001,REF00536732,3995.5,2025-10-24,PENDING
RECURRING_DEPOSITS00000002,REF00318014,6135.15,2025-10-06,PENDING
RECURRING_DEPOSITS00000003,REF00572163,5173.18,2025-09-04,CANCELLED
RECURRING_DEPOSITS00000004,REF00920018,6185.83,2025-09-22,PENDING
RECURRING_DEPOSITS00000005,REF00906021,5462.32,2025-03-06,CANCELLED
RECURRING_DEPOSITS00000006,REF00246440,4414.04,2025-08-28,COMPLETED
RECURRING_DEPOSITS00000007,REF00160114,158.59,2025-03-09,COMPLETED
RECURRING_DEPOSITS00000008,REF00121657,1359.79,2025-07-18,COMPLETED
RECURRING_DEPOSITS00000009,REF00725357,227.66,2025-05-30,COMPLETED
RECURRING_DEPOSITS00000010,REF00407181,4475.38,2025-10-05,CANCELLED
RECURRING_DEPOSITS00000011,REF00472231,4184.49,2025-04-05,CANCELLED
RECURRING_DEPOSITS00000012,REF00000687,2970.13,2025-07-28,ACTIVE
RECURRING_DEPOSITS00000013,REF00552888,137.73,2025-12-09,PENDING
RECURRING_DEPOSITS00000014,REF00745158,1631.46,2025-10-05,PENDING
RECURRING_DEPOSITS00000015,REF00186629,9452.57,2025-10-20,PENDING
RECURRING_DEPOSITS00000016,REF00959643,7372.71,2025-03-17,ACTIVE
RECURRING_DEPOSITS00000017,REF00534880,7003.92,2025-10-02,PENDING
RECURRING_DEPOSITS00000018,REF00531804,7956.58,2025-07-24,ACTIVE
RECURRING_DEPOSITS00000019,REF00112177,5511.5,2026-01-17,ACTIVE
RECURRING_DEPOSITS00000020,REF00926514,9889.13,2025-03-13,COMPLETED
RECURRING_DEPOSITS00000021,REF00741482,574.84,2025-03-29,PENDING
RECURRING_DEPOSITS00000022,REF00812841,196.75,2026-01-06,COMPLETED
RECURRING_DEPOSITS00000023,REF00655158,6514.21,2025-09-09,COMPLETED
RECURRING_DEPOSITS00000024,REF00377854,3288.71,2025-06-27,CANCELLED
RECURRING_DEPOSITS00000025,REF00488259,8810.59,2025-04-14,ACTIVE
RECURRING_DEPOSITS00000026,REF00338912,2678.25,2025-12-11,CANCELLED
RECURRING_DEPOSITS00000027,REF00544644,8339.53,2025-10-05,PENDING
RECURRING_DEPOSITS00000028,REF00132375,2433.17,2025-10-13,ACTIVE
RECURRING_DEPOSITS00000029,REF00863378,6885.45,2025-12-31,CANCELLED
RECURRING_DEPOSITS00000030,REF00863489,6861.02,2025-05-17,CANCELLED
RECURRING_DEPOSITS00000031,REF00318293,9429.93,2025-06-15,ACTIVE
RECURRING_DEPOSITS00000032,REF00262313,6852.75,2025-08-09,COMPLETED
RECURRING_DEPOSITS00000033,REF00155737,9267.61,2025-03-03,CANCELLED
RECURRING_DEPOSITS00000034,REF00546208,3142.32,2025-09-14,ACTIVE
RECURRING_DEPOSITS00000035,REF00587119,378.53,2025-11-25,CANCELLED
RECURRING_DEPOSITS00000036,REF00069165,4171.64,2025-06-20,CANCELLED
