id,reference_id,amount,date,status
STANDING_INSTRUCTIONS00000001,REF00514705,9849.77,2025-07-02,ACTIVE
STANDING_INSTRUCTIONS00000002,REF00363025,3342.04,2025-08-02,PENDING
STANDING_INSTRUCTIONS00000003,REF00247955,6441.59,2025-02-02,PENDING
STANDING_INSTRUCTIONS00000004,REF00809165,1934.51,2025-04-19,ACTIVE
STANDING_INSTRUCTIONS00000005,REF00434381,8403.24,2025-03-18,COMPLETED
STANDING_INSTRUCTIONS00000006,REF00789805,2571.39,2025-10-22,PENDING
STANDING_INSTRUCTIONS00000007,REF00332741,2306.03,2025-11-28,COMPLETED
STANDING_INSTRUCTIONS00000008,REF00201099,166.62,2025-09-19,PENDING
STANDING_INSTRUCTIONS00000009,REF00265867,384.33,2025-05-30,ACTIVE
STANDING_INSTRUCTIONS00000010,REF00508971,8679.48,2025-10-02,COMPLETED
STANDING_INSTRUCTIONS00000011,REF00095174,4201.17,2025-07-06,COMPLETED
STANDING_INSTRUCTIONS00000012,REF00163065,3967.09,2025-06-22,ACTIVE
STANDING_INSTRUCTIONS00000013,REF00819635,1129.51,2025-08-22,ACTIVE
STANDING_INSTRUCTIONS00000014,REF00571949,1269.44,2025-05-27,CANCELLED
STANDING_INSTRUCTIONS00000015,REF00978397,7581.0,2025-03-15,ACTIVE
STANDING_INSTRUCTIONS00000016,REF00310773,4018.28,2025-08-06,CANCELLED
STANDING_INSTRUCTIONS00000017,REF00921303,6519.18,2025-07-07,CANCELLED
STANDING_INSTRUCTIONS00000018,REF00366197,7776.07,2025-11-30,COMPLETED
STANDING_INSTRUCTIONS00000019,REF00308382,9488.51,2025-07-23,ACTIVE
STANDING_INSTRUCTIONS00000020,REF00581354,3061.81,2025-10-21,CANCELLED
STANDING_INSTRUCTIONS00000021,REF00345990,1357.22,2025-09-12,CANCELLED
STANDING_INSTRUCTIONS00000022,REF00374008,43.5,2025-11-04,ACTIVE
STANDING_INSTRUCTIONS00000023,REF00165193,8498.0,2026-01-18,PENDING
STANDING_INSTRUCTIONS00000024,REF00577591,9889.88,2025-07-12,PENDING
STANDING_INSTRUCTIONS00000025,REF00278760,9056.47,2026-01-16,ACTIVE
STANDING_INSTRUCTIONS00000026,REF00674724,3564.42,2025-09-07,ACTIVE
STANDING_INSTRUCTIONS00000027,REF00141860,695.41,2025-11-15,PENDING
STANDING_INSTRUCTIONS00000028,REF00327365,8723.91,2025-12-02,ACTIVE
STANDING_INSTRUCTIONS00000029,REF00177679,2159.72,2025-11-05,COMPLETED
STANDING_INSTRUCTIONS00000030,REF00133671,7799.44,2025-10-13,PENDING
STANDING_INSTRUCTIONS00000031,REF00542500,1473.51,2025-12-09,ACTIVE
STANDING_INSTRUCTIONS00000032,REF00978825,4413.05,2025-07-16,ACTIVE
STANDING_INSTRUCTIONS00000033,REF00742923,5278.84,2025-03-24,PENDING
STANDING_INSTRUCTIONS00000034,REF00541136,4638.84,2025-03-06,ACTIVE
STANDING_INSTRUCTIONS00000035,REF00733165,286.14,2025-03-19,PENDING
STANDING_INSTRUCTIONS00000036,REF00666424,1477.94,2026-01-06,COMPLETED
STANDING_INSTRUCTIONS00000037,REF00170571,5262.17,2025-07-04,PENDING
STANDING_INSTRUCTIONS00000038,REF00865527,7039.49,2025-05-16,PENDING
STANDING_INSTRUCTIONS00000039,REF00760522,4088.41,2025-03-24,ACTIVE
STANDING_INSTRUCTIONS00000040,REF00557188,1918.66,2025-08-22,CANCELLED
STANDING_INSTRUCTIONS00000041,REF00619522,2804.09,2025-09-10,CANCELLED
STANDING_INSTRUCTIONS00000042,REF00837798,4336.8,2025-03-07,PENDING
STANDING_INSTRUCTIONS00000043,REF00691984,1129.52,2025-05-01,CANCELLED
STANDING_INSTRUCTIONS00000044,REF00917555,6073.03,2025-06-13,ACTIVE
STANDING_INSTRUCTIONS00000045,REF00556704,9566.1,2025-07-11,ACTIVE
STANDING_INSTRUCTIONS00000046,REF00442516,6283.68,2025-12-03,COMPLETED
STANDING_INSTRUCTIONS00000047,REF00126752,4964.46,2025-10-12,ACTIVE
STANDING_INSTRUCTIONS00000048,REF00819150,5269.74,2025-11-03,CANCELLED
STANDING_INSTRUCTIONS00000049,REF00350336,1332.47,2026-01-19,PENDING
STANDING_INSTRUCTIONS00000050,REF00284328,428.37,2025-12-24,PENDING
STANDING_INSTRUCTIONS00000051,REF00953926,23.01,2025-07-21,PENDING
STANDING_INSTRUCTIONS00000052,REF00493010,4735.01,2025-04-06,ACTIVE
STANDING_INSTRUCTIONS00000053,REF00207164,4237.0,2025-06-29,CANCELLED
STANDING_INSTRUCTIONS00000054,REF00908972,3408.29,2025-06-01,ACTIVE
STANDING_INSTRUCTIONS00000055,REF00915338,6831.01,2025-03-18,ACTIVE
STANDING_INSTRUCTIONS00000056,REF00545881,1978.7,2025-06-30,CANCELLED
STANDING_INSTRUCTIONS00000057,REF00406585,8618.25,2025-07-31,COMPLETED
STANDING_INSTRUCTIONS00000058,REF00187379,9448.5,2025-10-01,PENDING
STANDING_INSTRUCTIONS00000059,REF00817525,562.62,2025-04-20,CANCELLED
STANDING_INSTRUCTIONS00000060,REF00901595,3830.65,2025-09-01,CANCELLED
STANDING_INSTRUCTIONS00000061,REF00030143,4278.32,2025-07-08,COMPLETED
STANDING_INSTRUCTIONS00000062,REF00172077,8397.29,2025-12-14,PENDING
STANDING_INSTRUCTIONS00000063,REF00925097,7082.29,2025-09-20,ACTIVE
STANDING_INSTRUCTIONS00000064,REF00290348,7754.85,2025-06-03,CANCELLED
STANDING_INSTRUCTIONS00000065,REF00016535,6449.33,2025-03-09,ACTIVE
STANDING_INSTRUCTIONS00000066,REF00534116,6087.51,2025-07-23,COMPLETED
STANDING_INSTRUCTIONS00000067,REF00198381,212.63,2025-09-28,ACTIVE
STANDING_INSTRUCTIONS00000068,REF00532539,1359.58,2025-10-16,CANCELLED
STANDING_INSTRUCTIONS00000069,REF00689167,5211.46,2025-02-22,CANCELLED
STANDING_INSTRUCTIONS00000070,REF00222680,9508.46,2025-12-27,PENDING
STANDING_INSTRUCTIONS00000071,REF00079299,6645.43,2026-01-12,ACTIVE
STANDING_INSTRUCTIONS00000072,REF00308090,7857.94,2025-11-02,COMPLETED
STANDING_INSTRUCTIONS00000073,REF00514252,2684.28,2025-05-05,ACTIVE
STANDING_INSTRUCTIONS00000074,REF00257008,6071.71,2025-01-29,CANCELLED
STANDING_INSTRUCTIONS00000075,REF00617801,491.06,2025-12-26,COMPLETED
STANDING_INSTRUCTIONS00000076,REF00946924,1663.75,2025-10-14,COMPLETED
STANDING_INSTRUCTIONS00000077,REF00665426,3093.72,2025-04-14,PENDING
STANDING_INSTRUCTIONS00000078,REF00196436,2642.36,2025-09-16,COMPLETED
STANDING_INSTRUCTIONS00000079,REF00119864,2170.14,2025-02-14,PENDING
STANDING_INSTRUCTIONS00000080,REF00961083,3970.01,2025-02-04,PENDING
STANDING_INSTRUCTIONS00000081,REF00530463,6159.11,2025-08-29,CANCELLED
STANDING_INSTRUCTIONS00000082,REF00229404,2896.51,2025-03-27,CANCELLED
