id,reference_id,amount,date,status
BENEFICIARY_MASTER00000001,REF00062085,9300.17,2025-06-20,ACTIVE
BENEFICIARY_MASTER00000002,REF00779402,9870.12,2025-07-10,COMPLETED
BENEFICIARY_MASTER00000003,REF00524076,7394.64,2025-05-02,ACTIVE
BENEFICIARY_MASTER00000004,REF00497230,3806.89,2025-10-01,PENDING
BENEFICIARY_MASTER00000005,REF00030091,6367.9,2025-05-28,COMPLETED
BENEFICIARY_MASTER00000006,REF00863065,7833.47,2025-03-04,PENDING
BENEFICIARY_MASTER00000007,REF00108689,7019.64,2026-01-02,ACTIVE
BENEFICIARY_MASTER00000008,REF00793728,2571.01,2025-08-31,ACTIVE
BENEFICIARY_MASTER00000009,REF00142094,2534.71,2025-06-04,PENDING
BENEFICIARY_MASTER00000010,REF00277659,6991.73,2025-07-19,PENDING
BENEFICIARY_MASTER00000011,REF00590111,5509.84,2025-05-22,ACTIVE
BENEFICIARY_MASTER00000012,REF00685501,6289.37,2025-11-28,ACTIVE
BENEFICIARY_MASTER00000013,REF00509413,9774.1,2025-03-25,ACTIVE
BENEFICIARY_MASTER00000014,REF00461283,3283.44,2025-11-05,COMPLETED
BENEFICIARY_MASTER00000015,REF00990703,9171.46,2026-01-09,CANCELLED
BENEFICIARY_MASTER00000016,REF00024585,3314.38,2025-02-14,ACTIVE
BENEFICIARY_MASTER00000017,REF00611442,5133.76,2025-03-27,CANCELLED
BENEFICIARY_MASTER00000018,REF00769294,9540.15,2025-12-09,ACTIVE
BENEFICIARY_MASTER00000019,REF00680909,5852.43,2025-04-07,ACTIVE
BENEFICIARY_MASTER00000020,REF00474699,4203.69,2026-01-09,PENDING
BENEFICIARY_MASTER00000021,REF00658754,8471.97,2025-04-13,COMPLETED
BENEFICIARY_MASTER00000022,REF00182065,7133.25,2025-05-09,ACTIVE
BENEFICIARY_MASTER00000023,REF00692394,5905.58,2025-07-11,CANCELLED
BENEFICIARY_MASTER00000024,REF00763988,9208.38,2025-07-30,COMPLETED
BENEFICIARY_MASTER00000025,REF00815288,485.2,2025-05-18,CANCELLED
BENEFICIARY_MASTER00000026,REF00350464,2897.3,2025-09-09,COMPLETED
BENEFICIARY_MASTER00000027,REF00498838,7551.61,2025-03-22,COMPLETED
BENEFICIARY_MASTER00000028,REF00194374,1442.51,2025-11-01,CANCELLED
BENEFICIARY_MASTER00000029,REF00231639,3501.01,2025-05-06,COMPLETED
BENEFICIARY_MASTER00000030,REF00888578,1050.55,2025-03-04,ACTIVE
BENEFICIARY_MASTER00000031,REF00240221,8070.45,2025-01-24,PENDING
BENEFICIARY_MASTER00000032,REF00820557,7625.27,2025-09-25,PENDING
BENEFICIARY_MASTER00000033,REF00899560,2994.89,2025-05-28,COMPLETED
BENEFICIARY_MASTER00000034,REF00227665,5500.45,2025-04-14,ACTIVE
BENEFICIARY_MASTER00000035,REF00538604,7993.9,2026-01-17,COMPLETED
BENEFICIARY_MASTER00000036,REF00037122,5557.35,2026-01-21,PENDING
BENEFICIARY_MASTER00000037,REF00990164,9739.76,2025-10-12,PENDING
BENEFICIARY_MASTER00000038,REF00613479,1392.3,2025-02-17,COMPLETED
BENEFICIARY_MASTER00000039,REF00494651,2811.62,2025-01-23,PENDING
BENEFICIARY_MASTER00000040,REF00806520,8757.46,2025-08-10,ACTIVE
BENEFICIARY_MASTER00000041,REF00795152,9232.42,2025-10-02,PENDING
BENEFICIARY_MASTER00000042,REF00058657,2515.13,2025-11-30,CANCELLED
BENEFICIARY_MASTER00000043,REF00795490,8788.68,2025-07-19,PENDING
BENEFICIARY_MASTER00000044,REF00444781,4893.99,2025-06-13,PENDING
BENEFICIARY_MASTER00000045,REF00656209,6598.56,2025-08-03,COMPLETED
BENEFICIARY_MASTER00000046,REF00663488,1512.46,2025-03-14,COMPLETED
BENEFICIARY_MASTER00000047,REF00101179,6438.46,2025-06-30,COMPLETED
BENEFICIARY_MASTER00000048,REF00621831,5875.56,2025-08-26,ACTIVE
BENEFICIARY_MASTER00000049,REF00735712,7251.71,2025-09-14,PENDING
BENEFICIARY_MASTER00000050,REF00240083,4313.97,2025-05-11,CANCELLED
BENEFICIARY_MASTER00000051,REF00357140,6019.64,2025-07-18,PENDING
BENEFICIARY_MASTER00000052,REF00143704,6170.6,2025-08-16,PENDING
