id,reference_id,amount,date,status
CHEQUE_ISSUED00000001,REF00984735,4217.09,2025-06-22,CANCELLED
CHEQUE_ISSUED00000002,REF00233978,2395.31,2025-05-24,PENDING
CHEQUE_ISSUED00000003,REF00027535,3108.89,2025-12-05,COMPLETED
CHEQUE_ISSUED00000004,REF00904104,7083.05,2025-08-18,CANCELLED
CHEQUE_ISSUED00000005,REF00786684,1626.81,2025-08-05,COMPLETED
CHEQUE_ISSUED00000006,REF00855421,1618.15,2025-03-25,ACTIVE
CHEQUE_ISSUED00000007,REF00613713,9574.11,2025-09-05,PENDING
CHEQUE_ISSUED00000008,REF00698213,8906.95,2025-05-07,PENDING
CHEQUE_ISSUED00000009,REF00216878,3141.5,2025-12-25,CANCELLED
CHEQUE_ISSUED00000010,REF00960511,5850.41,2025-11-14,COMPLETED
CHEQUE_ISSUED00000011,REF00708779,4231.49,2025-02-13,CANCELLED
CHEQUE_ISSUED00000012,REF00791478,1311.1,2025-09-21,COMPLETED
CHEQUE_ISSUED00000013,REF00692071,6490.92,2025-02-10,COMPLETED
CHEQUE_ISSUED00000014,REF00084673,8163.35,2025-09-09,ACTIVE
CHEQUE_ISSUED00000015,REF00055192,9871.07,2025-02-01,ACTIVE
CHEQUE_ISSUED00000016,REF00662592,7170.38,2025-06-08,PENDING
CHEQUE_ISSUED00000017,REF00532259,1148.53,2025-12-15,ACTIVE
CHEQUE_ISSUED00000018,REF00380228,7468.56,2025-10-12,CANCELLED
CHEQUE_ISSUED00000019,REF00234405,5704.62,2025-03-17,CANCELLED
CHEQUE_ISSUED00000020,REF00225033,4629.41,2025-08-29,CANCELLED
CHEQUE_ISSUED00000021,REF00648311,6143.1,2025-09-04,PENDING
CHEQUE_ISSUED00000022,REF00182712,3315.09,2025-06-19,PENDING
CHEQUE_ISSUED00000023,REF00468290,7495.6,2025-12-27,COMPLETED
CHEQUE_ISSUED00000024,REF00022180,9960.48,2025-11-06,COMPLETED
CHEQUE_ISSUED00000025,REF00014149,2054.04,2025-02-20,PENDING
CHEQUE_ISSUED00000026,REF00066955,5110.14,2025-03-20,ACTIVE
CHEQUE_ISSUED00000027,REF00868692,4308.49,2025-12-05,ACTIVE
CHEQUE_ISSUED00000028,REF00309886,8529.64,2026-01-17,COMPLETED
CHEQUE_ISSUED00000029,REF00104215,5598.39,2025-11-10,PENDING
CHEQUE_ISSUED00000030,REF00804590,4914.51,2025-07-24,ACTIVE
CHEQUE_ISSUED00000031,REF00773145,324.42,2025-11-21,COMPLETED
CHEQUE_ISSUED00000032,REF00750043,9526.57,2026-01-09,CANCELLED
CHEQUE_ISSUED00000033,REF00514412,5093.56,2025-02-18,CANCELLED
CHEQUE_ISSUED00000034,REF00419822,3361.05,2025-03-15,PENDING
CHEQUE_ISSUED00000035,REF00143807,8601.82,2025-06-22,COMPLETED
CHEQUE_ISSUED00000036,REF00964344,6144.18,2025-02-19,ACTIVE
CHEQUE_ISSUED00000037,REF00790429,3105.59,2025-09-05,ACTIVE
CHEQUE_ISSUED00000038,REF00759207,5551.59,2025-06-19,ACTIVE
CHEQUE_ISSUED00000039,REF00279596,9023.84,2025-03-29,PENDING
CHEQUE_ISSUED00000040,REF00921894,9075.98,2025-05-30,PENDING
CHEQUE_ISSUED00000041,REF00868047,5507.67,2025-05-21,CANCELLED
CHEQUE_ISSUED00000042,REF00298893,240.43,2025-09-05,COMPLETED
CHEQUE_ISSUED00000043,REF00002400,2170.87,2025-05-25,PENDING
CHEQUE_ISSUED00000044,REF00004876,3775.31,2025-11-13,CANCELLED
