id,reference_id,amount,date,status
CHEQUE_CLEARED00000001,REF00928647,263.46,2025-08-08,CANCELLED
CHEQUE_CLEARED00000002,REF00860007,1046.8,2025-08-05,ACTIVE
CHEQUE_CLEARED00000003,REF00276012,9084.78,2025-06-24,ACTIVE
CHEQUE_CLEARED00000004,REF00042026,6286.1,2025-04-13,ACTIVE
CHEQUE_CLEARED00000005,REF00957533,2711.46,2025-12-26,PENDING
CHEQUE_CLEARED00000006,REF00296089,7099.75,2025-05-02,COMPLETED
CHEQUE_CLEARED00000007,REF00390268,3366.81,2025-10-03,COMPLETED
CHEQUE_CLEARED00000008,REF00802806,7460.84,2025-05-07,COMPLETED
CHEQUE_CLEARED00000009,REF00932780,4658.27,2025-10-19,CANCELLED
CHEQUE_CLEARED00000010,REF00354193,5019.07,2025-09-17,COMPLETED
CHEQUE_CLEARED00000011,REF00386460,701.25,2025-07-08,COMPLETED
CHEQUE_CLEARED00000012,REF00688877,1674.12,2025-11-11,ACTIVE
CHEQUE_CLEARED00000013,REF00007583,5444.65,2025-06-03,CANCELLED
CHEQUE_CLEARED00000014,REF00160099,514.21,2025-09-29,PENDING
CHEQUE_CLEARED00000015,REF00761479,392.5,2025-04-01,ACTIVE
CHEQUE_CLEARED00000016,REF00669883,9204.12,2025-04-22,COMPLETED
CHEQUE_CLEARED00000017,REF00686276,5099.86,2025-07-17,PENDING
CHEQUE_CLEARED00000018,REF00785851,2928.12,2025-07-04,CANCELLED
CHEQUE_CLEARED00000019,REF00578260,3810.3,2025-11-10,PENDING
CHEQUE_CLEARED00000020,REF00916674,4820.21,2025-06-09,COMPLETED
CHEQUE_CLEARED00000021,REF00640616,6795.45,2026-01-01,PENDING
CHEQUE_CLEARED00000022,REF00578688,5425.62,2025-06-17,PENDING
CHEQUE_CLEARED00000023,REF00253237,9300.58,2025-09-30,COMPLETED
CHEQUE_CLEARED00000024,REF00593446,9305.98,2025-04-24,CANCELLED
CHEQUE_CLEARED00000025,REF00920882,1140.4,2025-04-23,PENDING
CHEQUE_CLEARED00000026,REF00831996,2325.34,2025-12-17,ACTIVE
CHEQUE_CLEARED00000027,REF00397698,1923.85,2025-06-07,COMPLETED
CHEQUE_CLEARED00000028,REF00009065,9059.76,2025-12-31,PENDING
CHEQUE_CLEARED00000029,REF00022384,8330.96,2025-11-03,ACTIVE
CHEQUE_CLEARED00000030,REF00988019,9873.62,2025-11-13,COMPLETED
CHEQUE_CLEARED00000031,REF00445010,9508.99,2025-03-12,CANCELLED
CHEQUE_CLEARED00000032,REF00131250,5523.49,2025-08-18,COMPLETED
CHEQUE_CLEARED00000033,REF00002101,628.94,2025-06-25,COMPLETED
CHEQUE_CLEARED00000034,REF00201023,3628.93,2025-03-05,CANCELLED
CHEQUE_CLEARED00000035,REF00971371,1460.22,2025-06-15,PENDING
CHEQUE_CLEARED00000036,REF00765194,3631.98,2025-10-16,ACTIVE
CHEQUE_CLEARED00000037,REF00959793,1441.63,2025-11-02,COMPLETED
CHEQUE_CLEARED00000038,REF00882930,1690.37,2025-10-17,PENDING
CHEQUE_CLEARED00000039,REF00630631,3001.53,2026-01-17,ACTIVE
CHEQUE_CLEARED00000040,REF00418426,2987.11,2025-12-20,CANCELLED
CHEQUE_CLEARED00000041,REF00440249,1499.6,2025-09-11,CANCELLED
CHEQUE_CLEARED00000042,REF00494992,6480.45,2025-05-20,CANCELLED
CHEQUE_CLEARED00000043,REF00853131,5282.56,2025-09-13,PENDING
CHEQUE_CLEARED00000044,REF00670041,965.67,2025-12-06,CANCELLED
CHEQUE_CLEARED00000045,REF00651778,3818.12,2025-05-09,ACTIVE
CHEQUE_CLEARED00000046,REF00241271,7912.46,2026-01-09,CANCELLED
CHEQUE_CLEARED00000047,REF00534327,8105.19,2025-09-21,ACTIVE
CHEQUE_CLEARED00000048,REF00238247,7826.54,2025-03-12,ACTIVE
CHEQUE_CLEARED00000049,REF00147419,1702.69,2025-08-09,ACTIVE
CHEQUE_CLEARED00000050,REF00363705,3119.63,2025-12-21,COMPLETED
CHEQUE_CLEARED00000051,REF00345175,9635.83,2025-05-11,ACTIVE
