id,reference_id,amount,date,status
ACCOUNT_STATEMENTS00000001,REF00533373,3118.01,2025-02-02,COMPLETED
ACCOUNT_STATEMENTS00000002,REF00885897,1066.7,2025-12-23,PENDING
ACCOUNT_STATEMENTS00000003,REF00371796,6906.44,2025-07-24,PENDING
ACCOUNT_STATEMENTS00000004,REF00962197,4030.27,2025-01-28,ACTIVE
ACCOUNT_STATEMENTS00000005,REF00004827,7023.56,2025-09-13,CANCELLED
ACCOUNT_STATEMENTS00000006,REF00300978,8928.18,2025-04-15,CANCELLED
ACCOUNT_STATEMENTS00000007,REF00043994,8471.19,2025-08-27,PENDING
ACCOUNT_STATEMENTS00000008,REF00492185,1325.46,2025-10-13,ACTIVE
ACCOUNT_STATEMENTS00000009,REF00304157,9968.09,2025-04-08,ACTIVE
ACCOUNT_STATEMENTS00000010,REF00795719,7926.58,2025-11-03,ACTIVE
ACCOUNT_STATEMENTS00000011,REF00327986,7407.39,2025-03-28,COMPLETED
ACCOUNT_STATEMENTS00000012,REF00283640,3612.1,2025-05-31,COMPLETED
ACCOUNT_STATEMENTS00000013,REF00779532,4525.8,2025-05-17,CANCELLED
ACCOUNT_STATEMENTS00000014,REF00117128,2162.33,2025-05-08,COMPLETED
ACCOUNT_STATEMENTS00000015,REF00643864,7224.68,2025-12-20,CANCELLED
ACCOUNT_STATEMENTS00000016,REF00493161,2327.71,2025-10-30,PENDING
ACCOUNT_STATEMENTS00000017,REF00114580,8777.14,2025-07-19,PENDING
ACCOUNT_STATEMENTS00000018,REF00873665,9526.83,2025-04-14,ACTIVE
ACCOUNT_STATEMENTS00000019,REF00492748,3614.72,2025-03-09,COMPLETED
ACCOUNT_STATEMENTS00000020,REF00671642,9603.86,2025-01-28,COMPLETED
ACCOUNT_STATEMENTS00000021,REF00192486,6601.3,2025-10-12,CANCELLED
ACCOUNT_STATEMENTS00000022,REF00240474,9836.58,2025-08-02,COMPLETED
ACCOUNT_STATEMENTS00000023,REF00868694,9072.57,2025-07-31,PENDING
ACCOUNT_STATEMENTS00000024,REF00809312,6570.54,2025-12-23,PENDING
ACCOUNT_STATEMENTS00000025,REF00950623,1321.58,2025-07-11,CANCELLED
ACCOUNT_STATEMENTS00000026,REF00559268,5869.44,2025-04-12,CANCELLED
ACCOUNT_STATEMENTS00000027,REF00193230,3156.42,2025-09-21,ACTIVE
ACCOUNT_STATEMENTS00000028,REF00675956,7592.86,2025-04-07,CANCELLED
ACCOUNT_STATEMENTS00000029,REF00608785,4764.99,2025-06-18,CANCELLED
ACCOUNT_STATEMENTS00000030,REF00924013,3669.61,2025-09-05,CANCELLED
ACCOUNT_STATEMENTS00000031,REF00782425,6261.24,2025-01-26,ACTIVE
ACCOUNT_STATEMENTS00000032,REF00034088,7990.31,2025-04-03,PENDING
ACCOUNT_STATEMENTS00000033,REF00461364,8626.29,2025-03-26,CANCELLED
ACCOUNT_STATEMENTS00000034,REF00941393,21.89,2025-08-14,CANCELLED
ACCOUNT_STATEMENTS00000035,REF00631692,1941.11,2025-05-09,PENDING
ACCOUNT_STATEMENTS00000036,REF00729724,469.42,2025-03-16,COMPLETED
ACCOUNT_STATEMENTS00000037,REF00119332,2250.16,2025-07-26,ACTIVE
ACCOUNT_STATEMENTS00000038,REF00216594,3616.97,2025-06-29,PENDING
ACCOUNT_STATEMENTS00000039,REF00139452,6060.22,2025-02-23,PENDING
ACCOUNT_STATEMENTS00000040,REF00086369,70.0,2025-06-12,ACTIVE
ACCOUNT_STATEMENTS00000041,REF00816577,3723.53,2025-09-22,ACTIVE
ACCOUNT_STATEMENTS00000042,REF00691232,6860.54,2025-01-31,COMPLETED
ACCOUNT_STATEMENTS00000043,REF00329406,8583.1,2025-10-05,PENDING
ACCOUNT_STATEMENTS00000044,REF00199424,4203.24,2025-09-20,ACTIVE
ACCOUNT_STATEMENTS00000045,REF00003975,4317.4,2025-09-15,COMPLETED
ACCOUNT_STATEMENTS00000046,REF00330364,1795.57,2025-11-29,COMPLETED
ACCOUNT_STATEMENTS00000047,REF00299198,2385.12,2025-08-02,CANCELLED
ACCOUNT_STATEMENTS00000048,REF00235993,2460.73,2025-11-26,COMPLETED
ACCOUNT_STATEMENTS00000049,REF00194077,8819.13,2025-08-29,COMPLETED
ACCOUNT_STATEMENTS00000050,REF00896221,6859.91,2025-09-26,CANCELLED
ACCOUNT_STATEMENTS00000051,REF00979567,8139.27,2025-02-24,CANCELLED
ACCOUNT_STATEMENTS00000052,REF00184409,7257.5,2025-07-05,CANCELLED
ACCOUNT_STATEMENTS00000053,REF00646153,743.46,2025-06-15,COMPLETED
ACCOUNT_STATEMENTS00000054,REF00795882,4636.08,2025-06-17,ACTIVE
ACCOUNT_STATEMENTS00000055,REF00297219,4190.92,2025-04-20,PENDING
ACCOUNT_STATEMENTS00000056,REF00450261,6818.64,2025-05-31,ACTIVE
ACCOUNT_STATEMENTS00000057,REF00435479,4214.87,2025-07-17,COMPLETED
ACCOUNT_STATEMENTS00000058,REF00016599,2929.34,2025-08-14,CANCELLED
ACCOUNT_STATEMENTS00000059,REF00715893,2881.38,2025-06-05,PENDING
ACCOUNT_STATEMENTS00000060,REF00182015,822.96,2025-09-19,PENDING
ACCOUNT_STATEMENTS00000061,REF00671236,8808.47,2025-09-19,ACTIVE
ACCOUNT_STATEMENTS00000062,REF00711438,8757.26,2025-02-23,ACTIVE
ACCOUNT_STATEMENTS00000063,REF00769138,5400.89,2025-07-19,PENDING
ACCOUNT_STATEMENTS00000064,REF00378908,6513.31,2025-02-17,PENDING
ACCOUNT_STATEMENTS00000065,REF00139807,790.72,2025-03-24,ACTIVE
ACCOUNT_STATEMENTS00000066,REF00425324,300.65,2026-01-10,CANCELLED
ACCOUNT_STATEMENTS00000067,REF00393083,6414.04,2025-02-15,ACTIVE
ACCOUNT_STATEMENTS00000068,REF00178602,8319.3,2025-07-20,COMPLETED
ACCOUNT_STATEMENTS00000069,REF00832174,5183.33,2025-03-27,PENDING
ACCOUNT_STATEMENTS00000070,REF00337318,9197.3,2025-08-28,CANCELLED
ACCOUNT_STATEMENTS00000071,REF00741548,5560.89,2025-04-14,CANCELLED
ACCOUNT_STATEMENTS00000072,REF00771836,9288.66,2025-08-31,PENDING
ACCOUNT_STATEMENTS00000073,REF00433013,6758.55,2025-10-31,ACTIVE
ACCOUNT_STATEMENTS00000074,REF00641619,4635.58,2025-02-16,COMPLETED
ACCOUNT_STATEMENTS00000075,REF00646096,9484.93,2025-08-13,CANCELLED
ACCOUNT_STATEMENTS00000076,REF00673887,6329.62,2025-06-09,PENDING
ACCOUNT_STATEMENTS00000077,REF00188641,616.36,2025-02-26,ACTIVE
ACCOUNT_STATEMENTS00000078,REF00072780,3136.14,2025-03-11,COMPLETED
ACCOUNT_STATEMENTS00000079,REF00773624,7286.87,2025-06-29,CANCELLED
ACCOUNT_STATEMENTS00000080,REF00180114,3523.08,2025-08-05,COMPLETED
ACCOUNT_STATEMENTS00000081,REF00222631,8221.51,2025-09-19,CANCELLED
ACCOUNT_STATEMENTS00000082,REF00985758,9754.55,2025-11-30,ACTIVE
ACCOUNT_STATEMENTS00000083,REF00059240,1416.87,2025-03-01,PENDING
ACCOUNT_STATEMENTS00000084,REF00095107,4940.94,2025-06-16,PENDING
ACCOUNT_STATEMENTS00000085,REF00800740,3828.01,2025-11-20,ACTIVE
ACCOUNT_STATEMENTS00000086,REF00275579,7480.62,2025-11-06,CANCELLED
ACCOUNT_STATEMENTS00000087,REF00977580,661.02,2025-08-31,PENDING
ACCOUNT_STATEMENTS00000088,REF00168149,1204.25,2025-07-31,COMPLETED
ACCOUNT_STATEMENTS00000089,REF00082120,5755.29,2025-05-06,CANCELLED
ACCOUNT_STATEMENTS00000090,REF00441567,8659.66,2025-05-18,PENDING
ACCOUNT_STATEMENTS00000091,REF00985919,204.33,2025-07-30,CANCELLED
ACCOUNT_STATEMENTS00000092,REF00911726,4044.08,2025-04-01,CANCELLED
ACCOUNT_STATEMENTS00000093,REF00631879,6658.16,2025-06-12,CANCELLED
ACCOUNT_STATEMENTS00000094,REF00242801,6843.87,2025-04-01,COMPLETED
ACCOUNT_STATEMENTS00000095,REF00611531,8813.86,2025-09-15,ACTIVE
ACCOUNT_STATEMENTS00000096,REF00209379,3671.18,2025-08-04,PENDING
ACCOUNT_STATEMENTS00000097,REF00016062,7938.15,2025-02-25,ACTIVE
ACCOUNT_STATEMENTS00000098,REF00039564,7955.47,2025-12-16,CANCELLED
ACCOUNT_STATEMENTS00000099,REF00711698,4363.74,2025-02-24,ACTIVE
ACCOUNT_STATEMENTS00000100,REF00942348,1499.1,2025-09-06,CANCELLED
ACCOUNT_STATEMENTS00000101,REF00280769,971.89,2026-01-16,ACTIVE
ACCOUNT_STATEMENTS00000102,REF00495295,3541.36,2025-08-01,CANCELLED
ACCOUNT_STATEMENTS00000103,REF00131873,6550.15,2025-02-09,COMPLETED
ACCOUNT_STATEMENTS00000104,REF00376258,3599.82,2025-09-01,COMPLETED
ACCOUNT_STATEMENTS00000105,REF00706202,1712.98,2025-04-24,COMPLETED
ACCOUNT_STATEMENTS00000106,REF00588165,6838.32,2025-07-30,COMPLETED
ACCOUNT_STATEMENTS00000107,REF00071665,7617.15,2025-05-03,COMPLETED
ACCOUNT_STATEMENTS00000108,REF00546980,1469.99,2025-04-06,CANCELLED
ACCOUNT_STATEMENTS00000109,REF00229953,2187.91,2025-08-23,COMPLETED
ACCOUNT_STATEMENTS00000110,REF00988276,7507.85,2025-11-28,ACTIVE
ACCOUNT_STATEMENTS00000111,REF00137160,9327.56,2025-08-15,ACTIVE
ACCOUNT_STATEMENTS00000112,REF00234868,5900.69,2025-03-20,CANCELLED
ACCOUNT_STATEMENTS00000113,REF00222949,9043.54,2025-07-28,CANCELLED
ACCOUNT_STATEMENTS00000114,REF00907494,5507.52,2025-02-09,COMPLETED
ACCOUNT_STATEMENTS00000115,REF00838004,1941.18,2025-01-31,PENDING
ACCOUNT_STATEMENTS00000116,REF00789068,1866.18,2025-06-17,CANCELLED
ACCOUNT_STATEMENTS00000117,REF00599251,1822.44,2025-04-14,PENDING
ACCOUNT_STATEMENTS00000118,REF00033678,399.42,2025-04-17,COMPLETED
ACCOUNT_STATEMENTS00000119,REF00207169,9919.76,2025-02-22,PENDING
ACCOUNT_STATEMENTS00000120,REF00581576,4988.57,2026-01-03,ACTIVE
ACCOUNT_STATEMENTS00000121,REF00977700,4337.09,2025-06-17,ACTIVE
ACCOUNT_STATEMENTS00000122,REF00620225,248.75,2026-01-12,PENDING
ACCOUNT_STATEMENTS00000123,REF00796751,3721.49,2025-08-30,PENDING
ACCOUNT_STATEMENTS00000124,REF00058043,5826.14,2025-11-17,COMPLETED
ACCOUNT_STATEMENTS00000125,REF00336607,4225.78,2026-01-17,ACTIVE
ACCOUNT_STATEMENTS00000126,REF00262103,4829.01,2025-08-09,COMPLETED
ACCOUNT_STATEMENTS00000127,REF00578240,4412.96,2025-06-21,CANCELLED
ACCOUNT_STATEMENTS00000128,REF00221094,6744.56,2025-09-16,ACTIVE
ACCOUNT_STATEMENTS00000129,REF00703945,7549.27,2025-04-22,COMPLETED
ACCOUNT_STATEMENTS00000130,REF00639774,9673.72,2026-01-13,COMPLETED
ACCOUNT_STATEMENTS00000131,REF00633411,9914.4,2025-11-12,COMPLETED
ACCOUNT_STATEMENTS00000132,REF00101125,6114.2,2025-06-19,CANCELLED
ACCOUNT_STATEMENTS00000133,REF00545971,5615.01,2025-09-16,CANCELLED
ACCOUNT_STATEMENTS00000134,REF00197632,9107.75,2025-11-09,COMPLETED
ACCOUNT_STATEMENTS00000135,REF00304800,6556.11,2025-07-26,PENDING
ACCOUNT_STATEMENTS00000136,REF00299456,4679.56,2025-03-27,COMPLETED
ACCOUNT_STATEMENTS00000137,REF00991140,365.93,2025-02-18,COMPLETED
ACCOUNT_STATEMENTS00000138,REF00226374,6756.65,2025-12-21,PENDING
ACCOUNT_STATEMENTS00000139,REF00759970,1705.95,2025-12-15,CANCELLED
ACCOUNT_STATEMENTS00000140,REF00702140,9342.01,2025-08-18,COMPLETED
ACCOUNT_STATEMENTS00000141,REF00609741,4212.57,2025-02-25,PENDING
ACCOUNT_STATEMENTS00000142,REF00956437,431.4,2025-06-19,CANCELLED
ACCOUNT_STATEMENTS00000143,REF00012036,5612.52,2025-07-08,CANCELLED
ACCOUNT_STATEMENTS00000144,REF00410417,3985.87,2025-03-04,COMPLETED
ACCOUNT_STATEMENTS00000145,REF00394208,3871.48,2025-03-23,CANCELLED
ACCOUNT_STATEMENTS00000146,REF00349113,8353.38,2025-02-21,COMPLETED
ACCOUNT_STATEMENTS00000147,REF00576771,5342.01,2025-11-05,CANCELLED
ACCOUNT_STATEMENTS00000148,REF00091788,2416.24,2025-06-08,ACTIVE
ACCOUNT_STATEMENTS00000149,REF00846410,9815.64,2025-09-03,COMPLETED
ACCOUNT_STATEMENTS00000150,REF00666275,8614.38,2026-01-05,CANCELLED
ACCOUNT_STATEMENTS00000151,REF00006440,1908.49,2025-03-20,COMPLETED
ACCOUNT_STATEMENTS00000152,REF00673493,8457.46,2025-03-20,PENDING
ACCOUNT_STATEMENTS00000153,REF00023696,4006.36,2025-03-23,PENDING
ACCOUNT_STATEMENTS00000154,REF00763728,2831.6,2025-07-21,CANCELLED
ACCOUNT_STATEMENTS00000155,REF00264370,4577.13,2025-12-08,PENDING
ACCOUNT_STATEMENTS00000156,REF00128923,7489.83,2025-05-20,COMPLETED
ACCOUNT_STATEMENTS00000157,REF00108308,9808.08,2025-02-16,COMPLETED
ACCOUNT_STATEMENTS00000158,REF00128034,4850.59,2025-05-15,CANCELLED
ACCOUNT_STATEMENTS00000159,REF00864751,8329.29,2026-01-02,CANCELLED
ACCOUNT_STATEMENTS00000160,REF00757321,7665.67,2025-07-07,PENDING
ACCOUNT_STATEMENTS00000161,REF00046889,4453.31,2025-12-21,ACTIVE
ACCOUNT_STATEMENTS00000162,REF00066674,4013.84,2025-06-24,PENDING
ACCOUNT_STATEMENTS00000163,REF00432143,3726.16,2025-04-02,CANCELLED
ACCOUNT_STATEMENTS00000164,REF00108588,1885.21,2025-10-31,PENDING
ACCOUNT_STATEMENTS00000165,REF00847474,5348.6,2026-01-09,PENDING
ACCOUNT_STATEMENTS00000166,REF00691896,1117.98,2025-06-17,CANCELLED
ACCOUNT_STATEMENTS00000167,REF00650634,7964.87,2026-01-13,ACTIVE
ACCOUNT_STATEMENTS00000168,REF00713717,1704.03,2025-09-01,PENDING
ACCOUNT_STATEMENTS00000169,REF00645357,9923.07,2025-11-13,PENDING
ACCOUNT_STATEMENTS00000170,REF00225945,5186.48,2025-12-18,ACTIVE
ACCOUNT_STATEMENTS00000171,REF00628046,5522.47,2025-04-10,PENDING
ACCOUNT_STATEMENTS00000172,REF00162695,9035.36,2026-01-06,PENDING
ACCOUNT_STATEMENTS00000173,REF00704850,6325.13,2026-01-01,ACTIVE
ACCOUNT_STATEMENTS00000174,REF00034211,9332.92,2025-08-10,ACTIVE
ACCOUNT_STATEMENTS00000175,REF00276938,9033.87,2025-12-14,PENDING
ACCOUNT_STATEMENTS00000176,REF00971607,8437.1,2025-04-28,COMPLETED
ACCOUNT_STATEMENTS00000177,REF00161732,8162.93,2025-11-24,CANCELLED
ACCOUNT_STATEMENTS00000178,REF00763131,592.52,2025-08-13,PENDING
ACCOUNT_STATEMENTS00000179,REF00311357,9378.4,2025-11-15,CANCELLED
ACCOUNT_STATEMENTS00000180,REF00681166,4116.98,2025-09-27,COMPLETED
ACCOUNT_STATEMENTS00000181,REF00082515,4256.72,2025-12-13,PENDING
