id,reference_id,amount,date,status
TAX_DEDUCTIONS00000001,REF00861984,6487.12,2025-05-26,ACTIVE
TAX_DEDUCTIONS00000002,REF00248778,8851.86,2025-11-16,CANCELLED
TAX_DEDUCTIONS00000003,REF00496927,4980.24,2025-10-10,COMPLETED
TAX_DEDUCTIONS00000004,REF00351263,2818.63,2025-07-31,PENDING
TAX_DEDUCTIONS00000005,REF00679292,6895.86,2025-06-27,CANCELLED
TAX_DEDUCTIONS00000006,REF00650442,6813.54,2025-05-20,COMPLETED
TAX_DEDUCTIONS00000007,REF00774168,9787.81,2025-09-25,COMPLETED
TAX_DEDUCTIONS00000008,REF00381244,653.57,2025-07-30,COMPLETED
TAX_DEDUCTIONS00000009,REF00459192,5040.62,2025-03-04,ACTIVE
TAX_DEDUCTIONS00000010,REF00284707,5312.69,2025-06-15,CANCELLED
TAX_DEDUCTIONS00000011,REF00923546,6482.56,2025-03-21,CANCELLED
TAX_DEDUCTIONS00000012,REF00729498,3360.84,2025-11-01,ACTIVE
TAX_DEDUCTIONS00000013,REF00478827,4397.46,2025-02-14,ACTIVE
TAX_DEDUCTIONS00000014,REF00051823,3563.94,2025-12-24,PENDING
TAX_DEDUCTIONS00000015,REF00773606,6941.47,2025-02-11,CANCELLED
TAX_DEDUCTIONS00000016,REF00704006,1949.57,2025-09-14,CANCELLED
TAX_DEDUCTIONS00000017,REF00868286,3900.3,2025-09-17,CANCELLED
TAX_DEDUCTIONS00000018,REF00580601,8185.85,2025-03-24,CANCELLED
TAX_DEDUCTIONS00000019,REF00960722,8950.95,2025-08-04,CANCELLED
TAX_DEDUCTIONS00000020,REF00360385,5300.67,2025-02-17,COMPLETED
TAX_DEDUCTIONS00000021,REF00936543,1876.67,2025-07-29,PENDING
TAX_DEDUCTIONS00000022,REF00435215,3842.38,2025-09-17,CANCELLED
TAX_DEDUCTIONS00000023,REF00417577,4813.56,2025-11-08,PENDING
TAX_DEDUCTIONS00000024,REF00732223,4305.07,2025-10-05,PENDING
TAX_DEDUCTIONS00000025,REF00946450,9441.07,2025-12-18,COMPLETED
TAX_DEDUCTIONS00000026,REF00576483,5950.27,2025-05-19,COMPLETED
TAX_DEDUCTIONS00000027,REF00026063,4990.1,2025-06-07,ACTIVE
TAX_DEDUCTIONS00000028,REF00631743,7566.75,2025-06-03,PENDING
TAX_DEDUCTIONS00000029,REF00305266,3875.94,2025-03-07,COMPLETED
TAX_DEDUCTIONS00000030,REF00709205,2452.09,2025-04-08,ACTIVE
TAX_DEDUCTIONS00000031,REF00238247,8820.9,2025-12-04,COMPLETED
TAX_DEDUCTIONS00000032,REF00388475,5311.87,2025-10-18,PENDING
TAX_DEDUCTIONS00000033,REF00911702,620.22,2025-05-04,ACTIVE
TAX_DEDUCTIONS00000034,REF00202652,5788.02,2025-03-07,COMPLETED
TAX_DEDUCTIONS00000035,REF00360838,2625.16,2025-11-21,ACTIVE
TAX_DEDUCTIONS00000036,REF00250814,9682.26,2025-08-17,ACTIVE
TAX_DEDUCTIONS00000037,REF00735416,262.8,2025-08-15,COMPLETED
TAX_DEDUCTIONS00000038,REF00044855,8140.32,2025-11-01,ACTIVE
TAX_DEDUCTIONS00000039,REF00239735,3672.69,2025-09-27,CANCELLED
TAX_DEDUCTIONS00000040,REF00733495,4498.78,2025-12-31,ACTIVE
TAX_DEDUCTIONS00000041,REF00955962,3457.21,2025-11-28,COMPLETED
TAX_DEDUCTIONS00000042,REF00393013,9719.01,2025-04-06,CANCELLED
TAX_DEDUCTIONS00000043,REF00061666,4298.05,2025-08-07,CANCELLED
TAX_DEDUCTIONS00000044,REF00006630,3330.64,2025-09-03,PENDING
TAX_DEDUCTIONS00000045,REF00263920,1962.44,2025-04-07,COMPLETED
TAX_DEDUCTIONS00000046,REF00246873,2712.6,2025-04-02,ACTIVE
TAX_DEDUCTIONS00000047,REF00807247,1310.78,2025-12-28,COMPLETED
TAX_DEDUCTIONS00000048,REF00638286,926.66,2025-05-18,COMPLETED
TAX_DEDUCTIONS00000049,REF00867860,2988.13,2025-04-27,PENDING
TAX_DEDUCTIONS00000050,REF00319473,6980.87,2025-04-29,CANCELLED
TAX_DEDUCTIONS00000051,REF00756154,2146.27,2025-08-12,ACTIVE
TAX_DEDUCTIONS00000052,REF00702338,1463.09,2025-04-06,CANCELLED
TAX_DEDUCTIONS00000053,REF00758855,7233.33,2025-08-31,CANCELLED
TAX_DEDUCTIONS00000054,REF00531196,1747.73,2025-11-02,CANCELLED
TAX_DEDUCTIONS00000055,REF00835635,8189.77,2025-08-30,PENDING
TAX_DEDUCTIONS00000056,REF00754202,7974.19,2025-09-20,PENDING
TAX_DEDUCTIONS00000057,REF00054189,6329.18,2025-09-22,COMPLETED
TAX_DEDUCTIONS00000058,REF00174628,2008.69,2025-10-16,CANCELLED
TAX_DEDUCTIONS00000059,REF00899633,688.53,2025-03-10,ACTIVE
TAX_DEDUCTIONS00000060,REF00997603,790.15,2025-04-16,PENDING
