id,reference_id,amount,date,status
CUSTOMER_COMPLAINTS00000001,REF00119480,5217.84,2025-05-23,ACTIVE
CUSTOMER_COMPLAINTS00000002,REF00573957,9233.82,2025-12-29,ACTIVE
CUSTOMER_COMPLAINTS00000003,REF00396221,562.29,2025-04-28,ACTIVE
CUSTOMER_COMPLAINTS00000004,REF00498687,2991.77,2025-09-04,PENDING
CUSTOMER_COMPLAINTS00000005,REF00156586,9197.1,2025-02-05,COMPLETED
CUSTOMER_COMPLAINTS00000006,REF00663892,1315.01,2025-01-23,ACTIVE
CUSTOMER_COMPLAINTS00000007,REF00646505,7585.45,2025-10-26,CANCELLED
CUSTOMER_COMPLAINTS00000008,REF00323055,1026.46,2025-02-10,CANCELLED
CUSTOMER_COMPLAINTS00000009,REF00183675,3013.02,2026-01-20,ACTIVE
CUSTOMER_COMPLAINTS00000010,REF00142867,4007.92,2025-09-12,ACTIVE
CUSTOMER_COMPLAINTS00000011,REF00176274,2792.23,2025-04-06,ACTIVE
CUSTOMER_COMPLAINTS00000012,REF00403842,3924.19,2025-10-08,PENDING
CUSTOMER_COMPLAINTS00000013,REF00516119,9540.7,2025-10-27,ACTIVE
CUSTOMER_COMPLAINTS00000014,REF00338097,5709.36,2025-12-30,ACTIVE
CUSTOMER_COMPLAINTS00000015,REF00137912,8701.52,2026-01-14,COMPLETED
CUSTOMER_COMPLAINTS00000016,REF00680623,9022.25,2025-08-01,COMPLETED
CUSTOMER_COMPLAINTS00000017,REF00242902,5979.57,2025-06-04,CANCELLED
CUSTOMER_COMPLAINTS00000018,REF00456511,3549.37,2025-07-26,ACTIVE
CUSTOMER_COMPLAINTS00000019,REF00339541,3487.06,2025-09-23,COMPLETED
CUSTOMER_COMPLAINTS00000020,REF00851678,1113.51,2025-10-07,PENDING
CUSTOMER_COMPLAINTS00000021,REF00902547,6878.35,2025-08-14,CANCELLED
CUSTOMER_COMPLAINTS00000022,REF00715755,1694.86,2025-09-08,CANCELLED
CUSTOMER_COMPLAINTS00000023,REF00175895,6903.15,2025-02-12,CANCELLED
CUSTOMER_COMPLAINTS00000024,REF00834226,390.28,2025-08-16,CANCELLED
CUSTOMER_COMPLAINTS00000025,REF00586184,7825.22,2025-03-11,CANCELLED
CUSTOMER_COMPLAINTS00000026,REF00664636,9652.92,2026-01-08,ACTIVE
CUSTOMER_COMPLAINTS00000027,REF00620006,5772.82,2025-04-09,ACTIVE
CUSTOMER_COMPLAINTS00000028,REF00063485,7177.91,2025-07-07,PENDING
CUSTOMER_COMPLAINTS00000029,REF00370991,9866.87,2025-09-20,ACTIVE
CUSTOMER_COMPLAINTS00000030,REF00629587,8034.99,2025-09-19,COMPLETED
CUSTOMER_COMPLAINTS00000031,REF00536128,309.39,2025-04-27,CANCELLED
CUSTOMER_COMPLAINTS00000032,REF00981290,4730.34,2025-03-15,CANCELLED
CUSTOMER_COMPLAINTS00000033,REF00989791,6814.72,2025-06-17,CANCELLED
CUSTOMER_COMPLAINTS00000034,REF00596998,1341.81,2025-01-27,COMPLETED
CUSTOMER_COMPLAINTS00000035,REF00786181,2829.51,2025-03-27,COMPLETED
CUSTOMER_COMPLAINTS00000036,REF00399560,2420.7,2025-04-05,CANCELLED
CUSTOMER_COMPLAINTS00000037,REF00427027,3747.72,2025-06-04,COMPLETED
CUSTOMER_COMPLAINTS00000038,REF00378981,3032.3,2025-04-16,CANCELLED
CUSTOMER_COMPLAINTS00000039,REF00894177,8792.05,2025-03-16,CANCELLED
CUSTOMER_COMPLAINTS00000040,REF00599391,9026.55,2025-07-12,CANCELLED
CUSTOMER_COMPLAINTS00000041,REF00325010,7879.89,2025-11-15,COMPLETED
CUSTOMER_COMPLAINTS00000042,REF00875635,6538.88,2025-02-24,COMPLETED
CUSTOMER_COMPLAINTS00000043,REF00311540,1318.09,2025-09-10,ACTIVE
CUSTOMER_COMPLAINTS00000044,REF00715985,3857.94,2025-09-11,COMPLETED
CUSTOMER_COMPLAINTS00000045,REF00171555,4484.7,2025-03-08,PENDING
CUSTOMER_COMPLAINTS00000046,REF00861512,4661.07,2025-03-28,CANCELLED
CUSTOMER_COMPLAINTS00000047,REF00221001,9755.68,2025-08-13,CANCELLED
CUSTOMER_COMPLAINTS00000048,REF00477048,5651.33,2025-04-27,ACTIVE
CUSTOMER_COMPLAINTS00000049,REF00976203,5503.39,2025-05-20,COMPLETED
CUSTOMER_COMPLAINTS00000050,REF00746249,8246.17,2025-10-21,PENDING
CUSTOMER_COMPLAINTS00000051,REF00155591,1758.23,2025-08-16,CANCELLED
CUSTOMER_COMPLAINTS00000052,REF00613939,8802.53,2025-04-09,CANCELLED
CUSTOMER_COMPLAINTS00000053,REF00119556,2461.71,2025-09-07,ACTIVE
CUSTOMER_COMPLAINTS00000054,REF00658086,3343.45,2025-03-13,PENDING
CUSTOMER_COMPLAINTS00000055,REF00800037,2321.96,2026-01-14,ACTIVE
CUSTOMER_COMPLAINTS00000056,REF00068088,5381.17,2025-10-04,ACTIVE
CUSTOMER_COMPLAINTS00000057,REF00289214,2403.75,2025-10-18,COMPLETED
CUSTOMER_COMPLAINTS00000058,REF00442011,3307.04,2025-03-09,ACTIVE
CUSTOMER_COMPLAINTS00000059,REF00859988,6269.61,2025-11-19,CANCELLED
CUSTOMER_COMPLAINTS00000060,REF00250891,6876.76,2025-07-11,ACTIVE
CUSTOMER_COMPLAINTS00000061,REF00467355,7472.45,2025-09-06,PENDING
CUSTOMER_COMPLAINTS00000062,REF00753933,5205.55,2025-10-08,COMPLETED
CUSTOMER_COMPLAINTS00000063,REF00250803,2062.06,2025-10-29,COMPLETED
CUSTOMER_COMPLAINTS00000064,REF00223133,4591.99,2025-08-03,CANCELLED
CUSTOMER_COMPLAINTS00000065,REF00618034,9934.1,2025-04-24,COMPLETED
CUSTOMER_COMPLAINTS00000066,REF00284372,8165.42,2025-04-03,COMPLETED
CUSTOMER_COMPLAINTS00000067,REF00907087,2624.35,2025-08-22,COMPLETED
CUSTOMER_COMPLAINTS00000068,REF00480795,1701.2,2025-05-07,ACTIVE
CUSTOMER_COMPLAINTS00000069,REF00412346,5785.03,2025-06-15,CANCELLED
CUSTOMER_COMPLAINTS00000070,REF00478292,6211.09,2025-04-13,ACTIVE
CUSTOMER_COMPLAINTS00000071,REF00571280,422.55,2025-09-21,ACTIVE
CUSTOMER_COMPLAINTS00000072,REF00411406,4142.81,2025-03-07,ACTIVE
CUSTOMER_COMPLAINTS00000073,REF00090463,4162.22,2025-06-06,ACTIVE
CUSTOMER_COMPLAINTS00000074,REF00196453,4546.9,2025-12-08,CANCELLED
CUSTOMER_COMPLAINTS00000075,REF00744937,1554.62,2025-07-07,COMPLETED
CUSTOMER_COMPLAINTS00000076,REF00143608,5256.33,2025-04-23,COMPLETED
CUSTOMER_COMPLAINTS00000077,REF00494910,6154.81,2025-04-18,ACTIVE
