id,reference_id,amount,date,status
PRICING_MASTER00000001,REF00380723,406.51,2025-07-02,CANCELLED
PRICING_MASTER00000002,REF00246607,7274.49,2025-07-31,COMPLETED
PRICING_MASTER00000003,REF00730042,1921.36,2025-12-03,ACTIVE
PRICING_MASTER00000004,REF00754447,5169.36,2025-12-03,ACTIVE
PRICING_MASTER00000005,REF00787490,7605.9,2025-02-18,CANCELLED
PRICING_MASTER00000006,REF00143208,9916.39,2026-01-06,COMPLETED
PRICING_MASTER00000007,REF00847557,9674.34,2026-01-03,COMPLETED
PRICING_MASTER00000008,REF00902258,2803.65,2026-01-06,ACTIVE
PRICING_MASTER00000009,REF00141537,8923.2,2025-09-01,PENDING
PRICING_MASTER00000010,REF00587754,2024.21,2025-05-08,COMPLETED
PRICING_MASTER00000011,REF00375466,323.77,2025-10-26,PENDING
PRICING_MASTER00000012,REF00384258,2748.13,2025-03-24,COMPLETED
PRICING_MASTER00000013,REF00706213,6363.89,2025-04-04,CANCELLED
PRICING_MASTER00000014,REF00355895,8964.08,2025-12-04,COMPLETED
PRICING_MASTER00000015,REF00484654,5095.69,2025-06-27,CANCELLED
PRICING_MASTER00000016,REF00093631,8352.18,2025-02-01,ACTIVE
PRICING_MASTER00000017,REF00006050,1075.58,2025-06-07,CANCELLED
PRICING_MASTER00000018,REF00134509,2638.17,2025-06-21,COMPLETED
PRICING_MASTER00000019,REF00805264,6195.1,2025-07-31,PENDING
PRICING_MASTER00000020,REF00888457,8022.76,2025-09-01,ACTIVE
PRICING_MASTER00000021,REF00128674,6146.35,2025-04-19,ACTIVE
PRICING_MASTER00000022,REF00163238,2613.47,2025-03-01,COMPLETED
PRICING_MASTER00000023,REF00079405,2028.37,2025-02-25,CANCELLED
PRICING_MASTER00000024,REF00010889,2282.64,2025-03-10,PENDING
PRICING_MASTER00000025,REF00364310,3858.45,2025-04-23,PENDING
PRICING_MASTER00000026,REF00735018,7265.32,2025-10-16,COMPLETED
PRICING_MASTER00000027,REF00675308,7478.19,2025-06-02,COMPLETED
PRICING_MASTER00000028,REF00180577,3433.16,2025-12-14,CANCELLED
PRICING_MASTER00000029,REF00987104,820.57,2025-12-31,PENDING
PRICING_MASTER00000030,REF00117673,5689.45,2025-05-24,PENDING
PRICING_MASTER00000031,REF00909286,2585.35,2025-05-07,ACTIVE
PRICING_MASTER00000032,REF00562328,5430.47,2025-07-07,PENDING
PRICING_MASTER00000033,REF00040375,2334.72,2025-06-20,COMPLETED
PRICING_MASTER00000034,REF00343048,1239.83,2025-07-06,PENDING
PRICING_MASTER00000035,REF00610943,8665.56,2025-04-26,ACTIVE
PRICING_MASTER00000036,REF00786556,4238.67,2025-08-10,PENDING
PRICING_MASTER00000037,REF00750084,3788.15,2025-10-10,CANCELLED
PRICING_MASTER00000038,REF00765236,5620.66,2025-11-15,CANCELLED
PRICING_MASTER00000039,REF00510284,8010.82,2025-07-13,COMPLETED
PRICING_MASTER00000040,REF00315822,3825.59,2026-01-20,CANCELLED
PRICING_MASTER00000041,REF00748979,577.03,2025-10-19,CANCELLED
PRICING_MASTER00000042,REF00964891,9995.5,2025-04-28,PENDING
PRICING_MASTER00000043,REF00465043,5132.14,2025-03-01,ACTIVE
PRICING_MASTER00000044,REF00957754,8699.27,2025-10-25,CANCELLED
PRICING_MASTER00000045,REF00829451,6139.47,2025-03-16,PENDING
PRICING_MASTER00000046,REF00669618,8730.07,2025-05-29,COMPLETED
PRICING_MASTER00000047,REF00583984,3650.4,2026-01-15,PENDING
PRICING_MASTER00000048,REF00224416,458.75,2025-03-05,ACTIVE
PRICING_MASTER00000049,REF00757160,8636.74,2025-11-10,PENDING
PRICING_MASTER00000050,REF00063796,9212.8,2025-05-19,PENDING
