id,reference_id,amount,date,status
ALERTS_NOTIFICATIONS00000001,REF00881537,4415.36,2025-06-17,ACTIVE
ALERTS_NOTIFICATIONS00000002,REF00659064,9774.84,2025-12-07,PENDING
ALERTS_NOTIFICATIONS00000003,REF00688984,2791.18,2025-12-28,CANCELLED
ALERTS_NOTIFICATIONS00000004,REF00926639,3728.89,2025-03-15,COMPLETED
ALERTS_NOTIFICATIONS00000005,REF00754295,7540.85,2025-11-16,ACTIVE
ALERTS_NOTIFICATIONS00000006,REF00427157,9533.0,2026-01-09,ACTIVE
ALERTS_NOTIFICATIONS00000007,REF00633148,426.58,2025-05-11,ACTIVE
ALERTS_NOTIFICATIONS00000008,REF00934254,694.05,2025-03-19,COMPLETED
ALERTS_NOTIFICATIONS00000009,REF00890091,9870.74,2025-12-27,PENDING
ALERTS_NOTIFICATIONS00000010,REF00172086,4668.36,2025-02-03,CANCELLED
ALERTS_NOTIFICATIONS00000011,REF00324582,4776.4,2025-02-14,ACTIVE
ALERTS_NOTIFICATIONS00000012,REF00338005,3899.45,2025-06-20,COMPLETED
ALERTS_NOTIFICATIONS00000013,REF00254464,3012.38,2025-04-18,PENDING
ALERTS_NOTIFICATIONS00000014,REF00610854,9307.12,2025-02-22,PENDING
ALERTS_NOTIFICATIONS00000015,REF00229503,2444.58,2025-03-18,ACTIVE
ALERTS_NOTIFICATIONS00000016,REF00716754,9052.41,2025-11-23,CANCELLED
ALERTS_NOTIFICATIONS00000017,REF00791486,9938.24,2025-04-09,PENDING
ALERTS_NOTIFICATIONS00000018,REF00303495,1670.57,2025-10-15,COMPLETED
ALERTS_NOTIFICATIONS00000019,REF00309546,9692.23,2025-01-23,CANCELLED
ALERTS_NOTIFICATIONS00000020,REF00339530,8910.89,2025-12-10,ACTIVE
ALERTS_NOTIFICATIONS00000021,REF00456272,2780.01,2025-05-18,PENDING
ALERTS_NOTIFICATIONS00000022,REF00349879,5165.63,2025-06-28,COMPLETED
ALERTS_NOTIFICATIONS00000023,REF00994434,5651.92,2025-07-06,CANCELLED
ALERTS_NOTIFICATIONS00000024,REF00547412,6142.12,2025-10-14,COMPLETED
ALERTS_NOTIFICATIONS00000025,REF00272021,8021.35,2025-03-25,PENDING
ALERTS_NOTIFICATIONS00000026,REF00598365,4766.2,2025-10-05,PENDING
ALERTS_NOTIFICATIONS00000027,REF00338212,993.33,2025-06-25,COMPLETED
ALERTS_NOTIFICATIONS00000028,REF00759250,1229.76,2025-09-28,PENDING
ALERTS_NOTIFICATIONS00000029,REF00229846,5435.08,2025-02-03,PENDING
ALERTS_NOTIFICATIONS00000030,REF00792849,9530.55,2025-10-13,CANCELLED
ALERTS_NOTIFICATIONS00000031,REF00213380,4245.34,2025-05-13,ACTIVE
ALERTS_NOTIFICATIONS00000032,REF00609995,2668.12,2025-08-02,ACTIVE
ALERTS_NOTIFICATIONS00000033,REF00276331,8884.08,2025-01-23,CANCELLED
ALERTS_NOTIFICATIONS00000034,REF00397149,9698.45,2025-09-03,CANCELLED
ALERTS_NOTIFICATIONS00000035,REF00600710,4038.15,2025-12-06,ACTIVE
ALERTS_NOTIFICATIONS00000036,REF00441120,2764.37,2025-07-27,COMPLETED
ALERTS_NOTIFICATIONS00000037,REF00482690,1581.3,2026-01-06,CANCELLED
ALERTS_NOTIFICATIONS00000038,REF00281873,9258.33,2025-12-26,CANCELLED
ALERTS_NOTIFICATIONS00000039,REF00498675,7334.5,2025-12-12,CANCELLED
ALERTS_NOTIFICATIONS00000040,REF00743233,2912.66,2026-01-01,ACTIVE
ALERTS_NOTIFICATIONS00000041,REF00139816,4602.53,2025-09-01,PENDING
ALERTS_NOTIFICATIONS00000042,REF00717408,7370.7,2025-06-13,COMPLETED
ALERTS_NOTIFICATIONS00000043,REF00507111,3186.55,2025-02-13,PENDING
ALERTS_NOTIFICATIONS00000044,REF00314945,4429.64,2025-05-07,ACTIVE
ALERTS_NOTIFICATIONS00000045,REF00712458,2805.97,2025-11-04,PENDING
ALERTS_NOTIFICATIONS00000046,REF00165503,9497.76,2025-09-25,ACTIVE
ALERTS_NOTIFICATIONS00000047,REF00598950,8945.92,2025-02-14,CANCELLED
ALERTS_NOTIFICATIONS00000048,REF00960624,6068.32,2025-07-08,COMPLETED
ALERTS_NOTIFICATIONS00000049,REF00948539,8881.26,2025-02-24,COMPLETED
ALERTS_NOTIFICATIONS00000050,REF00693281,6011.89,2025-08-01,ACTIVE
ALERTS_NOTIFICATIONS00000051,REF00980221,2439.13,2025-02-18,PENDING
ALERTS_NOTIFICATIONS00000052,REF00214259,6132.89,2025-06-30,COMPLETED
ALERTS_NOTIFICATIONS00000053,REF00982225,2656.84,2025-05-18,PENDING
ALERTS_NOTIFICATIONS00000054,REF00863578,7817.93,2025-05-04,COMPLETED
ALERTS_NOTIFICATIONS00000055,REF00351518,306.43,2025-04-29,ACTIVE
ALERTS_NOTIFICATIONS00000056,REF00113794,2760.09,2025-10-02,PENDING
ALERTS_NOTIFICATIONS00000057,REF00420718,9901.17,2025-02-18,COMPLETED
ALERTS_NOTIFICATIONS00000058,REF00668847,2491.71,2026-01-02,CANCELLED
ALERTS_NOTIFICATIONS00000059,REF00136235,142.74,2025-09-09,CANCELLED
ALERTS_NOTIFICATIONS00000060,REF00952041,8302.63,2025-03-17,COMPLETED
ALERTS_NOTIFICATIONS00000061,REF00001603,460.76,2025-02-12,COMPLETED
ALERTS_NOTIFICATIONS00000062,REF00979271,9877.82,2025-02-27,CANCELLED
ALERTS_NOTIFICATIONS00000063,REF00614473,4542.67,2025-09-23,COMPLETED
ALERTS_NOTIFICATIONS00000064,REF00893343,7079.06,2025-02-03,CANCELLED
