id,reference_id,amount,date,status
SMS_LOG00000001,REF00803964,5378.52,2025-07-14,PENDING
SMS_LOG00000002,REF00000557,410.28,2025-09-26,COMPLETED
SMS_LOG00000003,REF00746638,7740.61,2025-03-15,COMPLETED
SMS_LOG00000004,REF00582830,8904.56,2025-10-04,ACTIVE
SMS_LOG00000005,REF00152273,5217.28,2025-03-02,ACTIVE
SMS_LOG00000006,REF00235917,1948.83,2025-01-24,ACTIVE
SMS_LOG00000007,REF00676319,2820.6,2025-10-11,ACTIVE
SMS_LOG00000008,REF00953327,5863.02,2025-07-26,COMPLETED
SMS_LOG00000009,REF00350780,2300.81,2025-07-30,PENDING
SMS_LOG00000010,REF00036602,5429.58,2025-04-29,COMPLETED
SMS_LOG00000011,REF00492001,3408.92,2025-06-01,COMPLETED
SMS_LOG00000012,REF00982934,8052.37,2025-10-10,COMPLETED
SMS_LOG00000013,REF00694334,8581.43,2025-06-27,CANCELLED
SMS_LOG00000014,REF00304346,2596.98,2025-07-17,PENDING
SMS_LOG00000015,REF00384820,6879.16,2025-09-21,COMPLETED
SMS_LOG00000016,REF00201270,7145.34,2025-05-22,CANCELLED
SMS_LOG00000017,REF00879649,157.16,2025-11-15,ACTIVE
SMS_LOG00000018,REF00982720,3878.38,2025-08-24,COMPLETED
SMS_LOG00000019,REF00216998,2829.87,2025-03-10,CANCELLED
SMS_LOG00000020,REF00075619,3898.6,2025-11-15,COMPLETED
SMS_LOG00000021,REF00922890,8340.42,2025-11-18,PENDING
SMS_LOG00000022,REF00358056,3515.65,2025-06-02,COMPLETED
SMS_LOG00000023,REF00800675,4382.99,2025-05-08,PENDING
SMS_LOG00000024,REF00270836,1098.62,2025-12-10,COMPLETED
SMS_LOG00000025,REF00807650,8523.8,2025-04-13,PENDING
SMS_LOG00000026,REF00594280,6019.74,2025-12-01,CANCELLED
SMS_LOG00000027,REF00481194,6960.17,2025-04-02,CANCELLED
SMS_LOG00000028,REF00154838,8776.8,2025-11-24,ACTIVE
SMS_LOG00000029,REF00307180,6784.86,2025-02-13,CANCELLED
SMS_LOG00000030,REF00271585,1498.32,2025-08-28,COMPLETED
SMS_LOG00000031,REF00209639,995.16,2025-12-30,ACTIVE
SMS_LOG00000032,REF00464874,5374.61,2025-10-11,COMPLETED
SMS_LOG00000033,REF00474969,8313.87,2025-09-25,COMPLETED
SMS_LOG00000034,REF00009396,9207.92,2025-06-11,COMPLETED
SMS_LOG00000035,REF00772660,6017.41,2025-10-07,CANCELLED
SMS_LOG00000036,REF00052701,407.62,2025-04-05,CANCELLED
SMS_LOG00000037,REF00123070,8242.94,2025-03-16,COMPLETED
SMS_LOG00000038,REF00242841,5392.65,2025-05-25,PENDING
SMS_LOG00000039,REF00002984,8413.6,2025-02-14,CANCELLED
SMS_LOG00000040,REF00772011,2828.31,2025-06-17,PENDING
SMS_LOG00000041,REF00511659,8280.87,2025-03-12,CANCELLED
SMS_LOG00000042,REF00888261,6635.51,2025-04-05,COMPLETED
SMS_LOG00000043,REF00340431,7861.71,2025-12-02,ACTIVE
SMS_LOG00000044,REF00308821,9155.15,2025-10-08,COMPLETED
SMS_LOG00000045,REF00409647,641.33,2025-08-10,CANCELLED
SMS_LOG00000046,REF00114369,8581.76,2025-11-26,ACTIVE
SMS_LOG00000047,REF00560852,4613.43,2025-04-15,ACTIVE
SMS_LOG00000048,REF00666608,1613.84,2025-09-25,PENDING
SMS_LOG00000049,REF00174386,7437.2,2025-08-08,PENDING
SMS_LOG00000050,REF00285925,8304.53,2025-11-18,COMPLETED
SMS_LOG00000051,REF00743592,915.38,2025-10-20,ACTIVE
SMS_LOG00000052,REF00247671,9487.26,2025-02-16,ACTIVE
SMS_LOG00000053,REF00597768,2465.0,2025-08-29,COMPLETED
SMS_LOG00000054,REF00395146,7127.2,2025-06-03,PENDING
SMS_LOG00000055,REF00546949,2672.06,2025-09-22,PENDING
SMS_LOG00000056,REF00413120,7127.56,2025-07-06,PENDING
SMS_LOG00000057,REF00699461,7876.54,2025-03-22,CANCELLED
SMS_LOG00000058,REF00716350,7841.62,2026-01-01,CANCELLED
SMS_LOG00000059,REF00053658,3916.36,2025-12-09,CANCELLED
SMS_LOG00000060,REF00199895,371.49,2025-04-23,PENDING
SMS_LOG00000061,REF00539106,5920.26,2025-10-02,ACTIVE
SMS_LOG00000062,REF00445943,1337.45,2025-03-05,PENDING
SMS_LOG00000063,REF00444122,2362.46,2025-03-08,CANCELLED
SMS_LOG00000064,REF00029653,3238.86,2025-10-12,ACTIVE
SMS_LOG00000065,REF00184718,6135.73,2025-04-12,CANCELLED
SMS_LOG00000066,REF00690966,3723.9,2025-11-13,CANCELLED
SMS_LOG00000067,REF00674166,5508.29,2025-11-23,COMPLETED
SMS_LOG00000068,REF00047881,3251.5,2025-03-11,CANCELLED
SMS_LOG00000069,REF00583317,5356.24,2025-06-12,ACTIVE
SMS_LOG00000070,REF00752634,2685.73,2025-08-02,COMPLETED
SMS_LOG00000071,REF00619746,8369.37,2025-10-15,ACTIVE
SMS_LOG00000072,REF00943314,59.08,2025-12-27,COMPLETED
SMS_LOG00000073,REF00941047,2678.29,2025-11-30,ACTIVE
SMS_LOG00000074,REF00556361,8978.21,2025-08-19,ACTIVE
SMS_LOG00000075,REF00998999,4862.43,2025-02-07,CANCELLED
SMS_LOG00000076,REF00156637,563.14,2025-06-15,CANCELLED
SMS_LOG00000077,REF00624221,3871.87,2026-01-01,COMPLETED
SMS_LOG00000078,REF00094234,42.99,2025-05-19,PENDING
SMS_LOG00000079,REF00223214,1235.07,2026-01-18,ACTIVE
SMS_LOG00000080,REF00813679,9621.89,2025-12-28,PENDING
SMS_LOG00000081,REF00992891,8940.81,2025-11-05,COMPLETED
SMS_LOG00000082,REF00075222,7391.59,2025-03-02,COMPLETED
SMS_LOG00000083,REF00545446,9670.11,2025-08-14,CANCELLED
SMS_LOG00000084,REF00731874,2688.23,2025-08-16,COMPLETED
SMS_LOG00000085,REF00235780,6841.71,2025-02-26,CANCELLED
SMS_LOG00000086,REF00420733,9167.45,2026-01-06,COMPLETED
SMS_LOG00000087,REF00025027,956.57,2025-07-26,CANCELLED
SMS_LOG00000088,REF00716597,1184.71,2025-08-14,PENDING
SMS_LOG00000089,REF00247732,9261.08,2025-04-02,CANCELLED
SMS_LOG00000090,REF00969136,8748.56,2025-01-22,CANCELLED
SMS_LOG00000091,REF00856547,9470.78,2025-04-10,PENDING
SMS_LOG00000092,REF00103108,8454.1,2025-10-15,PENDING
SMS_LOG00000093,REF00366231,1193.61,2026-01-16,CANCELLED
SMS_LOG00000094,REF00279682,1902.54,2025-07-23,CANCELLED
