id,reference_id,amount,date,status
AUDIT_TRAIL00000001,REF00548865,1950.49,2025-07-30,PENDING
AUDIT_TRAIL00000002,REF00536472,4946.65,2025-06-03,ACTIVE
AUDIT_TRAIL00000003,REF00135544,6082.42,2025-07-10,CANCELLED
AUDIT_TRAIL00000004,REF00819749,4713.86,2025-05-21,CANCELLED
AUDIT_TRAIL00000005,REF00800944,4971.77,2025-05-24,ACTIVE
AUDIT_TRAIL00000006,REF00260586,546.32,2025-12-07,ACTIVE
AUDIT_TRAIL00000007,REF00108673,3975.92,2025-06-18,CANCELLED
AUDIT_TRAIL00000008,REF00970299,6341.77,2025-05-02,COMPLETED
AUDIT_TRAIL00000009,REF00178197,9576.83,2026-01-10,PENDING
AUDIT_TRAIL00000010,REF00165841,4523.33,2025-09-04,PENDING
AUDIT_TRAIL00000011,REF00334966,6751.96,2025-01-22,ACTIVE
AUDIT_TRAIL00000012,REF00022265,6082.01,2025-05-14,COMPLETED
AUDIT_TRAIL00000013,REF00469930,8236.38,2025-04-10,CANCELLED
AUDIT_TRAIL00000014,REF00621638,1535.72,2025-11-08,ACTIVE
AUDIT_TRAIL00000015,REF00010848,1132.32,2025-02-06,COMPLETED
AUDIT_TRAIL00000016,REF00128364,1903.13,2025-11-08,COMPLETED
AUDIT_TRAIL00000017,REF00534675,9345.28,2025-02-12,ACTIVE
AUDIT_TRAIL00000018,REF00646133,3588.94,2026-01-06,CANCELLED
AUDIT_TRAIL00000019,REF00206495,5561.46,2025-10-17,COMPLETED
AUDIT_TRAIL00000020,REF00837776,9536.07,2025-03-01,COMPLETED
AUDIT_TRAIL00000021,REF00738387,3385.01,2025-10-29,COMPLETED
AUDIT_TRAIL00000022,REF00993528,8171.24,2025-03-03,CANCELLED
AUDIT_TRAIL00000023,REF00473396,9749.43,2025-01-27,PENDING
AUDIT_TRAIL00000024,REF00824150,555.48,2025-07-23,PENDING
AUDIT_TRAIL00000025,REF00853873,6537.59,2025-07-07,COMPLETED
AUDIT_TRAIL00000026,REF00533544,8446.46,2025-10-10,ACTIVE
AUDIT_TRAIL00000027,REF00802382,9079.63,2025-09-29,COMPLETED
AUDIT_TRAIL00000028,REF00560004,7804.69,2025-08-10,ACTIVE
AUDIT_TRAIL00000029,REF00054029,4209.89,2025-11-20,CANCELLED
AUDIT_TRAIL00000030,REF00232268,5848.95,2025-08-07,COMPLETED
AUDIT_TRAIL00000031,REF00048938,1931.41,2025-10-28,PENDING
AUDIT_TRAIL00000032,REF00682253,727.41,2025-10-25,PENDING
AUDIT_TRAIL00000033,REF00452369,5759.47,2025-06-05,PENDING
AUDIT_TRAIL00000034,REF00715774,1510.06,2025-07-07,PENDING
AUDIT_TRAIL00000035,REF00658873,4755.83,2025-02-09,CANCELLED
AUDIT_TRAIL00000036,REF00748987,8104.93,2026-01-18,CANCELLED
AUDIT_TRAIL00000037,REF00658787,9107.18,2025-05-20,COMPLETED
AUDIT_TRAIL00000038,REF00626500,9520.38,2025-01-31,CANCELLED
AUDIT_TRAIL00000039,REF00279239,5006.62,2025-10-27,CANCELLED
AUDIT_TRAIL00000040,REF00136452,1002.34,2025-03-04,CANCELLED
AUDIT_TRAIL00000041,REF00795027,964.32,2025-05-02,ACTIVE
AUDIT_TRAIL00000042,REF00849427,2006.65,2025-02-19,CANCELLED
AUDIT_TRAIL00000043,REF00277867,4395.65,2025-07-08,COMPLETED
AUDIT_TRAIL00000044,REF00547222,253.72,2025-10-09,CANCELLED
AUDIT_TRAIL00000045,REF00048436,5285.09,2025-07-18,COMPLETED
AUDIT_TRAIL00000046,REF00616205,5756.08,2025-06-26,PENDING
AUDIT_TRAIL00000047,REF00953712,2136.96,2025-02-21,CANCELLED
AUDIT_TRAIL00000048,REF00767103,787.62,2025-12-18,PENDING
AUDIT_TRAIL00000049,REF00721012,8945.43,2025-09-23,CANCELLED
AUDIT_TRAIL00000050,REF00020615,4811.1,2025-08-06,COMPLETED
AUDIT_TRAIL00000051,REF00788825,1230.0,2025-09-10,PENDING
AUDIT_TRAIL00000052,REF00049904,9545.66,2025-08-20,COMPLETED
AUDIT_TRAIL00000053,REF00398113,9698.57,2025-03-10,ACTIVE
AUDIT_TRAIL00000054,REF00880726,2429.55,2025-06-04,COMPLETED
AUDIT_TRAIL00000055,REF00619547,9030.96,2025-09-16,CANCELLED
AUDIT_TRAIL00000056,REF00089409,1436.09,2025-12-03,ACTIVE
AUDIT_TRAIL00000057,REF00734759,9164.73,2025-03-09,PENDING
AUDIT_TRAIL00000058,REF00093420,5728.5,2025-01-30,PENDING
AUDIT_TRAIL00000059,REF00258094,3307.81,2025-03-04,CANCELLED
AUDIT_TRAIL00000060,REF00962459,3206.68,2025-02-19,ACTIVE
AUDIT_TRAIL00000061,REF00678398,1828.76,2025-10-24,ACTIVE
AUDIT_TRAIL00000062,REF00358990,8619.07,2025-08-05,ACTIVE
AUDIT_TRAIL00000063,REF00650014,2290.1,2025-03-13,PENDING
AUDIT_TRAIL00000064,REF00112509,4320.66,2025-12-02,ACTIVE
AUDIT_TRAIL00000065,REF00981866,7966.76,2025-05-19,PENDING
AUDIT_TRAIL00000066,REF00747293,2134.79,2025-05-11,COMPLETED
AUDIT_TRAIL00000067,REF00003698,4529.09,2025-06-25,PENDING
AUDIT_TRAIL00000068,REF00673872,3809.18,2025-03-17,ACTIVE
AUDIT_TRAIL00000069,REF00255895,5616.42,2025-07-08,COMPLETED
AUDIT_TRAIL00000070,REF00696960,503.5,2025-11-30,CANCELLED
AUDIT_TRAIL00000071,REF00174649,8710.81,2025-03-28,ACTIVE
AUDIT_TRAIL00000072,REF00198539,4029.82,2025-12-05,PENDING
AUDIT_TRAIL00000073,REF00019310,5852.01,2025-08-22,CANCELLED
AUDIT_TRAIL00000074,REF00191524,408.79,2026-01-04,PENDING
AUDIT_TRAIL00000075,REF00910843,505.16,2025-10-16,CANCELLED
AUDIT_TRAIL00000076,REF00827991,6673.31,2025-02-11,ACTIVE
AUDIT_TRAIL00000077,REF00470099,3749.96,2025-08-31,CANCELLED
AUDIT_TRAIL00000078,REF00714390,6552.35,2025-12-29,CANCELLED
AUDIT_TRAIL00000079,REF00541881,5465.22,2025-12-11,PENDING
AUDIT_TRAIL00000080,REF00960480,6466.16,2025-10-24,ACTIVE
AUDIT_TRAIL00000081,REF00518300,9384.98,2025-02-01,CANCELLED
AUDIT_TRAIL00000082,REF00985980,5072.8,2025-09-16,ACTIVE
AUDIT_TRAIL00000083,REF00641667,155.05,2025-08-27,PENDING
AUDIT_TRAIL00000084,REF00026792,6285.92,2025-04-25,ACTIVE
AUDIT_TRAIL00000085,REF00650067,6401.82,2025-08-13,PENDING
AUDIT_TRAIL00000086,REF00387379,806.25,2025-10-16,ACTIVE
AUDIT_TRAIL00000087,REF00175266,7756.25,2025-08-16,PENDING
AUDIT_TRAIL00000088,REF00326314,1547.77,2025-06-27,PENDING
AUDIT_TRAIL00000089,REF00263397,7542.93,2025-12-31,PENDING
AUDIT_TRAIL00000090,REF00411449,3425.64,2025-09-29,CANCELLED
AUDIT_TRAIL00000091,REF00923275,9451.73,2025-12-25,ACTIVE
AUDIT_TRAIL00000092,REF00684630,9906.92,2025-08-28,COMPLETED
AUDIT_TRAIL00000093,REF00228216,5048.08,2025-11-08,PENDING
AUDIT_TRAIL00000094,REF00318274,8923.54,2025-12-10,PENDING
AUDIT_TRAIL00000095,REF00489449,1071.57,2025-08-14,PENDING
AUDIT_TRAIL00000096,REF00770659,8603.16,2025-02-21,CANCELLED
AUDIT_TRAIL00000097,REF00242100,4324.09,2025-11-08,CANCELLED
AUDIT_TRAIL00000098,REF00653736,2865.98,2025-07-22,CANCELLED
AUDIT_TRAIL00000099,REF00249148,1328.7,2025-10-01,PENDING
AUDIT_TRAIL00000100,REF00345341,3497.08,2025-04-15,ACTIVE
AUDIT_TRAIL00000101,REF00789865,8451.37,2025-07-27,PENDING
AUDIT_TRAIL00000102,REF00274823,7204.97,2025-08-23,PENDING
AUDIT_TRAIL00000103,REF00989899,2542.01,2026-01-10,CANCELLED
AUDIT_TRAIL00000104,REF00883298,1097.41,2025-06-05,PENDING
AUDIT_TRAIL00000105,REF00640190,1930.63,2025-03-13,ACTIVE
AUDIT_TRAIL00000106,REF00340839,2972.95,2025-09-16,COMPLETED
AUDIT_TRAIL00000107,REF00009842,4504.95,2025-12-21,COMPLETED
AUDIT_TRAIL00000108,REF00894608,5627.52,2025-02-03,PENDING
AUDIT_TRAIL00000109,REF00861276,5269.22,2025-12-19,ACTIVE
AUDIT_TRAIL00000110,REF00060161,1167.32,2025-03-19,ACTIVE
AUDIT_TRAIL00000111,REF00870881,9614.74,2025-07-19,PENDING
AUDIT_TRAIL00000112,REF00383584,6952.18,2025-08-15,COMPLETED
AUDIT_TRAIL00000113,REF00040158,4234.34,2026-01-05,COMPLETED
AUDIT_TRAIL00000114,REF00631896,900.58,2025-05-30,ACTIVE
AUDIT_TRAIL00000115,REF00839937,4690.48,2025-01-22,CANCELLED
AUDIT_TRAIL00000116,REF00362967,1617.26,2025-10-08,COMPLETED
AUDIT_TRAIL00000117,REF00010673,1119.89,2026-01-11,CANCELLED
AUDIT_TRAIL00000118,REF00530755,900.9,2025-03-27,CANCELLED
AUDIT_TRAIL00000119,REF00758784,6294.52,2025-05-04,PENDING
AUDIT_TRAIL00000120,REF00429041,2356.79,2025-12-23,PENDING
AUDIT_TRAIL00000121,REF00966931,7223.23,2025-10-16,COMPLETED
AUDIT_TRAIL00000122,REF00571943,696.95,2025-04-04,CANCELLED
AUDIT_TRAIL00000123,REF00575736,5623.69,2025-07-25,CANCELLED
AUDIT_TRAIL00000124,REF00841389,9863.54,2025-03-12,COMPLETED
AUDIT_TRAIL00000125,REF00657358,6329.81,2025-07-02,PENDING
AUDIT_TRAIL00000126,REF00287229,8510.31,2025-02-25,CANCELLED
AUDIT_TRAIL00000127,REF00731391,6103.46,2025-07-27,CANCELLED
AUDIT_TRAIL00000128,REF00810666,6894.52,2025-08-10,PENDING
AUDIT_TRAIL00000129,REF00342331,6485.32,2026-01-10,ACTIVE
AUDIT_TRAIL00000130,REF00476147,7062.14,2025-01-24,COMPLETED
AUDIT_TRAIL00000131,REF00644360,2549.36,2025-02-03,COMPLETED
AUDIT_TRAIL00000132,REF00030431,163.68,2025-10-11,ACTIVE
AUDIT_TRAIL00000133,REF00715389,8865.45,2025-04-27,PENDING
AUDIT_TRAIL00000134,REF00662416,7245.49,2025-06-08,PENDING
AUDIT_TRAIL00000135,REF00145445,6622.87,2025-04-02,PENDING
AUDIT_TRAIL00000136,REF00521493,8281.98,2025-03-14,PENDING
AUDIT_TRAIL00000137,REF00428328,8324.83,2025-12-22,PENDING
AUDIT_TRAIL00000138,REF00758505,2696.96,2025-12-28,COMPLETED
AUDIT_TRAIL00000139,REF00832005,4431.02,2026-01-02,ACTIVE
AUDIT_TRAIL00000140,REF00441776,8262.93,2025-09-18,CANCELLED
AUDIT_TRAIL00000141,REF00013328,6048.1,2025-09-10,CANCELLED
AUDIT_TRAIL00000142,REF00070258,7022.1,2025-08-18,PENDING
AUDIT_TRAIL00000143,REF00809044,6553.89,2025-05-29,PENDING
AUDIT_TRAIL00000144,REF00627363,8594.13,2025-10-07,ACTIVE
AUDIT_TRAIL00000145,REF00249574,548.93,2026-01-04,ACTIVE
AUDIT_TRAIL00000146,REF00591170,5213.45,2025-05-09,CANCELLED
AUDIT_TRAIL00000147,REF00574596,1786.93,2025-12-02,COMPLETED
AUDIT_TRAIL00000148,REF00260340,3450.95,2025-08-07,CANCELLED
AUDIT_TRAIL00000149,REF00588055,4710.89,2025-05-07,PENDING
AUDIT_TRAIL00000150,REF00398307,4915.79,2025-07-04,ACTIVE
AUDIT_TRAIL00000151,REF00539625,3847.67,2025-03-07,COMPLETED
AUDIT_TRAIL00000152,REF00326443,5524.73,2025-07-08,CANCELLED
AUDIT_TRAIL00000153,REF00436912,2717.29,2025-02-07,PENDING
AUDIT_TRAIL00000154,REF00775722,2571.06,2025-06-14,PENDING
AUDIT_TRAIL00000155,REF00660124,5158.59,2025-04-02,ACTIVE
AUDIT_TRAIL00000156,REF00478993,4802.17,2025-11-29,ACTIVE
AUDIT_TRAIL00000157,REF00103177,9553.73,2025-07-02,CANCELLED
AUDIT_TRAIL00000158,REF00667077,1398.05,2025-04-11,COMPLETED
AUDIT_TRAIL00000159,REF00933563,3212.86,2025-03-13,ACTIVE
AUDIT_TRAIL00000160,REF00176408,3936.39,2025-05-14,COMPLETED
AUDIT_TRAIL00000161,REF00052183,1873.45,2025-05-14,ACTIVE
AUDIT_TRAIL00000162,REF00225629,5486.68,2025-11-10,PENDING
AUDIT_TRAIL00000163,REF00172348,5976.03,2026-01-15,COMPLETED
AUDIT_TRAIL00000164,REF00151141,3632.73,2025-06-23,ACTIVE
AUDIT_TRAIL00000165,REF00665564,6835.28,2025-03-08,ACTIVE
AUDIT_TRAIL00000166,REF00108777,7554.81,2025-08-06,COMPLETED
AUDIT_TRAIL00000167,REF00508275,4526.14,2025-05-14,PENDING
AUDIT_TRAIL00000168,REF00338887,2568.46,2025-04-27,ACTIVE
AUDIT_TRAIL00000169,REF00998383,4436.53,2025-10-12,ACTIVE
AUDIT_TRAIL00000170,REF00161687,2561.31,2025-08-10,ACTIVE
AUDIT_TRAIL00000171,REF00918746,4267.31,2025-06-01,ACTIVE
AUDIT_TRAIL00000172,REF00183276,4114.99,2025-03-30,PENDING
AUDIT_TRAIL00000173,REF00014344,7531.1,2025-11-23,COMPLETED
AUDIT_TRAIL00000174,REF00054818,9730.11,2026-01-16,COMPLETED
AUDIT_TRAIL00000175,REF00899376,140.55,2025-05-27,COMPLETED
AUDIT_TRAIL00000176,REF00749975,8754.83,2025-11-09,PENDING
AUDIT_TRAIL00000177,REF00784143,6618.06,2026-01-06,CANCELLED
AUDIT_TRAIL00000178,REF00402348,2808.87,2025-07-20,PENDING
AUDIT_TRAIL00000179,REF00844442,6303.63,2025-03-02,CANCELLED
AUDIT_TRAIL00000180,REF00307338,4493.86,2025-12-08,PENDING
AUDIT_TRAIL00000181,REF00600112,9715.88,2025-07-26,CANCELLED
AUDIT_TRAIL00000182,REF00080392,9952.3,2025-11-01,PENDING
AUDIT_TRAIL00000183,REF00588758,7625.83,2025-04-26,PENDING
AUDIT_TRAIL00000184,REF00608082,406.29,2025-10-19,COMPLETED
AUDIT_TRAIL00000185,REF00698496,5228.87,2025-08-04,ACTIVE
AUDIT_TRAIL00000186,REF00896018,3167.4,2025-10-12,PENDING
AUDIT_TRAIL00000187,REF00113324,6892.73,2025-03-17,CANCELLED
AUDIT_TRAIL00000188,REF00326283,8682.62,2025-09-05,ACTIVE
AUDIT_TRAIL00000189,REF00491246,7197.14,2025-07-23,COMPLETED
AUDIT_TRAIL00000190,REF00271553,4297.69,2025-04-11,PENDING
AUDIT_TRAIL00000191,REF00277077,5301.26,2025-09-21,PENDING
AUDIT_TRAIL00000192,REF00640336,1111.03,2025-08-09,PENDING
AUDIT_TRAIL00000193,REF00920595,1514.67,2025-04-10,ACTIVE
AUDIT_TRAIL00000194,REF00269627,6728.34,2025-04-23,COMPLETED
AUDIT_TRAIL00000195,REF00070704,4403.63,2025-05-18,CANCELLED
AUDIT_TRAIL00000196,REF00509458,7296.19,2025-01-25,CANCELLED
AUDIT_TRAIL00000197,REF00229771,6987.04,2025-02-15,COMPLETED
AUDIT_TRAIL00000198,REF00322266,4089.5,2025-01-27,COMPLETED
AUDIT_TRAIL00000199,REF00674293,9628.74,2025-05-21,COMPLETED
AUDIT_TRAIL00000200,REF00578603,5377.72,2026-01-04,PENDING
AUDIT_TRAIL00000201,REF00726646,2984.65,2025-11-14,CANCELLED
AUDIT_TRAIL00000202,REF00500606,3993.98,2025-10-09,ACTIVE
AUDIT_TRAIL00000203,REF00695013,3381.76,2025-12-28,PENDING
AUDIT_TRAIL00000204,REF00935625,4578.59,2025-08-07,CANCELLED
AUDIT_TRAIL00000205,REF00824262,8596.92,2025-06-29,PENDING
AUDIT_TRAIL00000206,REF00052909,9628.67,2025-12-30,ACTIVE
AUDIT_TRAIL00000207,REF00098134,74.46,2025-06-13,PENDING
AUDIT_TRAIL00000208,REF00983087,6239.28,2025-05-21,PENDING
AUDIT_TRAIL00000209,REF00783319,2700.62,2025-09-02,ACTIVE
AUDIT_TRAIL00000210,REF00102665,5400.87,2025-04-01,COMPLETED
AUDIT_TRAIL00000211,REF00167195,2758.43,2025-07-23,CANCELLED
AUDIT_TRAIL00000212,REF00555184,1797.09,2025-09-28,CANCELLED
AUDIT_TRAIL00000213,REF00871149,1968.16,2025-07-30,CANCELLED
AUDIT_TRAIL00000214,REF00430286,2428.75,2025-08-01,PENDING
AUDIT_TRAIL00000215,REF00349071,7041.97,2025-02-18,COMPLETED
AUDIT_TRAIL00000216,REF00023506,2847.31,2026-01-07,CANCELLED
AUDIT_TRAIL00000217,REF00258083,4326.85,2025-08-23,ACTIVE
AUDIT_TRAIL00000218,REF00897511,5652.79,2025-03-26,CANCELLED
AUDIT_TRAIL00000219,REF00177120,4965.04,2025-02-04,ACTIVE
AUDIT_TRAIL00000220,REF00189170,6289.59,2025-03-24,COMPLETED
AUDIT_TRAIL00000221,REF00080864,6409.25,2026-01-03,COMPLETED
AUDIT_TRAIL00000222,REF00195289,7494.96,2025-09-17,CANCELLED
AUDIT_TRAIL00000223,REF00766372,3397.34,2025-09-14,COMPLETED
AUDIT_TRAIL00000224,REF00595779,441.64,2025-10-04,PENDING
AUDIT_TRAIL00000225,REF00812952,5889.66,2025-12-28,COMPLETED
AUDIT_TRAIL00000226,REF00667591,3534.98,2025-02-16,PENDING
AUDIT_TRAIL00000227,REF00185608,2519.74,2026-01-10,ACTIVE
AUDIT_TRAIL00000228,REF00478476,3354.13,2025-06-22,ACTIVE
AUDIT_TRAIL00000229,REF00116459,7675.52,2025-02-03,PENDING
AUDIT_TRAIL00000230,REF00385741,3483.77,2025-03-27,PENDING
AUDIT_TRAIL00000231,REF00508639,5969.15,2025-09-21,COMPLETED
AUDIT_TRAIL00000232,REF00349763,195.4,2026-01-01,PENDING
AUDIT_TRAIL00000233,REF00450063,2601.24,2025-07-14,COMPLETED
AUDIT_TRAIL00000234,REF00779082,2213.72,2025-11-14,COMPLETED
AUDIT_TRAIL00000235,REF00096363,3928.02,2025-10-11,ACTIVE
AUDIT_TRAIL00000236,REF00056265,7946.27,2025-11-17,CANCELLED
AUDIT_TRAIL00000237,REF00969638,1936.92,2025-08-05,COMPLETED
AUDIT_TRAIL00000238,REF00126937,6002.87,2025-12-29,CANCELLED
AUDIT_TRAIL00000239,REF00163618,5329.44,2025-10-02,PENDING
AUDIT_TRAIL00000240,REF00312329,5298.82,2025-01-27,COMPLETED
AUDIT_TRAIL00000241,REF00713318,189.09,2025-05-19,PENDING
AUDIT_TRAIL00000242,REF00922562,3500.55,2025-11-07,PENDING
AUDIT_TRAIL00000243,REF00542415,7169.34,2025-06-24,PENDING
AUDIT_TRAIL00000244,REF00803612,6984.8,2025-09-04,PENDING
AUDIT_TRAIL00000245,REF00924585,9695.94,2026-01-21,CANCELLED
AUDIT_TRAIL00000246,REF00440981,5384.44,2025-09-08,PENDING
AUDIT_TRAIL00000247,REF00371928,8389.26,2025-08-13,ACTIVE
AUDIT_TRAIL00000248,REF00801385,6187.02,2025-02-20,PENDING
AUDIT_TRAIL00000249,REF00143240,8501.84,2025-03-27,PENDING
AUDIT_TRAIL00000250,REF00752201,5865.11,2025-05-26,COMPLETED
AUDIT_TRAIL00000251,REF00235258,79.84,2025-04-30,CANCELLED
AUDIT_TRAIL00000252,REF00266996,8457.57,2025-08-15,CANCELLED
AUDIT_TRAIL00000253,REF00262935,4474.69,2025-09-15,COMPLETED
AUDIT_TRAIL00000254,REF00283277,7722.59,2025-03-30,ACTIVE
AUDIT_TRAIL00000255,REF00026352,4027.1,2025-06-03,PENDING
AUDIT_TRAIL00000256,REF00231581,7844.08,2025-10-16,PENDING
AUDIT_TRAIL00000257,REF00075924,8584.54,2025-03-02,CANCELLED
AUDIT_TRAIL00000258,REF00740657,7201.91,2025-04-13,PENDING
AUDIT_TRAIL00000259,REF00104785,6239.05,2025-02-12,ACTIVE
AUDIT_TRAIL00000260,REF00090687,1427.23,2025-05-26,PENDING
AUDIT_TRAIL00000261,REF00564005,8478.56,2025-07-09,ACTIVE
AUDIT_TRAIL00000262,REF00514637,3638.84,2025-10-16,PENDING
AUDIT_TRAIL00000263,REF00146544,3961.07,2025-03-11,ACTIVE
AUDIT_TRAIL00000264,REF00224034,3954.01,2025-11-25,COMPLETED
AUDIT_TRAIL00000265,REF00627238,4760.59,2025-12-07,ACTIVE
AUDIT_TRAIL00000266,REF00310882,3355.78,2025-09-03,CANCELLED
AUDIT_TRAIL00000267,REF00718815,9880.73,2025-10-05,PENDING
AUDIT_TRAIL00000268,REF00647100,7112.2,2025-11-23,CANCELLED
AUDIT_TRAIL00000269,REF00256083,1258.03,2025-01-31,CANCELLED
AUDIT_TRAIL00000270,REF00980666,5342.54,2025-09-21,ACTIVE
AUDIT_TRAIL00000271,REF00462627,134.87,2025-11-24,PENDING
AUDIT_TRAIL00000272,REF00737338,7300.79,2025-03-27,ACTIVE
AUDIT_TRAIL00000273,REF00568394,7568.58,2025-04-27,COMPLETED
AUDIT_TRAIL00000274,REF00169615,3942.7,2025-12-02,COMPLETED
AUDIT_TRAIL00000275,REF00159755,5467.86,2025-10-25,CANCELLED
AUDIT_TRAIL00000276,REF00281873,4742.68,2025-05-17,CANCELLED
AUDIT_TRAIL00000277,REF00444384,7851.48,2025-07-16,PENDING
AUDIT_TRAIL00000278,REF00460343,1227.09,2025-11-03,CANCELLED
AUDIT_TRAIL00000279,REF00195884,4964.01,2025-11-15,CANCELLED
AUDIT_TRAIL00000280,REF00056935,3238.9,2025-02-18,CANCELLED
AUDIT_TRAIL00000281,REF00595455,4444.15,2025-05-23,CANCELLED
AUDIT_TRAIL00000282,REF00016740,4737.39,2025-03-06,PENDING
AUDIT_TRAIL00000283,REF00519865,3687.7,2025-08-17,ACTIVE
AUDIT_TRAIL00000284,REF00906695,978.72,2026-01-14,PENDING
AUDIT_TRAIL00000285,REF00786371,4700.6,2025-01-31,COMPLETED
