id,reference_id,amount,date,status
SYSTEM_CONFIG00000001,REF00789782,2606.07,2025-05-29,CANCELLED
SYSTEM_CONFIG00000002,REF00950543,6781.69,2025-02-07,CANCELLED
SYSTEM_CONFIG00000003,REF00238546,2244.95,2025-05-26,COMPLETED
SYSTEM_CONFIG00000004,REF00667027,4935.16,2025-10-19,COMPLETED
SYSTEM_CONFIG00000005,REF00872685,7440.21,2025-07-14,ACTIVE
SYSTEM_CONFIG00000006,REF00774385,3848.31,2025-12-18,PENDING
SYSTEM_CONFIG00000007,REF00045427,7218.26,2025-05-14,COMPLETED
SYSTEM_CONFIG00000008,REF00168278,4718.27,2025-08-21,ACTIVE
SYSTEM_CONFIG00000009,REF00343700,4218.11,2025-10-07,ACTIVE
SYSTEM_CONFIG00000010,REF00026901,6154.52,2025-08-14,COMPLETED
SYSTEM_CONFIG00000011,REF00676349,670.7,2025-10-28,CANCELLED
SYSTEM_CONFIG00000012,REF00868202,3930.76,2025-09-14,ACTIVE
SYSTEM_CONFIG00000013,REF00425865,8769.94,2025-03-15,CANCELLED
SYSTEM_CONFIG00000014,REF00695553,5107.37,2025-08-11,COMPLETED
SYSTEM_CONFIG00000015,REF00589568,5009.78,2025-05-08,CANCELLED
SYSTEM_CONFIG00000016,REF00750902,2721.07,2025-03-28,CANCELLED
SYSTEM_CONFIG00000017,REF00062219,936.31,2025-12-10,COMPLETED
SYSTEM_CONFIG00000018,REF00316708,8963.46,2026-01-14,CANCELLED
SYSTEM_CONFIG00000019,REF00200248,7024.75,2025-11-07,CANCELLED
SYSTEM_CONFIG00000020,REF00670277,1462.28,2025-08-03,COMPLETED
SYSTEM_CONFIG00000021,REF00892892,706.52,2025-08-19,ACTIVE
SYSTEM_CONFIG00000022,REF00984548,5141.41,2025-05-16,CANCELLED
SYSTEM_CONFIG00000023,REF00889544,9091.8,2025-12-01,PENDING
SYSTEM_CONFIG00000024,REF00959903,9210.52,2025-11-18,ACTIVE
SYSTEM_CONFIG00000025,REF00058601,3379.71,2025-04-24,CANCELLED
SYSTEM_CONFIG00000026,REF00022453,2231.81,2025-09-13,CANCELLED
SYSTEM_CONFIG00000027,REF00979428,5650.07,2025-05-13,PENDING
SYSTEM_CONFIG00000028,REF00733852,5736.99,2025-02-14,COMPLETED
SYSTEM_CONFIG00000029,REF00974082,9937.65,2025-12-27,ACTIVE
SYSTEM_CONFIG00000030,REF00945075,6060.3,2025-10-07,ACTIVE
SYSTEM_CONFIG00000031,REF00857695,6752.75,2025-06-19,ACTIVE
SYSTEM_CONFIG00000032,REF00293214,456.01,2025-07-22,ACTIVE
SYSTEM_CONFIG00000033,REF00206208,8160.2,2025-05-29,ACTIVE
SYSTEM_CONFIG00000034,REF00891658,3208.0,2025-07-28,ACTIVE
SYSTEM_CONFIG00000035,REF00791287,6945.49,2025-04-17,COMPLETED
SYSTEM_CONFIG00000036,REF00277783,2891.25,2025-03-15,COMPLETED
SYSTEM_CONFIG00000037,REF00756356,9724.69,2025-04-07,COMPLETED
SYSTEM_CONFIG00000038,REF00871862,5780.1,2025-12-25,PENDING
SYSTEM_CONFIG00000039,REF00318425,6740.2,2025-11-02,CANCELLED
SYSTEM_CONFIG00000040,REF00421778,2154.64,2025-10-15,CANCELLED
SYSTEM_CONFIG00000041,REF00905338,6838.52,2025-06-22,CANCELLED
SYSTEM_CONFIG00000042,REF00107673,5752.49,2025-01-24,COMPLETED
SYSTEM_CONFIG00000043,REF00516496,4543.04,2025-10-27,ACTIVE
SYSTEM_CONFIG00000044,REF00990092,9707.83,2025-02-15,COMPLETED
SYSTEM_CONFIG00000045,REF00864504,9437.47,2025-04-07,PENDING
SYSTEM_CONFIG00000046,REF00101055,7708.81,2025-05-04,PENDING
SYSTEM_CONFIG00000047,REF00166847,6723.69,2025-03-10,ACTIVE
SYSTEM_CONFIG00000048,REF00503288,2451.2,2025-07-11,ACTIVE
SYSTEM_CONFIG00000049,REF00577741,5480.13,2025-08-28,ACTIVE
SYSTEM_CONFIG00000050,REF00561366,7322.45,2025-10-08,CANCELLED
