id,reference_id,amount,date,status
BATCH_JOBS00000001,REF00812690,2728.63,2025-11-30,ACTIVE
BATCH_JOBS00000002,REF00342761,1352.28,2025-03-08,ACTIVE
BATCH_JOBS00000003,REF00217109,2034.81,2025-06-16,ACTIVE
BATCH_JOBS00000004,REF00097218,4069.69,2025-09-03,PENDING
BATCH_JOBS00000005,REF00973748,7972.72,2026-01-10,COMPLETED
BATCH_JOBS00000006,REF00673693,2176.08,2025-04-15,PENDING
BATCH_JOBS00000007,REF00784166,7873.2,2025-05-27,ACTIVE
BATCH_JOBS00000008,REF00923061,4912.95,2026-01-15,COMPLETED
BATCH_JOBS00000009,REF00562620,5716.82,2025-06-16,COMPLETED
BATCH_JOBS00000010,REF00258220,8689.33,2025-08-19,PENDING
BATCH_JOBS00000011,REF00768159,9145.94,2025-01-25,ACTIVE
BATCH_JOBS00000012,REF00346570,9546.73,2025-07-08,CANCELLED
BATCH_JOBS00000013,REF00045510,5925.92,2025-03-09,CANCELLED
BATCH_JOBS00000014,REF00471846,7784.4,2026-01-15,COMPLETED
BATCH_JOBS00000015,REF00456705,2360.13,2025-11-12,CANCELLED
BATCH_JOBS00000016,REF00177594,5150.4,2025-07-08,ACTIVE
BATCH_JOBS00000017,REF00610889,8406.06,2025-11-09,PENDING
BATCH_JOBS00000018,REF00701881,8484.47,2025-04-25,COMPLETED
BATCH_JOBS00000019,REF00160737,9214.51,2025-03-19,ACTIVE
BATCH_JOBS00000020,REF00263774,8972.44,2025-02-14,CANCELLED
BATCH_JOBS00000021,REF00836420,5971.49,2025-03-20,PENDING
BATCH_JOBS00000022,REF00447324,258.41,2025-05-19,COMPLETED
BATCH_JOBS00000023,REF00837011,1957.96,2025-05-17,COMPLETED
BATCH_JOBS00000024,REF00196695,4650.61,2025-02-20,ACTIVE
BATCH_JOBS00000025,REF00807650,1733.05,2025-04-01,PENDING
BATCH_JOBS00000026,REF00229438,2482.97,2026-01-10,CANCELLED
BATCH_JOBS00000027,REF00007852,1061.82,2025-03-09,ACTIVE
BATCH_JOBS00000028,REF00013212,4305.39,2025-07-04,CANCELLED
BATCH_JOBS00000029,REF00982048,6624.77,2025-03-11,PENDING
BATCH_JOBS00000030,REF00616350,1973.48,2025-05-17,ACTIVE
BATCH_JOBS00000031,REF00187587,4300.68,2025-05-04,PENDING
BATCH_JOBS00000032,REF00094457,8632.95,2025-10-03,ACTIVE
BATCH_JOBS00000033,REF00577967,8986.57,2025-05-21,COMPLETED
BATCH_JOBS00000034,REF00787621,7942.95,2025-12-10,PENDING
BATCH_JOBS00000035,REF00545235,6178.1,2025-06-29,ACTIVE
BATCH_JOBS00000036,REF00668118,9413.29,2025-02-13,ACTIVE
BATCH_JOBS00000037,REF00221594,129.95,2025-03-11,CANCELLED
BATCH_JOBS00000038,REF00478227,8383.81,2026-01-07,PENDING
BATCH_JOBS00000039,REF00790239,6806.6,2025-06-05,COMPLETED
BATCH_JOBS00000040,REF00164979,7773.43,2026-01-09,ACTIVE
BATCH_JOBS00000041,REF00380905,3539.12,2025-08-03,CANCELLED
BATCH_JOBS00000042,REF00633623,1254.22,2025-10-14,ACTIVE
BATCH_JOBS00000043,REF00373041,1472.11,2025-11-27,ACTIVE
BATCH_JOBS00000044,REF00413563,6799.44,2025-12-16,COMPLETED
BATCH_JOBS00000045,REF00006546,1684.01,2025-08-18,PENDING
BATCH_JOBS00000046,REF00073786,6574.37,2025-03-11,ACTIVE
BATCH_JOBS00000047,REF00755229,1186.08,2025-10-02,COMPLETED
BATCH_JOBS00000048,REF00227957,9383.76,2025-06-29,COMPLETED
BATCH_JOBS00000049,REF00471378,6334.11,2025-03-22,PENDING
BATCH_JOBS00000050,REF00164211,3547.08,2025-06-05,ACTIVE
BATCH_JOBS00000051,REF00703523,6030.13,2025-07-05,PENDING
BATCH_JOBS00000052,REF00423650,4014.16,2025-07-02,PENDING
BATCH_JOBS00000053,REF00080326,5733.25,2025-07-25,CANCELLED
BATCH_JOBS00000054,REF00214334,1417.4,2025-10-13,PENDING
BATCH_JOBS00000055,REF00563705,7400.81,2025-02-03,ACTIVE
BATCH_JOBS00000056,REF00668349,1851.68,2025-03-11,COMPLETED
BATCH_JOBS00000057,REF00281594,3890.04,2025-09-01,PENDING
BATCH_JOBS00000058,REF00777090,6578.6,2025-09-17,COMPLETED
BATCH_JOBS00000059,REF00820156,5826.92,2025-01-30,ACTIVE
BATCH_JOBS00000060,REF00562452,6411.08,2025-05-26,PENDING
BATCH_JOBS00000061,REF00341980,6121.1,2025-03-01,PENDING
BATCH_JOBS00000062,REF00465071,4214.78,2025-11-24,PENDING
BATCH_JOBS00000063,REF00946742,9191.43,2025-10-08,CANCELLED
BATCH_JOBS00000064,REF00969876,3457.53,2025-03-11,ACTIVE
BATCH_JOBS00000065,REF00331356,9746.64,2025-05-26,PENDING
BATCH_JOBS00000066,REF00946577,477.92,2025-06-22,ACTIVE
BATCH_JOBS00000067,REF00320906,7181.84,2025-07-12,PENDING
BATCH_JOBS00000068,REF00384216,3340.51,2025-01-28,PENDING
BATCH_JOBS00000069,REF00267938,1504.45,2025-09-25,COMPLETED
BATCH_JOBS00000070,REF00310294,8936.91,2025-05-24,ACTIVE
BATCH_JOBS00000071,REF00435106,5636.03,2025-03-30,COMPLETED
BATCH_JOBS00000072,REF00294111,1766.93,2025-03-28,ACTIVE
BATCH_JOBS00000073,REF00112091,9369.99,2025-08-09,ACTIVE
BATCH_JOBS00000074,REF00191476,1225.07,2025-05-06,COMPLETED
BATCH_JOBS00000075,REF00143865,5091.29,2025-06-07,ACTIVE
BATCH_JOBS00000076,REF00440715,8009.89,2025-08-04,PENDING
BATCH_JOBS00000077,REF00429038,9388.8,2025-09-23,COMPLETED
BATCH_JOBS00000078,REF00086546,2073.68,2025-09-24,ACTIVE
BATCH_JOBS00000079,REF00640133,312.94,2025-11-18,PENDING
BATCH_JOBS00000080,REF00731797,9812.49,2025-03-17,COMPLETED
BATCH_JOBS00000081,REF00281140,593.31,2025-10-20,CANCELLED
BATCH_JOBS00000082,REF00791357,4813.66,2025-10-19,ACTIVE
BATCH_JOBS00000083,REF00750752,8925.59,2025-12-24,COMPLETED
BATCH_JOBS00000084,REF00885192,8866.43,2025-07-05,CANCELLED
BATCH_JOBS00000085,REF00574933,1962.02,2025-11-15,CANCELLED
BATCH_JOBS00000086,REF00499371,2869.67,2025-01-26,PENDING
BATCH_JOBS00000087,REF00685829,7257.81,2025-02-17,CANCELLED
BATCH_JOBS00000088,REF00871466,2915.59,2025-12-25,ACTIVE
BATCH_JOBS00000089,REF00677094,5347.82,2025-10-22,ACTIVE
BATCH_JOBS00000090,REF00687390,4797.21,2025-04-21,COMPLETED
BATCH_JOBS00000091,REF00040525,7608.45,2025-04-07,PENDING
BATCH_JOBS00000092,REF00915935,5918.72,2025-06-08,PENDING
BATCH_JOBS00000093,REF00149487,874.36,2025-06-19,ACTIVE
BATCH_JOBS00000094,REF00973114,9629.75,2025-02-28,COMPLETED
BATCH_JOBS00000095,REF00233474,5400.49,2025-08-06,COMPLETED
BATCH_JOBS00000096,REF00481003,4292.35,2025-05-29,ACTIVE
BATCH_JOBS00000097,REF00068969,5393.07,2025-07-04,CANCELLED
BATCH_JOBS00000098,REF00749314,7637.2,2025-04-13,ACTIVE
BATCH_JOBS00000099,REF00697674,8140.21,2025-08-22,COMPLETED
BATCH_JOBS00000100,REF00197445,8883.36,2025-10-10,COMPLETED
BATCH_JOBS00000101,REF00733831,8109.53,2025-04-22,PENDING
BATCH_JOBS00000102,REF00580463,9759.79,2025-08-18,CANCELLED
BATCH_JOBS00000103,REF00210402,6568.12,2025-09-21,PENDING
BATCH_JOBS00000104,REF00563825,7938.56,2025-12-14,COMPLETED
BATCH_JOBS00000105,REF00185656,4297.5,2025-10-13,PENDING
BATCH_JOBS00000106,REF00162605,4106.89,2025-10-27,ACTIVE
BATCH_JOBS00000107,REF00581339,5662.85,2025-07-18,PENDING
BATCH_JOBS00000108,REF00881435,8869.82,2025-07-07,COMPLETED
BATCH_JOBS00000109,REF00298407,8516.99,2025-06-01,COMPLETED
BATCH_JOBS00000110,REF00119070,5631.46,2025-12-12,ACTIVE
BATCH_JOBS00000111,REF00621087,6556.21,2025-10-10,COMPLETED
BATCH_JOBS00000112,REF00653728,9509.58,2025-02-18,CANCELLED
BATCH_JOBS00000113,REF00744675,6144.18,2025-08-11,PENDING
BATCH_JOBS00000114,REF00400751,8784.61,2025-10-23,PENDING
BATCH_JOBS00000115,REF00316298,9346.64,2025-12-22,CANCELLED
BATCH_JOBS00000116,REF00948443,7775.12,2025-09-03,COMPLETED
BATCH_JOBS00000117,REF00936584,8630.46,2025-07-26,PENDING
BATCH_JOBS00000118,REF00477517,8637.42,2025-05-31,COMPLETED
BATCH_JOBS00000119,REF00245781,324.87,2025-02-27,CANCELLED
BATCH_JOBS00000120,REF00578260,7087.44,2025-04-02,PENDING
BATCH_JOBS00000121,REF00143158,1837.06,2025-07-16,COMPLETED
BATCH_JOBS00000122,REF00572204,6016.0,2025-12-18,ACTIVE
BATCH_JOBS00000123,REF00075688,3804.77,2025-03-31,ACTIVE
BATCH_JOBS00000124,REF00629141,9141.39,2025-06-24,CANCELLED
BATCH_JOBS00000125,REF00894275,8908.26,2025-10-05,PENDING
BATCH_JOBS00000126,REF00917546,7295.45,2025-06-24,ACTIVE
BATCH_JOBS00000127,REF00668654,9862.3,2025-11-19,ACTIVE
BATCH_JOBS00000128,REF00484106,2498.93,2026-01-20,ACTIVE
BATCH_JOBS00000129,REF00920434,2163.71,2025-05-11,COMPLETED
BATCH_JOBS00000130,REF00540785,9920.61,2025-05-08,PENDING
BATCH_JOBS00000131,REF00211623,5507.91,2025-07-24,COMPLETED
BATCH_JOBS00000132,REF00451142,1251.98,2025-12-18,PENDING
BATCH_JOBS00000133,REF00631552,2767.97,2025-08-10,COMPLETED
BATCH_JOBS00000134,REF00017107,3544.56,2025-11-21,ACTIVE
BATCH_JOBS00000135,REF00767124,8487.21,2025-12-13,ACTIVE
BATCH_JOBS00000136,REF00905935,4702.5,2025-07-28,CANCELLED
BATCH_JOBS00000137,REF00943674,7005.73,2025-12-08,COMPLETED
BATCH_JOBS00000138,REF00517183,5257.47,2025-09-27,CANCELLED
BATCH_JOBS00000139,REF00005272,4779.22,2025-07-19,CANCELLED
BATCH_JOBS00000140,REF00363237,9318.34,2025-06-19,CANCELLED
BATCH_JOBS00000141,REF00486138,4394.79,2026-01-09,ACTIVE
BATCH_JOBS00000142,REF00541601,5695.13,2025-07-05,CANCELLED
BATCH_JOBS00000143,REF00726379,9283.36,2025-06-15,ACTIVE
BATCH_JOBS00000144,REF00950020,4902.8,2025-08-01,PENDING
BATCH_JOBS00000145,REF00582397,5210.82,2025-05-24,PENDING
BATCH_JOBS00000146,REF00115607,9152.96,2025-10-12,ACTIVE
BATCH_JOBS00000147,REF00921405,9507.28,2025-02-16,CANCELLED
BATCH_JOBS00000148,REF00594390,5032.75,2026-01-06,COMPLETED
BATCH_JOBS00000149,REF00141943,9343.1,2025-04-25,PENDING
BATCH_JOBS00000150,REF00605015,5349.67,2025-02-15,COMPLETED
BATCH_JOBS00000151,REF00757963,8073.27,2025-12-04,PENDING
BATCH_JOBS00000152,REF00587453,3382.04,2025-11-02,COMPLETED
BATCH_JOBS00000153,REF00967059,4365.67,2025-09-16,CANCELLED
BATCH_JOBS00000154,REF00108061,5098.59,2026-01-13,ACTIVE
BATCH_JOBS00000155,REF00064826,1837.58,2025-05-25,COMPLETED
BATCH_JOBS00000156,REF00929517,878.26,2025-10-14,CANCELLED
BATCH_JOBS00000157,REF00675500,5881.05,2025-12-25,CANCELLED
BATCH_JOBS00000158,REF00575022,4980.0,2025-12-21,CANCELLED
BATCH_JOBS00000159,REF00714638,8562.43,2025-12-30,CANCELLED
BATCH_JOBS00000160,REF00476633,2257.0,2025-04-22,ACTIVE
BATCH_JOBS00000161,REF00169095,3174.09,2025-06-09,ACTIVE
BATCH_JOBS00000162,REF00471026,4923.29,2025-08-23,ACTIVE
BATCH_JOBS00000163,REF00574997,827.81,2025-04-24,CANCELLED
BATCH_JOBS00000164,REF00044208,1680.43,2025-06-18,ACTIVE
BATCH_JOBS00000165,REF00950166,9102.77,2025-01-31,CANCELLED
BATCH_JOBS00000166,REF00801141,5767.93,2025-08-08,PENDING
BATCH_JOBS00000167,REF00079985,7252.32,2025-02-28,ACTIVE
BATCH_JOBS00000168,REF00377901,4596.51,2025-02-15,CANCELLED
BATCH_JOBS00000169,REF00153983,8565.03,2025-08-24,COMPLETED
BATCH_JOBS00000170,REF00011771,6144.37,2025-05-03,CANCELLED
BATCH_JOBS00000171,REF00950600,7673.25,2025-11-21,ACTIVE
BATCH_JOBS00000172,REF00759200,7369.05,2025-08-27,PENDING
BATCH_JOBS00000173,REF00371077,8802.55,2025-09-18,CANCELLED
BATCH_JOBS00000174,REF00738456,5422.03,2025-05-24,CANCELLED
BATCH_JOBS00000175,REF00573331,8145.31,2025-09-23,COMPLETED
BATCH_JOBS00000176,REF00287737,137.27,2025-11-25,PENDING
BATCH_JOBS00000177,REF00574676,1456.63,2025-02-21,ACTIVE
BATCH_JOBS00000178,REF00936106,3922.45,2025-10-19,CANCELLED
BATCH_JOBS00000179,REF00617272,346.3,2025-09-02,COMPLETED
BATCH_JOBS00000180,REF00179519,7949.48,2025-04-17,CANCELLED
BATCH_JOBS00000181,REF00154714,6415.15,2025-11-09,CANCELLED
BATCH_JOBS00000182,REF00283768,7191.35,2025-05-07,ACTIVE
