id,reference_id,amount,date,status
RECONCILIATION_DATA00000001,REF00245158,8832.63,2025-06-11,ACTIVE
RECONCILIATION_DATA00000002,REF00746414,8522.71,2025-05-11,ACTIVE
RECONCILIATION_DATA00000003,REF00835842,2236.02,2025-11-28,PENDING
RECONCILIATION_DATA00000004,REF00346860,1745.57,2026-01-09,COMPLETED
RECONCILIATION_DATA00000005,REF00675443,3191.61,2025-09-26,ACTIVE
RECONCILIATION_DATA00000006,REF00480918,688.66,2025-02-12,PENDING
RECONCILIATION_DATA00000007,REF00291999,4030.38,2026-01-18,PENDING
RECONCILIATION_DATA00000008,REF00228574,4762.93,2025-10-31,COMPLETED
RECONCILIATION_DATA00000009,REF00902441,4980.6,2025-06-07,PENDING
RECONCILIATION_DATA00000010,REF00654197,8292.96,2025-05-16,ACTIVE
RECONCILIATION_DATA00000011,REF00178650,7207.46,2025-10-17,PENDING
RECONCILIATION_DATA00000012,REF00871513,5505.66,2025-07-27,PENDING
RECONCILIATION_DATA00000013,REF00211173,1686.72,2025-10-08,PENDING
RECONCILIATION_DATA00000014,REF00920268,7146.92,2025-12-12,CANCELLED
RECONCILIATION_DATA00000015,REF00902620,4131.54,2025-09-18,CANCELLED
RECONCILIATION_DATA00000016,REF00523772,6597.7,2025-02-26,ACTIVE
RECONCILIATION_DATA00000017,REF00143782,8098.62,2025-04-25,PENDING
RECONCILIATION_DATA00000018,REF00468044,5594.15,2025-09-03,PENDING
RECONCILIATION_DATA00000019,REF00377100,4288.7,2025-06-11,ACTIVE
RECONCILIATION_DATA00000020,REF00993431,3041.17,2025-12-18,ACTIVE
RECONCILIATION_DATA00000021,REF00214353,5569.64,2025-09-22,PENDING
RECONCILIATION_DATA00000022,REF00248419,5965.49,2025-04-09,COMPLETED
RECONCILIATION_DATA00000023,REF00409971,399.63,2025-10-09,CANCELLED
RECONCILIATION_DATA00000024,REF00225477,3021.01,2025-05-26,ACTIVE
RECONCILIATION_DATA00000025,REF00476674,9432.43,2025-10-25,CANCELLED
RECONCILIATION_DATA00000026,REF00205242,1304.64,2025-07-23,ACTIVE
RECONCILIATION_DATA00000027,REF00504490,1835.48,2025-12-31,ACTIVE
