id,reference_id,amount,date,status
DORMANT_ACCOUNTS00000001,REF00572799,5694.87,2025-11-19,COMPLETED
DORMANT_ACCOUNTS00000002,REF00591769,8060.52,2025-10-21,ACTIVE
DORMANT_ACCOUNTS00000003,REF00409069,8935.47,2025-08-21,PENDING
DORMANT_ACCOUNTS00000004,REF00563688,82.77,2025-08-31,COMPLETED
DORMANT_ACCOUNTS00000005,REF00385832,6782.77,2025-09-17,CANCELLED
DORMANT_ACCOUNTS00000006,REF00133260,5274.41,2025-10-17,CANCELLED
DORMANT_ACCOUNTS00000007,REF00529284,7151.68,2025-12-25,COMPLETED
DORMANT_ACCOUNTS00000008,REF00710257,128.4,2026-01-20,CANCELLED
DORMANT_ACCOUNTS00000009,REF00100786,7874.12,2025-07-14,PENDING
DORMANT_ACCOUNTS00000010,REF00892623,8227.42,2025-09-25,CANCELLED
DORMANT_ACCOUNTS00000011,REF00709195,4646.02,2025-12-31,ACTIVE
DORMANT_ACCOUNTS00000012,REF00850250,8751.41,2025-08-10,PENDING
DORMANT_ACCOUNTS00000013,REF00817337,1252.48,2025-12-01,PENDING
DORMANT_ACCOUNTS00000014,REF00157370,5871.17,2025-10-31,CANCELLED
DORMANT_ACCOUNTS00000015,REF00007236,6935.75,2025-09-15,COMPLETED
DORMANT_ACCOUNTS00000016,REF00306962,5420.08,2025-08-19,COMPLETED
DORMANT_ACCOUNTS00000017,REF00962068,338.64,2025-02-06,COMPLETED
DORMANT_ACCOUNTS00000018,REF00981102,2788.75,2025-08-15,ACTIVE
DORMANT_ACCOUNTS00000019,REF00176311,5222.23,2025-04-16,ACTIVE
DORMANT_ACCOUNTS00000020,REF00154883,7306.25,2025-10-25,COMPLETED
DORMANT_ACCOUNTS00000021,REF00607667,7871.49,2025-06-07,COMPLETED
DORMANT_ACCOUNTS00000022,REF00370187,4077.6,2025-12-13,PENDING
DORMANT_ACCOUNTS00000023,REF00451921,3176.8,2025-09-05,PENDING
DORMANT_ACCOUNTS00000024,REF00208839,6127.8,2025-09-18,COMPLETED
DORMANT_ACCOUNTS00000025,REF00405501,5928.96,2025-07-03,COMPLETED
DORMANT_ACCOUNTS00000026,REF00257276,4029.94,2025-06-03,ACTIVE
DORMANT_ACCOUNTS00000027,REF00263121,8694.21,2025-12-22,ACTIVE
DORMANT_ACCOUNTS00000028,REF00068448,4574.39,2025-10-05,PENDING
DORMANT_ACCOUNTS00000029,REF00043122,8594.87,2025-07-11,PENDING
DORMANT_ACCOUNTS00000030,REF00600046,6486.36,2025-12-28,CANCELLED
DORMANT_ACCOUNTS00000031,REF00207180,7947.16,2025-08-21,PENDING
DORMANT_ACCOUNTS00000032,REF00323007,3228.04,2025-04-08,CANCELLED
DORMANT_ACCOUNTS00000033,REF00811795,4689.7,2025-03-24,COMPLETED
DORMANT_ACCOUNTS00000034,REF00931049,8304.59,2025-09-16,CANCELLED
DORMANT_ACCOUNTS00000035,REF00039453,670.09,2025-05-25,CANCELLED
DORMANT_ACCOUNTS00000036,REF00948582,8220.72,2025-03-08,CANCELLED
DORMANT_ACCOUNTS00000037,REF00053284,4506.89,2025-03-24,COMPLETED
DORMANT_ACCOUNTS00000038,REF00063073,4017.89,2025-04-06,CANCELLED
DORMANT_ACCOUNTS00000039,REF00727540,6086.15,2025-11-20,ACTIVE
DORMANT_ACCOUNTS00000040,REF00689055,4008.89,2025-11-28,CANCELLED
DORMANT_ACCOUNTS00000041,REF00323305,3581.48,2025-03-27,COMPLETED
DORMANT_ACCOUNTS00000042,REF00074019,4627.53,2025-04-04,ACTIVE
DORMANT_ACCOUNTS00000043,REF00742723,8403.01,2025-12-16,ACTIVE
DORMANT_ACCOUNTS00000044,REF00550681,2434.63,2025-05-20,CANCELLED
DORMANT_ACCOUNTS00000045,REF00673939,3833.46,2026-01-19,CANCELLED
DORMANT_ACCOUNTS00000046,REF00223800,4644.57,2025-05-14,COMPLETED
DORMANT_ACCOUNTS00000047,REF00405919,1772.63,2025-04-10,CANCELLED
DORMANT_ACCOUNTS00000048,REF00202933,8970.93,2025-02-10,ACTIVE
DORMANT_ACCOUNTS00000049,REF00666633,4771.48,2025-12-04,CANCELLED
DORMANT_ACCOUNTS00000050,REF00381121,1460.64,2025-12-09,ACTIVE
DORMANT_ACCOUNTS00000051,REF00385691,7257.68,2026-01-15,PENDING
DORMANT_ACCOUNTS00000052,REF00476057,3080.3,2025-02-17,PENDING
DORMANT_ACCOUNTS00000053,REF00302671,7352.58,2025-04-22,COMPLETED
DORMANT_ACCOUNTS00000054,REF00930522,8310.94,2025-02-03,ACTIVE
DORMANT_ACCOUNTS00000055,REF00989877,3485.4,2025-03-17,CANCELLED
DORMANT_ACCOUNTS00000056,REF00106055,7255.7,2025-06-19,COMPLETED
DORMANT_ACCOUNTS00000057,REF00215503,9943.3,2025-05-18,COMPLETED
DORMANT_ACCOUNTS00000058,REF00297493,3064.22,2025-12-06,ACTIVE
DORMANT_ACCOUNTS00000059,REF00153882,794.14,2025-10-11,PENDING
DORMANT_ACCOUNTS00000060,REF00774949,5191.44,2025-10-23,ACTIVE
DORMANT_ACCOUNTS00000061,REF00579857,4284.81,2025-08-14,CANCELLED
DORMANT_ACCOUNTS00000062,REF00379535,1607.56,2025-07-27,CANCELLED
DORMANT_ACCOUNTS00000063,REF00355818,1752.48,2025-10-23,COMPLETED
DORMANT_ACCOUNTS00000064,REF00980638,4820.59,2025-11-25,COMPLETED
DORMANT_ACCOUNTS00000065,REF00790776,4225.63,2025-01-23,PENDING
DORMANT_ACCOUNTS00000066,REF00551218,5898.4,2026-01-08,CANCELLED
DORMANT_ACCOUNTS00000067,REF00601986,496.45,2025-09-18,PENDING
DORMANT_ACCOUNTS00000068,REF00846060,8972.94,2025-02-04,COMPLETED
DORMANT_ACCOUNTS00000069,REF00531093,2917.29,2025-07-20,ACTIVE
DORMANT_ACCOUNTS00000070,REF00849063,8394.09,2025-09-17,PENDING
DORMANT_ACCOUNTS00000071,REF00672477,5520.65,2025-03-10,PENDING
DORMANT_ACCOUNTS00000072,REF00691324,8976.97,2025-03-09,PENDING
DORMANT_ACCOUNTS00000073,REF00287661,3718.33,2025-04-27,ACTIVE
DORMANT_ACCOUNTS00000074,REF00024412,9137.01,2025-11-03,ACTIVE
DORMANT_ACCOUNTS00000075,REF00826460,9410.23,2025-09-04,CANCELLED
DORMANT_ACCOUNTS00000076,REF00013487,994.77,2025-07-17,COMPLETED
DORMANT_ACCOUNTS00000077,REF00450457,8788.68,2025-07-13,CANCELLED
DORMANT_ACCOUNTS00000078,REF00204227,8722.36,2025-04-21,CANCELLED
DORMANT_ACCOUNTS00000079,REF00502389,3717.4,2025-12-26,ACTIVE
DORMANT_ACCOUNTS00000080,REF00273032,4898.42,2026-01-07,PENDING
DORMANT_ACCOUNTS00000081,REF00836875,541.84,2025-07-23,PENDING
DORMANT_ACCOUNTS00000082,REF00998025,2781.24,2025-11-28,PENDING
DORMANT_ACCOUNTS00000083,REF00099418,5982.06,2025-04-15,COMPLETED
DORMANT_ACCOUNTS00000084,REF00737434,4334.37,2025-08-28,PENDING
DORMANT_ACCOUNTS00000085,REF00859274,7565.44,2025-05-27,COMPLETED
DORMANT_ACCOUNTS00000086,REF00421704,5367.81,2025-10-20,PENDING
DORMANT_ACCOUNTS00000087,REF00679333,9872.66,2025-10-16,COMPLETED
DORMANT_ACCOUNTS00000088,REF00249201,5703.12,2025-07-26,COMPLETED
DORMANT_ACCOUNTS00000089,REF00543516,4675.83,2026-01-13,ACTIVE
DORMANT_ACCOUNTS00000090,REF00490545,1958.1,2025-12-16,CANCELLED
DORMANT_ACCOUNTS00000091,REF00065425,750.69,2025-01-25,COMPLETED
DORMANT_ACCOUNTS00000092,REF00637602,9732.55,2025-05-12,CANCELLED
DORMANT_ACCOUNTS00000093,REF00162874,627.06,2025-10-21,PENDING
DORMANT_ACCOUNTS00000094,REF00732247,9961.13,2025-07-21,CANCELLED
DORMANT_ACCOUNTS00000095,REF00121884,5015.69,2025-06-13,CANCELLED
DORMANT_ACCOUNTS00000096,REF00720105,5437.94,2025-12-01,CANCELLED
DORMANT_ACCOUNTS00000097,REF00991730,7138.45,2025-03-22,CANCELLED
DORMANT_ACCOUNTS00000098,REF00693846,2384.81,2025-12-08,COMPLETED
DORMANT_ACCOUNTS00000099,REF00418862,9687.69,2025-02-03,PENDING
DORMANT_ACCOUNTS00000100,REF00142846,6887.06,2025-12-10,ACTIVE
