id,reference_id,amount,date,status
SUSPICIOUS_TRANSACTIONS00000001,REF00637036,3932.38,2025-06-02,ACTIVE
SUSPICIOUS_TRANSACTIONS00000002,REF00603084,1742.3,2025-05-17,PENDING
SUSPICIOUS_TRANSACTIONS00000003,REF00619442,1567.25,2025-06-18,CANCELLED
SUSPICIOUS_TRANSACTIONS00000004,REF00945864,4142.07,2025-11-28,PENDING
SUSPICIOUS_TRANSACTIONS00000005,REF00775001,5889.62,2025-06-09,CANCELLED
SUSPICIOUS_TRANSACTIONS00000006,REF00082661,7235.36,2025-06-02,ACTIVE
SUSPICIOUS_TRANSACTIONS00000007,REF00391112,4759.72,2025-11-10,PENDING
SUSPICIOUS_TRANSACTIONS00000008,REF00021398,2241.03,2025-04-10,PENDING
SUSPICIOUS_TRANSACTIONS00000009,REF00489023,7774.61,2025-04-10,ACTIVE
SUSPICIOUS_TRANSACTIONS00000010,REF00195194,5369.86,2025-09-25,PENDING
SUSPICIOUS_TRANSACTIONS00000011,REF00349259,4596.22,2025-11-07,PENDING
SUSPICIOUS_TRANSACTIONS00000012,REF00517494,1893.57,2025-02-20,ACTIVE
SUSPICIOUS_TRANSACTIONS00000013,REF00844227,4457.85,2025-05-01,CANCELLED
SUSPICIOUS_TRANSACTIONS00000014,REF00283225,5608.62,2025-04-07,ACTIVE
SUSPICIOUS_TRANSACTIONS00000015,REF00684512,5228.26,2025-10-14,COMPLETED
SUSPICIOUS_TRANSACTIONS00000016,REF00182010,6021.89,2025-08-07,CANCELLED
SUSPICIOUS_TRANSACTIONS00000017,REF00072677,6033.3,2025-05-21,COMPLETED
SUSPICIOUS_TRANSACTIONS00000018,REF00371994,5368.26,2025-12-15,CANCELLED
SUSPICIOUS_TRANSACTIONS00000019,REF00137955,6017.12,2025-09-20,ACTIVE
SUSPICIOUS_TRANSACTIONS00000020,REF00481234,363.58,2025-10-02,COMPLETED
SUSPICIOUS_TRANSACTIONS00000021,REF00984177,4525.88,2025-06-18,PENDING
SUSPICIOUS_TRANSACTIONS00000022,REF00655916,5549.22,2025-06-11,COMPLETED
SUSPICIOUS_TRANSACTIONS00000023,REF00622717,9307.64,2026-01-02,CANCELLED
SUSPICIOUS_TRANSACTIONS00000024,REF00338173,8782.17,2025-01-31,PENDING
SUSPICIOUS_TRANSACTIONS00000025,REF00393324,9699.34,2025-02-09,COMPLETED
SUSPICIOUS_TRANSACTIONS00000026,REF00390697,891.17,2025-04-12,ACTIVE
SUSPICIOUS_TRANSACTIONS00000027,REF00743840,4127.41,2025-06-21,CANCELLED
SUSPICIOUS_TRANSACTIONS00000028,REF00271249,3186.3,2025-05-05,COMPLETED
SUSPICIOUS_TRANSACTIONS00000029,REF00335377,6574.71,2025-04-16,PENDING
SUSPICIOUS_TRANSACTIONS00000030,REF00413286,7723.03,2025-09-28,ACTIVE
