TransactionID,Date,Type,Amount,Description,Balance
TXN0890000,2025-06-21,PAYMENT,450.8,Amazon,21591.87
TXN0890001,2025-06-22,TRANSFER,714.41,Restaurant,22306.28
TXN0890002,2025-06-23,CREDIT,242.16,Restaurant,22548.44
TXN0890003,2025-06-24,TRANSFER,78.76,Coffee Shop,22627.2
TXN0890004,2025-06-25,CREDIT,241.2,Salary,22868.4
TXN0890005,2025-06-26,TRANSFER,932.93,Coffee Shop,23801.33
TXN0890006,2025-06-27,DEBIT,673.93,Transfer to Savings,23127.4
TXN0890007,2025-06-28,TRANSFER,261.57,Walmart,23388.97
TXN0890008,2025-06-29,TRANSFER,647.54,Salary,24036.51
TXN0890009,2025-06-30,PAYMENT,766.71,Transfer to Savings,23269.8
TXN0890010,2025-07-01,CREDIT,624.76,Electric Bill,23894.56
TXN0890011,2025-07-02,DEBIT,802.92,Transfer to Savings,23091.64
TXN0890012,2025-07-03,DEBIT,855.01,Transfer to Savings,22236.63
TXN0890013,2025-07-04,CREDIT,353.35,Transfer to Savings,22589.98
TXN0890014,2025-07-05,TRANSFER,476.39,Transfer to Savings,23066.37
TXN0890015,2025-07-06,PAYMENT,398.29,Amazon,22668.08
TXN0890016,2025-07-07,TRANSFER,69.15,Walmart,22737.23
TXN0890017,2025-07-08,CREDIT,375.44,Salary,23112.67
TXN0890018,2025-07-09,DEBIT,728.69,Amazon,22383.98
TXN0890019,2025-07-10,CREDIT,879.66,Restaurant,23263.64
TXN0890020,2025-07-11,DEBIT,485.6,Restaurant,22778.04
TXN0890021,2025-07-12,TRANSFER,657.4,Salary,23435.44
TXN0890022,2025-07-13,PAYMENT,649.83,Transfer to Savings,22785.61
TXN0890023,2025-07-14,DEBIT,160.99,Transfer to Savings,22624.62
TXN0890024,2025-07-15,CREDIT,402.0,Salary,23026.62
TXN0890025,2025-07-16,DEBIT,70.32,Coffee Shop,22956.3
TXN0890026,2025-07-17,TRANSFER,540.39,Walmart,23496.69
TXN0890027,2025-07-18,DEBIT,682.67,Amazon,22814.02
TXN0890028,2025-07-19,TRANSFER,679.17,Walmart,23493.19
TXN0890029,2025-07-20,TRANSFER,670.88,Transfer to Savings,24164.07
TXN0890030,2025-07-21,CREDIT,265.29,Walmart,24429.36
TXN0890031,2025-07-22,DEBIT,576.87,Walmart,23852.49
TXN0890032,2025-07-23,CREDIT,641.04,Transfer to Savings,24493.53
TXN0890033,2025-07-24,PAYMENT,813.95,Transfer to Savings,23679.58
TXN0890034,2025-07-25,TRANSFER,786.59,Walmart,24466.17
TXN0890035,2025-07-26,PAYMENT,11.22,Transfer to Savings,24454.95
TXN0890036,2025-07-27,PAYMENT,346.28,Salary,24108.67
TXN0890037,2025-07-28,CREDIT,626.95,Coffee Shop,24735.62
TXN0890038,2025-07-29,DEBIT,62.07,Transfer to Savings,24673.55
