loan_id,customer_id,loan_type,loan_amount,loan_status
LN001,CUST001,Home,500000,Active
LN002,CUST002,Personal,200000,Closed
LN003,CUST003,Car,300000,Active
LN004,CUST004,Education,150000,Active
LN005,CUST005,Home,800000,Active
LN006,CUST006,Personal,100000,Closed
LN007,CUST007,Car,350000,Active
LN008,CUST008,Education,180000,Active
LN009,CUST009,Home,600000,Closed
LN010,CUST010,Personal,220000,Active
LN011,CUST011,Car,400000,Active
LN012,CUST012,Education,160000,Closed
LN013,CUST013,Home,750000,Active
LN014,CUST014,Personal,190000,Active
LN015,CUST015,Car,330000,Closed
LN016,CUST016,Education,170000,Active
LN017,CUST017,Home,820000,Active
LN018,CUST018,Personal,210000,Closed
LN019,CUST019,Car,360000,Active
LN020,CUST020,Education,140000,Active
