deposit_id,customer_id,product_code,principal_amount,interest_rate,start_date,maturity_amount
FD879042,CIF000002,TD001,25899.42,5.5,2023-10-08,27323.89
FD776769,CIF000014,TD001,67417.63,5.5,2023-07-08,71125.6
FD100747,CIF000020,TD001,69542.38,5.5,2023-11-30,73367.21
FD232403,CIF000031,TD001,91102.04,5.5,2024-04-03,96112.65
FD367593,CIF000032,TD001,98789.34,5.5,2023-12-01,104222.75
FD611980,CIF000034,TD001,16157.98,5.5,2024-04-02,17046.67
FD917403,CIF000046,TD001,94382.72,5.5,2023-09-07,99573.77
FD734718,CIF000061,TD001,19647.75,5.5,2023-10-21,20728.38
FD533546,CIF000065,TD001,68794.18,5.5,2023-08-27,72577.86
FD198338,CIF000066,TD001,46138.21,5.5,2023-05-20,48675.81
FD680883,CIF000073,TD001,36843.76,5.5,2023-07-13,38870.17
FD588831,CIF000074,TD001,78191.03,5.5,2023-06-03,82491.54
FD854018,CIF000077,TD001,22825.36,5.5,2024-02-07,24080.75
FD166341,CIF000079,TD001,97209.2,5.5,2023-09-15,102555.71
FD820348,CIF000085,TD001,26423.45,5.5,2023-01-20,27876.74
FD841152,CIF000092,TD001,55471.87,5.5,2024-07-25,58522.82
FD924227,CIF000097,TD001,37361.47,5.5,2023-02-22,39416.35
